cohort,quantity,layer,from_step,to_step,normalised_increment,span
development_extra,action_consensus,L12,0,1,-0.03657768328207218,0.0015138387680054821
development_extra,action_consensus,L12,1,2,-0.06457201354436884,0.0015138387680054821
development_extra,action_consensus,L12,2,3,-0.06854870462240618,0.0015138387680054821
development_extra,action_consensus,L12,3,4,-0.06461138672335931,0.0015138387680054821
development_extra,action_consensus,L12,4,5,-0.07536026458783063,0.0015138387680054821
development_extra,action_consensus,L12,5,6,-0.07748641625324261,0.0015138387680054821
development_extra,action_consensus,L12,6,7,-0.12213560122843423,0.0015138387680054821
development_extra,action_consensus,L12,7,8,-0.20603984565719657,0.0015138387680054821
development_extra,action_consensus,L12,8,9,-0.28466808410108946,0.0015138387680054821
development_extra,action_consensus,L13,0,1,-0.03211645101663355,0.0015478134155274548
development_extra,action_consensus,L13,1,2,-0.05930375847188951,0.0015478134155274548
development_extra,action_consensus,L13,2,3,-0.072743376463406,0.0015478134155274548
development_extra,action_consensus,L13,3,4,-0.07274337646333427,0.0015478134155274548
development_extra,action_consensus,L13,4,5,-0.0946549599507735,0.0015478134155274548
development_extra,action_consensus,L13,5,6,-0.09681146025870137,0.0015478134155274548
development_extra,action_consensus,L13,6,7,-0.13119993838569607,0.0015478134155274548
development_extra,action_consensus,L13,7,8,-0.19381546518798143,0.0015478134155274548
development_extra,action_consensus,L13,8,9,-0.2466112138015843,0.0015478134155274548
development_extra,action_consensus,L14,0,1,-0.02285932987717746,0.001713097095489613
development_extra,action_consensus,L14,1,2,-0.05528687241229462,0.001713097095489613
development_extra,action_consensus,L14,2,3,-0.06843881562923602,0.001713097095489613
development_extra,action_consensus,L14,3,4,-0.06697748860499461,0.001713097095489613
development_extra,action_consensus,L14,4,5,-0.0769284297693141,0.001713097095489613
development_extra,action_consensus,L14,5,6,-0.08451341289459545,0.001713097095489613
development_extra,action_consensus,L14,6,7,-0.12271667652481721,0.001713097095489613
development_extra,action_consensus,L14,7,8,-0.2021850318359103,0.001713097095489613
development_extra,action_consensus,L14,8,9,-0.3000939424516602,0.001713097095489613
development_extra,action_consensus,L15,0,1,-0.039703000928119556,0.0017339587211609997
development_extra,action_consensus,L15,1,2,-0.06905915919018714,0.0017339587211609997
development_extra,action_consensus,L15,2,3,-0.08731222714922054,0.0017339587211609997
development_extra,action_consensus,L15,3,4,-0.09459970437585374,0.0017339587211609997
development_extra,action_consensus,L15,4,5,-0.10669966656353516,0.0017339587211609997
development_extra,action_consensus,L15,5,6,-0.10549654532335313,0.0017339587211609997
development_extra,action_consensus,L15,6,7,-0.09783094427822883,0.0017339587211609997
development_extra,action_consensus,L15,7,8,-0.1428276786636231,0.0017339587211609997
development_extra,action_consensus,L15,8,9,-0.2564710735278788,0.0017339587211609997
development_extra,action_consensus,L2,0,1,-0.022590723384249615,0.0002480149269104004
development_extra,action_consensus,L2,1,2,-0.20884402787701867,0.0002480149269104004
development_extra,action_consensus,L2,2,3,-0.22302331170436498,0.0002480149269104004
development_extra,action_consensus,L2,3,4,-0.1727950012016342,0.0002480149269104004
development_extra,action_consensus,L2,4,5,-0.16606584955539533,0.0002480149269104004
development_extra,action_consensus,L2,5,6,0.052391252102412245,0.0002480149269104004
development_extra,action_consensus,L2,6,7,0.19202114876276438,0.0002480149269104004
development_extra,action_consensus,L2,7,8,0.17615957702475366,0.0002480149269104004
development_extra,action_consensus,L2,8,9,0.5794280221100697,0.0002480149269104004
development_extra,action_consensus,L3,0,1,-0.054559936280119126,0.0004490017890930176
development_extra,action_consensus,L3,1,2,-0.06318863666558644,0.0004490017890930176
development_extra,action_consensus,L3,2,3,-0.13367848134873225,0.0004490017890930176
development_extra,action_consensus,L3,3,4,-0.1092526217971774,0.0004490017890930176
development_extra,action_consensus,L3,4,5,-0.16567104739172475,0.0004490017890930176
development_extra,action_consensus,L3,5,6,-0.13553697066266596,0.0004490017890930176
development_extra,action_consensus,L3,6,7,-0.140846940129847,0.0004490017890930176
development_extra,action_consensus,L3,7,8,-0.19726536572414707,0.0004490017890930176
development_extra,action_consensus,L3,8,9,0.07234833399707952,0.0004490017890930176
development_extra,action_consensus,L4,0,1,-0.04140470630517897,0.0006636381149291992
development_extra,action_consensus,L4,1,2,-0.13921322076505635,0.0006636381149291992
development_extra,action_consensus,L4,2,3,-0.11397521106503838,0.0006636381149291992
development_extra,action_consensus,L4,3,4,-0.10822705227231902,0.0006636381149291992
development_extra,action_consensus,L4,4,5,-0.12448356385861889,0.0006636381149291992
development_extra,action_consensus,L4,5,6,-0.12960301778319896,0.0006636381149291992
development_extra,action_consensus,L4,6,7,-0.1388539608408355,0.0006636381149291992
development_extra,action_consensus,L4,7,8,-0.1679540147296569,0.0006636381149291992
development_extra,action_consensus,L4,8,9,-0.036285252380097,0.0006636381149291992
development_extra,action_consensus,L5,0,1,-0.020012461972725236,0.0016261935234069824
development_extra,action_consensus,L5,1,2,-0.09929259978727686,0.0016261935234069824
development_extra,action_consensus,L5,2,3,-0.12432650368368078,0.0016261935234069824
development_extra,action_consensus,L5,3,4,-0.1282483597844129,0.0016261935234069824
development_extra,action_consensus,L5,4,5,-0.10284792728079253,0.0016261935234069824
development_extra,action_consensus,L5,5,6,-0.07873034490341971,0.0016261935234069824
development_extra,action_consensus,L5,6,7,-0.14441227137778104,0.0016261935234069824
development_extra,action_consensus,L5,7,8,-0.2216031961294579,0.0016261935234069824
development_extra,action_consensus,L5,8,9,-0.08052633508045302,0.0016261935234069824
development_extra,conditional_effective_rank,L12,0,1,0.02737463622177992,0.02076528221368791
development_extra,conditional_effective_rank,L12,1,2,0.05783423374161367,0.02076528221368791
development_extra,conditional_effective_rank,L12,2,3,0.06587852686819083,0.02076528221368791
development_extra,conditional_effective_rank,L12,3,4,0.07492100123821496,0.02076528221368791
development_extra,conditional_effective_rank,L12,4,5,0.08332696463560818,0.02076528221368791
development_extra,conditional_effective_rank,L12,5,6,0.09218932146997832,0.02076528221368791
development_extra,conditional_effective_rank,L12,6,7,0.12705749301506072,0.02076528221368791
development_extra,conditional_effective_rank,L12,7,8,0.1879558776621617,0.02076528221368791
development_extra,conditional_effective_rank,L12,8,9,0.28346194514739165,0.02076528221368791
development_extra,conditional_effective_rank,L13,0,1,0.02615670037396263,0.02174641937017449
development_extra,conditional_effective_rank,L13,1,2,0.05647819018725428,0.02174641937017449
development_extra,conditional_effective_rank,L13,2,3,0.07372869596797173,0.02174641937017449
development_extra,conditional_effective_rank,L13,3,4,0.0713728970057449,0.02174641937017449
development_extra,conditional_effective_rank,L13,4,5,0.09155410440410473,0.02174641937017449
development_extra,conditional_effective_rank,L13,5,6,0.09802809759640375,0.02174641937017449
development_extra,conditional_effective_rank,L13,6,7,0.13356859345851432,0.02174641937017449
development_extra,conditional_effective_rank,L13,7,8,0.18911487946059122,0.02174641937017449
development_extra,conditional_effective_rank,L13,8,9,0.25999784154545247,0.02174641937017449
development_extra,conditional_effective_rank,L14,0,1,0.011071409722291186,0.026963360607624
development_extra,conditional_effective_rank,L14,1,2,0.046392320889889836,0.026963360607624
development_extra,conditional_effective_rank,L14,2,3,0.0619553512734744,0.026963360607624
development_extra,conditional_effective_rank,L14,3,4,0.057628695086796425,0.026963360607624
development_extra,conditional_effective_rank,L14,4,5,0.07245670787830799,0.026963360607624
development_extra,conditional_effective_rank,L14,5,6,0.08723608792689617,0.026963360607624
development_extra,conditional_effective_rank,L14,6,7,0.13904322262660498,0.026963360607624
development_extra,conditional_effective_rank,L14,7,8,0.21336455408057772,0.026963360607624
development_extra,conditional_effective_rank,L14,8,9,0.3108516505151613,0.026963360607624
development_extra,conditional_effective_rank,L15,0,1,0.0367020802437611,0.027581825852394104
development_extra,conditional_effective_rank,L15,1,2,0.06944194577481719,0.027581825852394104
development_extra,conditional_effective_rank,L15,2,3,0.0787769755022326,0.027581825852394104
development_extra,conditional_effective_rank,L15,3,4,0.07837070532716264,0.027581825852394104
development_extra,conditional_effective_rank,L15,4,5,0.09641353117394454,0.027581825852394104
development_extra,conditional_effective_rank,L15,5,6,0.09685167626966283,0.027581825852394104
development_extra,conditional_effective_rank,L15,6,7,0.10359889464258118,0.027581825852394104
development_extra,conditional_effective_rank,L15,7,8,0.15134860628259889,0.027581825852394104
development_extra,conditional_effective_rank,L15,8,9,0.28849558478323906,0.027581825852394104
development_extra,conditional_effective_rank,L2,0,1,0.016499054366386365,0.0024818629026412964
development_extra,conditional_effective_rank,L2,1,2,0.22596439614543978,0.0024818629026412964
development_extra,conditional_effective_rank,L2,2,3,0.19708204497014675,0.0024818629026412964
development_extra,conditional_effective_rank,L2,3,4,0.16712497373238394,0.0024818629026412964
development_extra,conditional_effective_rank,L2,4,5,0.09030950736995463,0.0024818629026412964
development_extra,conditional_effective_rank,L2,5,6,-0.06177238749962475,0.0024818629026412964
development_extra,conditional_effective_rank,L2,6,7,-0.18866140314010946,0.0024818629026412964
development_extra,conditional_effective_rank,L2,7,8,-0.2786226771937254,0.0024818629026412964
development_extra,conditional_effective_rank,L2,8,9,-0.4709435321665404,0.0024818629026412964
development_extra,conditional_effective_rank,L3,0,1,0.1434219781206531,0.002489276230335194
development_extra,conditional_effective_rank,L3,1,2,0.13034225767347132,0.002489276230335194
development_extra,conditional_effective_rank,L3,2,3,0.27281842534533013,0.002489276230335194
development_extra,conditional_effective_rank,L3,3,4,0.1664716182038943,0.002489276230335194
development_extra,conditional_effective_rank,L3,4,5,0.17709103425566758,0.002489276230335194
development_extra,conditional_effective_rank,L3,5,6,0.02193023151406208,0.002489276230335194
development_extra,conditional_effective_rank,L3,6,7,0.015237724667378511,0.002489276230335194
development_extra,conditional_effective_rank,L3,7,8,0.07268673021954297,0.002489276230335194
development_extra,conditional_effective_rank,L3,8,9,-0.09807695185645396,0.002489276230335194
development_extra,conditional_effective_rank,L4,0,1,0.04332802909752969,0.003769136965274797
development_extra,conditional_effective_rank,L4,1,2,0.19011435405278454,0.003769136965274797
development_extra,conditional_effective_rank,L4,2,3,0.19224329640137516,0.003769136965274797
development_extra,conditional_effective_rank,L4,3,4,0.16543680876087397,0.003769136965274797
development_extra,conditional_effective_rank,L4,4,5,0.13118791820276512,0.003769136965274797
development_extra,conditional_effective_rank,L4,5,6,0.10725560156950498,0.003769136965274797
development_extra,conditional_effective_rank,L4,6,7,0.06834952607807988,0.003769136965274797
development_extra,conditional_effective_rank,L4,7,8,0.08964685649900703,0.003769136965274797
development_extra,conditional_effective_rank,L4,8,9,0.012437609338079672,0.003769136965274797
development_extra,conditional_effective_rank,L5,0,1,0.010291599607143556,0.005795925855636597
development_extra,conditional_effective_rank,L5,1,2,0.14067842800508742,0.005795925855636597
development_extra,conditional_effective_rank,L5,2,3,0.14815481363026822,0.005795925855636597
development_extra,conditional_effective_rank,L5,3,4,0.14194848801155668,0.005795925855636597
development_extra,conditional_effective_rank,L5,4,5,0.11883288169930464,0.005795925855636597
development_extra,conditional_effective_rank,L5,5,6,0.0986661798960323,0.005795925855636597
development_extra,conditional_effective_rank,L5,6,7,0.14051388581799648,0.005795925855636597
development_extra,conditional_effective_rank,L5,7,8,0.17846014222616252,0.005795925855636597
development_extra,conditional_effective_rank,L5,8,9,0.02245358110644816,0.005795925855636597
development_extra,conditional_energy,L12,0,1,0.08408900652158102,0.002601066604256602
development_extra,conditional_energy,L12,1,2,0.04880062616504174,0.002601066604256602
development_extra,conditional_energy,L12,2,3,0.09898477339113998,0.002601066604256602
development_extra,conditional_energy,L12,3,4,0.051528998443892075,0.002601066604256602
development_extra,conditional_energy,L12,4,5,0.09736565272905896,0.002601066604256602
development_extra,conditional_energy,L12,5,6,0.05889345527223857,0.002601066604256602
development_extra,conditional_energy,L12,6,7,0.10835433320657,0.002601066604256602
development_extra,conditional_energy,L12,7,8,0.19358410010619825,0.002601066604256602
development_extra,conditional_energy,L12,8,9,0.25839905416427944,0.002601066604256602
development_extra,conditional_energy,L13,0,1,0.030871590072087462,0.0030624363571404994
development_extra,conditional_energy,L13,1,2,0.06169269761021594,0.0030624363571404994
development_extra,conditional_energy,L13,2,3,0.06407206716247102,0.0030624363571404994
development_extra,conditional_energy,L13,3,4,0.058376664174966876,0.0030624363571404994
development_extra,conditional_energy,L13,4,5,0.0874108116557413,0.0030624363571404994
development_extra,conditional_energy,L13,5,6,0.09797443394179005,0.0030624363571404994
development_extra,conditional_energy,L13,6,7,0.11534103384581604,0.0030624363571404994
development_extra,conditional_energy,L13,7,8,0.17636164470879193,0.0030624363571404994
development_extra,conditional_energy,L13,8,9,0.30789905682811936,0.0030624363571404994
development_extra,conditional_energy,L14,0,1,0.035881150350920876,0.002988390624523201
development_extra,conditional_energy,L14,1,2,0.0665490719156336,0.002988390624523201
development_extra,conditional_energy,L14,2,3,0.033266433139295885,0.002988390624523201
development_extra,conditional_energy,L14,3,4,0.08912103117713864,0.002988390624523201
development_extra,conditional_energy,L14,4,5,0.0897231329236216,0.002988390624523201
development_extra,conditional_energy,L14,5,6,0.10256984006282786,0.002988390624523201
development_extra,conditional_energy,L14,6,7,0.10686121741733613,0.002988390624523201
development_extra,conditional_energy,L14,7,8,0.1735798252284245,0.002988390624523201
development_extra,conditional_energy,L14,8,9,0.3024482977848009,0.002988390624523201
development_extra,conditional_energy,L15,0,1,0.03106706419940679,0.003399183973669999
development_extra,conditional_energy,L15,1,2,0.015009400396623587,0.003399183973669999
development_extra,conditional_energy,L15,2,3,0.07286499211200019,0.003399183973669999
development_extra,conditional_energy,L15,3,4,0.07106327225860541,0.003399183973669999
development_extra,conditional_energy,L15,4,5,0.07353077362716039,0.003399183973669999
development_extra,conditional_energy,L15,5,6,0.11249789717154703,0.003399183973669999
development_extra,conditional_energy,L15,6,7,0.1346522565609559,0.003399183973669999
development_extra,conditional_energy,L15,7,8,0.20151096786001627,0.003399183973669999
development_extra,conditional_energy,L15,8,9,0.2878033758136844,0.003399183973669999
