quantity,layer,direction,dev_tasks,dev_agree,dev_exact_ties,ext_exact_ties,dev_median_contrast,dev_median_relative,ext_tasks,ext_agree,ext_median_contrast
token_entropy,L2,late>early,40,21,0,0,3.600120544433594e-05,1.0403417486404934e-05,39,21,5.316734313964844e-05
token_entropy,L3,late<early,40,40,0,0,-0.0009942054748535156,-0.0002873694949691116,39,39,-0.0009982585906982422
token_entropy,L4,late<early,40,40,0,0,-0.0020142793655395508,-0.0005818763411101434,39,39,-0.0020301342010498047
token_entropy,L5,late<early,40,40,0,0,-0.0030214786529541016,-0.0008731178342006678,39,39,-0.00305938720703125
token_entropy,L12,late<early,40,40,0,0,-0.00407719612121582,-0.0011775346692420563,39,39,-0.004062652587890625
token_entropy,L13,late<early,40,40,0,0,-0.004630565643310547,-0.0013374617514821307,39,39,-0.0046427249908447266
token_entropy,L14,late<early,40,40,0,0,-0.0041855573654174805,-0.0012087815000492656,39,39,-0.004141330718994141
token_entropy,L15,late<early,40,40,0,0,-0.006183624267578125,-0.001786344003656566,39,39,-0.006267547607421875
token_entropy,back_minus_front,late<early,40,40,0,0,-0.0032808780670166016,-2.943859037751285,39,39,-0.003244638442993164
load_entropy,L2,late<early,40,31,0,0,-0.0004633665084838867,-0.00013374217572758955,39,30,-0.00044417381286621094
load_entropy,L3,late<early,40,40,0,0,-0.0007799863815307617,-0.0002251834074917069,39,39,-0.000789642333984375
load_entropy,L4,late<early,40,40,0,0,-0.0009359121322631836,-0.0002701225667756167,39,39,-0.0009379386901855469
load_entropy,L5,late<early,40,40,0,0,-0.0012880563735961914,-0.0003717837795751826,39,39,-0.0012805461883544922
load_entropy,L12,late<early,40,40,0,0,-0.001956343650817871,-0.0005646781292852408,39,39,-0.001959085464477539
load_entropy,L13,late<early,40,40,0,0,-0.0024001598358154297,-0.0006928431391043341,39,39,-0.002425670623779297
load_entropy,L14,late<early,40,40,0,0,-0.002087712287902832,-0.0006026263871686157,39,39,-0.002100706100463867
load_entropy,L15,late<early,40,40,0,0,-0.0038591623306274414,-0.0011140529289626272,39,39,-0.0038251876831054688
load_entropy,back_minus_front,late<early,40,40,0,0,-0.001660466194152832,-7.506430429109949,39,39,-0.0016502538928762078
token_differentiation,L2,late<early,40,36,0,0,-0.0003456424456089735,-0.10158661903258043,39,35,-0.0003291955217719078
token_differentiation,L3,late>early,40,34,0,0,0.00024936359841376543,0.07368533417102151,39,33,0.0003038907889276743
token_differentiation,L4,late>early,40,40,0,0,0.001011207525152713,0.3448293401197249,39,39,0.0010318290442228317
