cohort,token_family,layer,step,same_state_diff_noise_mean,diff_state_same_noise_mean,diff_state_diff_noise_mean,observation_over_noise,tasks
development_main,action,L2,0,0.040066443383693695,0.007778712082654238,0.040934573858976364,0.19041380286216736,37
development_main,action,L2,1,0.03856903314590454,0.008118984289467335,0.03954559937119484,0.20649407804012299,37
development_main,action,L2,2,0.03787802532315254,0.008672324009239674,0.03899476304650307,0.22452959418296814,37
development_main,action,L2,3,0.03720173239707947,0.009329146705567837,0.03848636895418167,0.24592840671539307,37
development_main,action,L2,4,0.036213018000125885,0.010067785158753395,0.037707600742578506,0.27235478162765503,37
development_main,action,L2,5,0.03482360765337944,0.010921308770775795,0.0366014689207077,0.3071385324001312,37
development_main,action,L2,6,0.03234457969665527,0.011760718189179897,0.03450419381260872,0.3558887243270874,37
development_main,action,L2,7,0.028903016820549965,0.01274827029556036,0.03167854622006416,0.43169912695884705,37
development_main,action,L2,8,0.024528376758098602,0.013810994103550911,0.028278058394789696,0.5512464642524719,37
development_main,action,L2,9,0.02053077146410942,0.015525687485933304,0.025936046615242958,0.7401944994926453,37
development_main,action,L3,0,0.03530990332365036,0.008360001258552074,0.036276206374168396,0.2332214117050171,37
development_main,action,L3,1,0.034545015543699265,0.008753050118684769,0.03563578426837921,0.2495267242193222,37
development_main,action,L3,2,0.03370238468050957,0.009333252906799316,0.03496483713388443,0.272371381521225,37
development_main,action,L3,3,0.03330017253756523,0.01002008281648159,0.034760285168886185,0.29605695605278015,37
development_main,action,L3,4,0.03268299996852875,0.010792856104671955,0.0343814343214035,0.3247048556804657,37
development_main,action,L3,5,0.03176493942737579,0.011700043454766273,0.03378041461110115,0.36209172010421753,37
development_main,action,L3,6,0.029777124524116516,0.012687454000115395,0.03226954862475395,0.4184126853942871,37
development_main,action,L3,7,0.027056239545345306,0.01391570270061493,0.03031896986067295,0.5043731927871704,37
development_main,action,L3,8,0.023699522018432617,0.015480175614356995,0.02821366861462593,0.6391640901565552,37
development_main,action,L3,9,0.021455978974699974,0.018309716135263443,0.028148872777819633,0.8346251845359802,37
development_main,action,L4,0,0.032222095876932144,0.009002381935715675,0.03339289501309395,0.2750464081764221,37
development_main,action,L4,1,0.031303104013204575,0.009483025409281254,0.03265351429581642,0.2978970408439636,37
development_main,action,L4,2,0.03127685561776161,0.010228032246232033,0.032851144671440125,0.3214302957057953,37
development_main,action,L4,3,0.0309661366045475,0.011084179393947124,0.03281550854444504,0.351860910654068,37
development_main,action,L4,4,0.030679335817694664,0.01201272290199995,0.032842665910720825,0.3845033645629883,37
development_main,action,L4,5,0.02996918559074402,0.013113514520227909,0.03256843984127045,0.4296223521232605,37
development_main,action,L4,6,0.028787069022655487,0.014320870861411095,0.03196950629353523,0.48789530992507935,37
development_main,action,L4,7,0.02640841342508793,0.015803569927811623,0.030550343915820122,0.5857100486755371,37
development_main,action,L4,8,0.023709792643785477,0.0177016519010067,0.029331494122743607,0.729036808013916,37
development_main,action,L4,9,0.021420732140541077,0.021025067195296288,0.029697325080633163,0.9585065245628357,37
development_main,action,L5,0,0.03702763840556145,0.011353621259331703,0.038697171956300735,0.3013753890991211,37
development_main,action,L5,1,0.03593558445572853,0.012022821232676506,0.03787535801529884,0.32916495203971863,37
development_main,action,L5,2,0.03587597608566284,0.012995879165828228,0.038149211555719376,0.35670825839042664,37
development_main,action,L5,3,0.035836074501276016,0.014052563346922398,0.03847452253103256,0.3863026797771454,37
development_main,action,L5,4,0.035743046551942825,0.015185742639005184,0.03879912942647934,0.4182118773460388,37
development_main,action,L5,5,0.03493589535355568,0.016435498371720314,0.038532257080078125,0.46284908056259155,37
development_main,action,L5,6,0.033096134662628174,0.017645493149757385,0.037357497960329056,0.5240002274513245,37
development_main,action,L5,7,0.030262261629104614,0.019060522317886353,0.03552863746881485,0.6182052493095398,37
development_main,action,L5,8,0.02642337791621685,0.020827749744057655,0.03328969329595566,0.7722925543785095,37
development_main,action,L5,9,0.02320214733481407,0.024059778079390526,0.03291420266032219,1.0162889957427979,37
development_main,action,L12,0,0.021475084125995636,0.023845801129937172,0.03189731016755104,1.0901985168457031,37
development_main,action,L12,1,0.020825978368520737,0.025217192247509956,0.032493602484464645,1.1888401508331299,37
development_main,action,L12,2,0.020447105169296265,0.027047712355852127,0.03365388885140419,1.2991840839385986,37
development_main,action,L12,3,0.02028440125286579,0.029029374942183495,0.03511397913098335,1.406205415725708,37
development_main,action,L12,4,0.01997283846139908,0.03109125792980194,0.036620281636714935,1.5302191972732544,37
development_main,action,L12,5,0.019706089049577713,0.03333670273423195,0.038362182676792145,1.663865089416504,37
development_main,action,L12,6,0.019127972424030304,0.03573061525821686,0.040137503296136856,1.8390315771102905,37
development_main,action,L12,7,0.018251020461320877,0.03850961849093437,0.04221294820308685,2.082848072052002,37
development_main,action,L12,8,0.01728963665664196,0.0419241338968277,0.04493723064661026,2.409062623977661,37
development_main,action,L12,9,0.01675102300941944,0.04658128321170807,0.04903658479452133,2.7994532585144043,37
development_main,action,L13,0,0.020842647179961205,0.02490544319152832,0.032251808792352676,1.1718597412109375,37
development_main,action,L13,1,0.020044434815645218,0.02627258002758026,0.032804619520902634,1.286368489265442,37
development_main,action,L13,2,0.01958969235420227,0.02809722349047661,0.03397207707166672,1.4089771509170532,37
development_main,action,L13,3,0.019313247874379158,0.03010660968720913,0.03544741868972778,1.5338507890701294,37
development_main,action,L13,4,0.01882181689143181,0.03220909833908081,0.036941830068826675,1.6863173246383667,37
development_main,action,L13,5,0.01833333820104599,0.0345478430390358,0.03871413320302963,1.8593636751174927,37
development_main,action,L13,6,0.017649488523602486,0.0370931476354599,0.04065637290477753,2.0759236812591553,37
development_main,action,L13,7,0.01683124154806137,0.04014073312282562,0.04309678077697754,2.359811782836914,37
development_main,action,L13,8,0.016070349141955376,0.043918319046497345,0.046333394944667816,2.7169411182403564,37
development_main,action,L13,9,0.016069216653704643,0.048977628350257874,0.051074132323265076,3.0632848739624023,37
development_main,action,L14,0,0.01989727094769478,0.02396857738494873,0.030918043106794357,1.1811641454696655,37
development_main,action,L14,1,0.019077975302934647,0.025218786671757698,0.03136780112981796,1.296977162361145,37
development_main,action,L14,2,0.018744714558124542,0.02691161260008812,0.032506875693798065,1.4097579717636108,37
development_main,action,L14,3,0.01856517232954502,0.028790371492505074,0.03393760323524475,1.5245273113250732,37
development_main,action,L14,4,0.018272899091243744,0.03074352815747261,0.035420529544353485,1.6565018892288208,37
development_main,action,L14,5,0.01782597228884697,0.03296614810824394,0.03711070492863655,1.8244335651397705,37
development_main,action,L14,6,0.01722211390733719,0.035457249730825424,0.039036333560943604,2.035860538482666,37
development_main,action,L14,7,0.016349725425243378,0.0385640412569046,0.04149586707353592,2.3399899005889893,37
development_main,action,L14,8,0.015583864413201809,0.04253463074564934,0.04490090534090996,2.72515606880188,37
development_main,action,L14,9,0.01565369963645935,0.047923773527145386,0.049980901181697845,3.1052143573760986,37
development_main,action,L15,0,0.0200026948004961,0.023722058162093163,0.030808668583631516,1.1631999015808105,37
development_main,action,L15,1,0.019386908039450645,0.02492714114487171,0.0313672199845314,1.262744426727295,37
development_main,action,L15,2,0.01929301582276821,0.026556439697742462,0.032619576901197433,1.3541908264160156,37
development_main,action,L15,3,0.01922197826206684,0.028381962329149246,0.034070443361997604,1.455977201461792,37
development_main,action,L15,4,0.01912819594144821,0.030330413952469826,0.03566650673747063,1.5668197870254517,37
development_main,action,L15,5,0.01913931593298912,0.032590966671705246,0.0376199446618557,1.6849287748336792,37
development_main,action,L15,6,0.018896037712693214,0.03523879125714302,0.03981175273656845,1.846719741821289,37
development_main,action,L15,7,0.018254393711686134,0.03862868249416351,0.0425163172185421,2.095627784729004,37
development_main,action,L15,8,0.017702769488096237,0.04313379526138306,0.04636458680033684,2.421513795852661,37
development_main,action,L15,9,0.018162207677960396,0.04930991679430008,0.05223307013511658,2.7393999099731445,37
development_main,state,L2,0,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,1,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,2,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,3,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,4,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,5,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,6,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,7,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,8,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L2,9,0.00010250554623780772,0.08402308821678162,0.08402308821678162,883.2216796875,37
development_main,state,L3,0,9.798102837521583e-05,0.11117156594991684,0.11117156594991684,1190.416015625,37
development_main,state,L3,1,9.877649426925927e-05,0.11117186397314072,0.11117186397314072,1150.8446044921875,37
development_main,state,L3,2,0.00010145059786736965,0.11117251217365265,0.11117251217365265,1108.59765625,37
development_main,state,L3,3,0.00010055286838905886,0.11117187887430191,0.11117188632488251,1128.221435546875,37
development_main,state,L3,4,0.0001006718011922203,0.11117204278707504,0.11117204278707504,1118.8236083984375,37
development_main,state,L3,5,0.00010130670125363395,0.11117188632488251,0.11117188632488251,1110.609619140625,37
development_main,state,L3,6,9.93219728115946e-05,0.11117138713598251,0.11117138713598251,1148.23876953125,37
development_main,state,L3,7,9.795516962185502e-05,0.11117066442966461,0.11117066442966461,1167.6923828125,37
development_main,state,L3,8,9.411443170392886e-05,0.11117087304592133,0.11117087304592133,1243.52099609375,37
development_main,state,L3,9,9.177016909234226e-05,0.11117131263017654,0.11117131263017654,1274.014404296875,37
development_main,state,L4,0,0.00013366268831305206,0.08944794535636902,0.08944793790578842,677.1534423828125,37
development_main,state,L4,1,0.00013613971532322466,0.08944891393184662,0.08944890648126602,655.8221435546875,37
development_main,state,L4,2,0.0001374334387946874,0.08945032209157944,0.08945032954216003,639.8532104492188,37
development_main,state,L4,3,0.00013615003263112158,0.08944948762655258,0.08944948762655258,654.6799926757812,37
development_main,state,L4,4,0.00013707196922041476,0.08944962173700333,0.08944962173700333,646.9842529296875,37
development_main,state,L4,5,0.0001373221311951056,0.08944908529520035,0.08944909274578094,648.1056518554688,37
development_main,state,L4,6,0.00012947304639965296,0.08944873511791229,0.08944873511791229,687.7239379882812,37
development_main,state,L4,7,0.00012514098489191383,0.08944914489984512,0.08944914489984512,725.41259765625,37
development_main,state,L4,8,0.0001150225434685126,0.08944940567016602,0.08944940567016602,815.1021728515625,37
development_main,state,L4,9,0.00010846646910067648,0.08945012837648392,0.08945012837648392,855.8217163085938,37
development_main,state,L5,0,0.00016936981410253793,0.11157678812742233,0.11157678812742233,689.1685180664062,37
development_main,state,L5,1,0.00017226832278538495,0.11157761514186859,0.11157761514186859,666.3440551757812,37
development_main,state,L5,2,0.00017267400107812136,0.11157989501953125,0.11157987266778946,646.1569213867188,37
development_main,state,L5,3,0.00016699987463653088,0.11157993227243423,0.11157991737127304,677.8138427734375,37
development_main,state,L5,4,0.00016857516311574727,0.1115812212228775,0.1115812361240387,664.2103271484375,37
development_main,state,L5,5,0.0001674762461334467,0.11158111691474915,0.11158111691474915,671.4681396484375,37
development_main,state,L5,6,0.0001593196502653882,0.11158064007759094,0.11158064007759094,705.524658203125,37
development_main,state,L5,7,0.00014890619786456227,0.11158029735088348,0.11158029735088348,760.8624877929688,37
development_main,state,L5,8,0.00012806043378077447,0.11158159375190735,0.11158159375190735,888.5761108398438,37
development_main,state,L5,9,0.00011868115689139813,0.1115826666355133,0.1115826666355133,957.4820556640625,37
development_main,state,L12,0,0.000326825916999951,0.08128157258033752,0.08128157258033752,246.2582550048828,37
development_main,state,L12,1,0.00033572345273569226,0.08128126710653305,0.08128126710653305,239.41702270507812,37
development_main,state,L12,2,0.00032968641608022153,0.08128073066473007,0.08128073066473007,243.76475524902344,37
development_main,state,L12,3,0.00032714393455535173,0.08128245174884796,0.08128245174884796,246.72349548339844,37
development_main,state,L12,4,0.0003236550837755203,0.08128137141466141,0.08128137141466141,249.939697265625,37
development_main,state,L12,5,0.00031363737070932984,0.08128131926059723,0.08128132671117783,257.4073791503906,37
development_main,state,L12,6,0.0002994631358888,0.08128278702497482,0.08128279447555542,268.9256591796875,37
development_main,state,L12,7,0.000271535333013162,0.08128394931554794,0.08128394931554794,297.0136413574219,37
development_main,state,L12,8,0.00022888518287800252,0.08128290623426437,0.08128290623426437,359.0523376464844,37
development_main,state,L12,9,0.0001962921814993024,0.08128265291452408,0.08128265291452408,421.94830322265625,37
development_main,state,L13,0,0.00036599161103367805,0.0793803483247757,0.07938035577535629,215.8187255859375,37
development_main,state,L13,1,0.00037473018164746463,0.0793808326125145,0.0793808326125145,209.861572265625,37
