scope,method,failures,successes,tp,fp,median_failure_query
S05,frozen_v82,24,376,18,2,20.0
S05,diagnostic_no_acc_confirmation,24,376,20,2,14.0
all_B,frozen_v82,564,15436,475,99,24.0
all_B,diagnostic_no_acc_confirmation,564,15436,511,377,20.0
other_B_tasks,frozen_v82,540,15060,457,97,25.0
other_B_tasks,diagnostic_no_acc_confirmation,540,15060,491,375,21.0
