split,suite,episodes,alarmed_episodes,alarmed_successes,alarmed_failures,success_after_first_alarm,wilson_low,wilson_high,cluster_low,cluster_high,cluster_interval_status,first_alarm_q_median
all_natural,all,32000,557,42,515,0.07540394973070018,0.05626702931522773,0.10035737396159528,0.048948913215928924,0.10959095075622549,available,30.0
all_natural,libero_goal,8000,71,0,71,0.0,0.0,0.05132795219689034,,,undefined_or_degenerate,21.0
all_natural,libero_long,8000,359,39,320,0.10863509749303621,0.08049294521135365,0.1450641316637502,0.06872599555286033,0.1589776957298066,available,33.0
all_natural,libero_object,8000,27,1,26,0.037037037037037035,0.006568145980785103,0.18283465933575843,0.0,0.13333333333333333,available,22.0
all_natural,libero_spatial,8000,100,2,98,0.02,0.00550196755016235,0.07001179072854388,0.0,0.05128205128205128,available,20.0
test_unseen_init,all,6400,101,11,90,0.10891089108910891,0.06191128093458513,0.18457001674451023,0.05452590420332356,0.18666666666666668,available,31.0
test_unseen_init,libero_goal,1600,9,0,9,0.0,0.0,0.2991450484195441,,,undefined_or_degenerate,26.0
test_unseen_init,libero_long,1600,70,10,60,0.14285714285714285,0.07948941717066599,0.2433841988366675,0.06601016907620681,0.2564285714285714,available,34.0
test_unseen_init,libero_object,1600,8,0,8,0.0,0.0,0.32440756488388023,,,undefined_or_degenerate,21.5
test_unseen_init,libero_spatial,1600,14,1,13,0.07142857142857142,0.012722215247890939,0.31468704424151117,0.0,0.17647058823529413,available,19.0
test_new_noise_seen_init,all,12800,221,19,202,0.08597285067873303,0.055728788081136925,0.1303643774771853,0.04244291130312114,0.13066363370249304,available,30.0
test_new_noise_seen_init,libero_goal,3200,28,0,28,0.0,1.3877787807814457e-17,0.12064330476584563,,,undefined_or_degenerate,16.0
test_new_noise_seen_init,libero_long,3200,145,17,128,0.11724137931034483,0.07450140916333522,0.17973863336595,0.05736538717846195,0.1863051470588235,available,33.0
test_new_noise_seen_init,libero_object,3200,10,1,9,0.1,0.017876213095072896,0.4041500267952385,0.0,0.3333333333333333,available,22.0
test_new_noise_seen_init,libero_spatial,3200,38,1,37,0.02631578947368421,0.004660587685768783,0.1349487611595213,0.0,0.08825163398692809,available,20.0
