split,suite,selection,model,episodes,rows,successes,success_rate,brier,log_loss,auroc,ece10
calibration,all,all_queries,prior,3200,50449,47511,0.9417629685424884,0.05538972073206733,0.22013651312859894,0.6518859901011923,0.034359133652103
calibration,all,all_queries,budget_raw,3200,50449,47511,0.9417629685424884,0.04110021116318938,0.16460149045250624,0.820399325245292,0.027334866463952792
calibration,all,all_queries,budget,3200,50449,47511,0.9417629685424884,0.03863797764143742,0.1559472971770426,0.8218561338072276,0.0015678605973027705
calibration,all,all_queries,moe_raw,3200,50449,47511,0.9417629685424884,0.03398511138940247,0.1353112040228856,0.8932213275994028,0.02384558868587327
calibration,all,all_queries,moe,3200,50449,47511,0.9417629685424884,0.03143791799909188,0.12772772933980864,0.893896403253482,0.008617013189444734
calibration,all,first_alarm,prior,1,1,0,0.0,0.8421461414984157,2.497204458181981,,0.9176852082813669
calibration,all,first_alarm,budget_raw,1,1,0,0.0,0.0026832396784241355,0.05318982524053312,,0.05179999689598577
calibration,all,first_alarm,budget,1,1,0,0.0,0.0053215430538227654,0.07574659858797479,,0.07294890714618531
calibration,all,first_alarm,moe_raw,1,1,0,0.0,3.896093853808422e-05,0.006261431708725866,,0.006241869795028106
calibration,all,first_alarm,moe,1,1,0,0.0,0.0003641007911410686,0.019265825197165513,,0.019081425291132437
calibration,all,first_alarm_half_k4,prior,41,41,5,0.12195121951219512,0.6933793829374988,2.0170101300862617,0.3055555555555556,0.7603386886150071
calibration,all,first_alarm_half_k4,budget_raw,41,41,5,0.12195121951219512,0.28200166217518186,0.8397790245817898,0.7527777777777778,0.32607788082875805
calibration,all,first_alarm_half_k4,budget,41,41,5,0.12195121951219512,0.33709869957507166,1.0638598641670778,0.7527777777777778,0.3968433974039468
calibration,all,first_alarm_half_k4,moe_raw,41,41,5,0.12195121951219512,0.084971658881869,0.26972378643640016,0.8388888888888888,0.03506047211062214
calibration,all,first_alarm_half_k4,moe,41,41,5,0.12195121951219512,0.09878879220707323,0.3046515953023535,0.8388888888888888,0.12675874915441984
calibration,all,episode_equal,prior,3200,50449,47511,0.97625,0.026967952705193605,0.1367026342787999,0.6516274681583061,0.0551486829019902
calibration,all,episode_equal,budget_raw,3200,50449,47511,0.97625,0.01874075060976718,0.09341932958895181,0.8383180510123162,0.03437630647036249
calibration,all,episode_equal,budget,3200,50449,47511,0.97625,0.01650688851114573,0.07999887919058622,0.840908395342201,0.0148061338729291
calibration,all,episode_equal,moe_raw,3200,50449,47511,0.97625,0.015816882771440784,0.0759782581931184,0.8987037889843639,0.027262341522310773
calibration,all,episode_equal,moe,3200,50449,47511,0.97625,0.013740189381564499,0.06530910868743904,0.9013008908642239,0.011781843462760386
calibration,all,q0,prior,3200,3200,3124,0.97625,0.026967952705193605,0.13670263427879983,0.6516274681582317,0.0551486829019902
calibration,all,q0,budget_raw,3200,3200,3124,0.97625,0.023228161952395715,0.11054218420215464,0.6819529617898781,0.014090134537597665
calibration,all,q0,budget,3200,3200,3124,0.97625,0.022947749633991838,0.1070963551155407,0.6819529617898781,0.00022854814685879798
calibration,all,q0,moe_raw,3200,3200,3124,0.97625,0.023158442457615388,0.10939394590739149,0.6944706516611632,0.015115297142146863
calibration,all,q0,moe,3200,3200,3124,0.97625,0.022841665764495474,0.10562929365307465,0.7060912123458454,0.00030109812092782295
calibration,all,q7,prior,3164,3164,3088,0.9759797724399494,0.027206541408930945,0.13734346149578683,0.6514201833924189,0.05489760503397802
calibration,all,q7,budget_raw,3164,3164,3088,0.9759797724399494,0.023489623587560717,0.11156980964219033,0.6809870977638397,0.014157506697487388
calibration,all,q7,budget,3164,3164,3088,0.9759797724399494,0.023204060534757348,0.10808677650161583,0.6809870977638397,0.00030872009195048733
calibration,all,q7,moe_raw,3164,3164,3088,0.9759797724399494,0.02401559878068781,0.10057933188562554,0.8330634715025906,0.014677773974280129
calibration,all,q7,moe,3164,3164,3088,0.9759797724399494,0.022996249849418216,0.09679026610491225,0.8325521543496045,0.0045217378530283394
calibration,all,q15,prior,1010,1010,934,0.9247524752475248,0.07664846350859786,0.30390897337755945,0.34933224388594614,0.1035430754507129
calibration,all,q15,budget_raw,1010,1010,934,0.9247524752475248,0.05365709873581922,0.21937221164742537,0.6823086892820918,0.03468726581421982
calibration,all,q15,budget,1010,1010,934,0.9247524752475248,0.051853630266381776,0.2103809990915934,0.687126676434126,0.001877297264020157
calibration,all,q15,moe_raw,1010,1010,934,0.9247524752475248,0.04582682613355037,0.17145865581785574,0.8909895187647922,0.03567705593664941
calibration,all,q15,moe,1010,1010,934,0.9247524752475248,0.04226747378097215,0.1602795587054117,0.8915952890792291,0.015674150379076178
calibration,all,q25,prior,302,302,247,0.8178807947019867,0.15854756310263607,0.5363038489340862,0.34729481045270516,0.06286437624149989
calibration,all,q25,budget_raw,302,302,247,0.8178807947019867,0.11882680578509898,0.4053810140234718,0.6523371365476628,0.08062978848083939
calibration,all,q25,budget,302,302,247,0.8178807947019867,0.11227161707646717,0.3839064696046526,0.6523371365476628,0.009944347716902292
calibration,all,q25,moe_raw,302,302,247,0.8178807947019867,0.09443282830457707,0.31577903614302927,0.8708133971291866,0.08893158347559638
calibration,all,q25,moe,302,302,247,0.8178807947019867,0.08663573192893763,0.29369125525231915,0.8708133971291866,0.03288209583627937
calibration,libero_goal,all_queries,prior,800,9060,8700,0.9602649006622517,0.03996925142161838,0.18171424564280206,0.5,0.04257969238088499
calibration,libero_goal,all_queries,budget_raw,800,9060,8700,0.9602649006622517,0.02641997291347448,0.1218047015848729,0.7994846743295019,0.026557342502720703
calibration,libero_goal,all_queries,budget,800,9060,8700,0.9602649006622517,0.02527208568835483,0.11306442700620636,0.7994846743295019,0.0014874777637689804
calibration,libero_goal,all_queries,moe_raw,800,9060,8700,0.9602649006622517,0.021062411824354633,0.10019912589691234,0.8567369093231163,0.020850721588131484
calibration,libero_goal,all_queries,moe,800,9060,8700,0.9602649006622517,0.019866518247619726,0.09293428616311673,0.8567369093231163,0.0033927357749266767
calibration,libero_goal,first_alarm,prior,1,1,0,0.0,0.8421461414984157,2.497204458181981,,0.9176852082813669
calibration,libero_goal,first_alarm,budget_raw,1,1,0,0.0,0.0026832396784241355,0.05318982524053312,,0.05179999689598577
calibration,libero_goal,first_alarm,budget,1,1,0,0.0,0.0053215430538227654,0.07574659858797479,,0.07294890714618531
calibration,libero_goal,first_alarm,moe_raw,1,1,0,0.0,3.896093853808422e-05,0.006261431708725866,,0.006241869795028106
calibration,libero_goal,first_alarm,moe,1,1,0,0.0,0.0003641007911410686,0.019265825197165513,,0.019081425291132437
calibration,libero_goal,first_alarm_half_k4,prior,3,3,0,0.0,0.8421461414984157,2.497204458181981,,0.9176852082813669
calibration,libero_goal,first_alarm_half_k4,budget_raw,3,3,0,0.0,0.5596607661617393,1.3793576969753871,,0.7480251813614099
calibration,libero_goal,first_alarm_half_k4,budget,3,3,0,0.0,0.7229171193360505,1.8998944384012784,,0.8502085223950225
calibration,libero_goal,first_alarm_half_k4,moe_raw,3,3,0,0.0,0.000713465938376282,0.02423884007922299,,0.023873550998615
calibration,libero_goal,first_alarm_half_k4,moe,3,3,0,0.0,0.005096269900197277,0.06769820956448559,,0.06498442827528153
calibration,libero_goal,episode_equal,prior,800,9060,8700,0.985,0.019306281184122955,0.12207041154739634,0.5,0.06731479171863308
calibration,libero_goal,episode_equal,budget_raw,800,9060,8700,0.985,0.011766136911250337,0.07289197166424992,0.815987497649932,0.035801167821828704
calibration,libero_goal,episode_equal,budget,800,9060,8700,0.985,0.010098516559690065,0.05538868757059236,0.815987497649932,0.012693998126912354
calibration,libero_goal,episode_equal,moe_raw,800,9060,8700,0.985,0.00949315106926484,0.058476195283298615,0.8613945912880874,0.027495490477668874
calibration,libero_goal,episode_equal,moe,800,9060,8700,0.985,0.007956538999644271,0.04544661943502151,0.8613945912880874,0.010868447429715457
calibration,libero_goal,q0,prior,800,800,788,0.985,0.01930628118412295,0.12207041154739631,0.5,0.06731479171863342
calibration,libero_goal,q0,budget_raw,800,800,788,0.985,0.015068028113905072,0.08373053856102819,0.5,0.01711806396486082
calibration,libero_goal,q0,budget,800,800,788,0.985,0.014775247482495155,0.07789107146661717,0.5,0.0004974761252054538
calibration,libero_goal,q0,moe_raw,800,800,788,0.985,0.015131280322345229,0.08467114771059787,0.4015439932318105,0.017774270253117175
calibration,libero_goal,q0,moe,800,800,788,0.985,0.014795545548420982,0.07851147084545788,0.4015439932318105,0.0016588215869747236
calibration,libero_goal,q7,prior,779,779,767,0.9845956354300385,0.019644075383374888,0.12304545729091741,0.5,0.06691042714867179
calibration,libero_goal,q7,budget_raw,779,779,767,0.9845956354300385,0.015486922786053726,0.08574783429066685,0.5,0.017884425176575403
calibration,libero_goal,q7,budget,779,779,767,0.9845956354300385,0.01516717526309905,0.07957263962769517,0.5,0.0003242544399735259
calibration,libero_goal,q7,moe_raw,779,779,767,0.9845956354300385,0.01684724705695113,0.0863635077122252,0.6780747501086485,0.019453522722139696
calibration,libero_goal,q7,moe,779,779,767,0.9845956354300385,0.015356297419700501,0.07865661479355728,0.6780747501086485,0.002269113405729477
calibration,libero_goal,q15,prior,94,94,82,0.8723404255319149,0.11341875683730757,0.3937268491093388,0.5,0.04534478274945186
calibration,libero_goal,q15,budget_raw,94,94,82,0.8723404255319149,0.12393359195205905,0.42145199855935145,0.5,0.11212040152151848
calibration,libero_goal,q15,budget,94,94,82,0.8723404255319149,0.1115401421358236,0.3826665762052346,0.5,0.013324211838268485
