split,suite,episodes,successes,queries
calibration,libero_goal,800,788,9060
calibration,libero_long,800,762,21422
calibration,libero_object,800,795,11154
calibration,libero_spatial,800,779,8813
test_new_noise_seen_init,libero_goal,3200,3108,37298
test_new_noise_seen_init,libero_long,3200,2975,85833
test_new_noise_seen_init,libero_object,3200,3164,45051
test_new_noise_seen_init,libero_spatial,3200,3091,35538
test_unseen_init,libero_goal,1600,1573,18148
test_unseen_init,libero_long,1600,1501,42839
test_unseen_init,libero_object,1600,1582,22529
test_unseen_init,libero_spatial,1600,1549,17721
train,libero_goal,2400,2323,28063
train,libero_long,2400,2221,64245
train,libero_object,2400,2378,33624
train,libero_spatial,2400,2315,26685
