split,selection,model,bin,low,high,rows,weight,predicted,observed
calibration,all_queries,prior,8,0.8,0.9,21422,21422.0,0.8551171297377229,0.9077583792362991
calibration,all_queries,prior,9,0.9,1.0,29027,29027.0,0.9459915565901937,0.9668584421400764
calibration,all_queries,budget_raw,0,0.0,0.1,717,717.0,0.025288694905724215,0.043235704323570434
calibration,all_queries,budget_raw,1,0.1,0.2,192,192.0,0.14951365959219812,0.3802083333333333
calibration,all_queries,budget_raw,2,0.2,0.3,24,24.0,0.24171011459182468,0.2916666666666667
calibration,all_queries,budget_raw,3,0.3,0.4,256,256.0,0.3600095242338659,0.63671875
calibration,all_queries,budget_raw,4,0.4,0.5,859,859.0,0.45565258979898166,0.6845168800931315
calibration,all_queries,budget_raw,5,0.5,0.6,493,493.0,0.5482062046198459,0.7261663286004056
calibration,all_queries,budget_raw,6,0.6,0.7,275,275.0,0.6761338467436134,0.8
calibration,all_queries,budget_raw,7,0.7,0.8,655,655.0,0.7704248378919266,0.8687022900763359
calibration,all_queries,budget_raw,8,0.8,0.9,1269,1269.0,0.8603240322903867,0.9101654846335697
calibration,all_queries,budget_raw,9,0.9,1.0,45709,45709.0,0.9526175089534172,0.9702028046992933
calibration,all_queries,budget,0,0.0,0.1,566,566.0,0.04394321587929974,0.028268551236749116
calibration,all_queries,budget,1,0.1,0.2,134,134.0,0.14770919936793042,0.11194029850746269
calibration,all_queries,budget,2,0.2,0.3,127,127.0,0.2702741980313209,0.2283464566929134
calibration,all_queries,budget,3,0.3,0.4,24,24.0,0.3515785512237128,0.2916666666666667
calibration,all_queries,budget,4,0.4,0.5,108,108.0,0.428892932344574,0.5370370370370371
calibration,all_queries,budget,5,0.5,0.6,117,117.0,0.5624157473426148,0.6324786324786325
calibration,all_queries,budget,6,0.6,0.7,1043,1043.0,0.6655670565604331,0.6836049856184084
calibration,all_queries,budget,7,0.7,0.8,490,490.0,0.7390976277825186,0.7326530612244898
calibration,all_queries,budget,8,0.8,0.9,1048,1048.0,0.8586264264758847,0.8568702290076335
calibration,all_queries,budget,9,0.9,1.0,46792,46792.0,0.9693319495759033,0.969011796888357
calibration,all_queries,moe_raw,0,0.0,0.1,1002,1002.0,0.03444141569408048,0.04590818363273453
calibration,all_queries,moe_raw,1,0.1,0.2,255,255.0,0.14674865132300355,0.19215686274509805
calibration,all_queries,moe_raw,2,0.2,0.3,223,223.0,0.2511795740900605,0.3183856502242152
calibration,all_queries,moe_raw,3,0.3,0.4,197,197.0,0.34948215235067936,0.41624365482233505
calibration,all_queries,moe_raw,4,0.4,0.5,296,296.0,0.45430392721569207,0.6655405405405406
calibration,all_queries,moe_raw,5,0.5,0.6,632,632.0,0.554072127619392,0.8243670886075949
calibration,all_queries,moe_raw,6,0.6,0.7,1009,1009.0,0.6546879198312292,0.865213082259663
calibration,all_queries,moe_raw,7,0.7,0.8,1297,1297.0,0.7513095154861185,0.9144178874325366
calibration,all_queries,moe_raw,8,0.8,0.9,2743,2743.0,0.8648838473116589,0.9139628144367481
calibration,all_queries,moe_raw,9,0.9,1.0,42795,42795.0,0.9725241072498186,0.9809323519102698
calibration,all_queries,moe,0,0.0,0.1,702,702.0,0.04624638533196373,0.01566951566951567
