selection,metric,estimate,low,high
all_queries,moe_brier,0.03842258888041573,0.0292462704268412,0.048466752390867014
all_queries,moe_log_loss,0.14518354619416804,0.11536942993544344,0.17783956521277203
all_queries,budget_brier,0.04771359398700493,0.03539253784158312,0.06151082827223682
all_queries,budget_log_loss,0.18693208512635812,0.1468367630246397,0.2305648543770333
all_queries,moe_minus_budget_brier,-0.009291005106589199,-0.013650094582440823,-0.005708927423324316
all_queries,moe_minus_budget_log_loss,-0.04174853893219003,-0.056520343430032885,-0.02914689117510726
first_alarm,moe_brier,0.0016181106655929318,0.001076380698329784,0.0021598406328560797
first_alarm,moe_log_loss,0.04047358832415195,0.03335850051731131,0.047588676130992595
first_alarm,budget_brier,0.015565700899300839,0.004295022102211937,0.02683637969638974
first_alarm,budget_log_loss,0.12334588260069673,0.06778262356487014,0.17890914163652333
first_alarm,moe_minus_budget_brier,-0.013947590233707906,-0.025759998998059957,-0.002135181469355857
first_alarm,moe_minus_budget_log_loss,-0.08287229427654477,-0.145550641119212,-0.020193947433877542
first_alarm_half_k4,moe_brier,0.06596550537621272,0.03384988620581043,0.0985279990760387
first_alarm_half_k4,moe_log_loss,0.25084676696565605,0.1464426192882007,0.3610671038787004
first_alarm_half_k4,budget_brier,0.3092734563820518,0.18783388583517768,0.42542044311723787
first_alarm_half_k4,budget_log_loss,0.8772939324140012,0.5066298911483123,1.2577357669333122
first_alarm_half_k4,moe_minus_budget_brier,-0.24330795100583905,-0.34451575244974286,-0.12497136777552705
first_alarm_half_k4,moe_minus_budget_log_loss,-0.6264471654483449,-0.9825277758249231,-0.27020272304836873
