task,evaluation,chunk,family,conditional_auc,ci_low,ci_high,pairs,mixed_scenes
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,0,routed_identity,0.5625,0.3548387096774194,0.6971671159029647,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,0,routed_scalar,0.28125,0.13683014354066986,0.38666666666666666,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,0,routed_full,0.3203125,0.14893617021276595,0.449452247191011,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,0,shared_identity,0.6796875,0.5095799180327869,0.8,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,0,hidden_identity,0.6796875,0.578125,0.7571428571428571,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,0,base,0.671875,0.519212962962963,0.8,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,0,base_routed,0.625,0.49295774647887325,0.7244200179675526,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,1,routed_identity,0.640625,0.44996794871794876,0.8193124221022013,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,1,routed_scalar,0.53125,0.3333333333333333,0.6754385964912281,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,1,routed_full,0.5859375,0.33897001303780966,0.7522123893805309,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,1,shared_identity,0.40625,0.25731911764705884,0.6481481481481481,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,1,hidden_identity,0.375,0.2554168375717802,0.5647058823529412,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,1,base,0.375,0.2881338494803655,0.55,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,1,base_routed,0.5546875,0.39490445859872614,0.75,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,2,routed_identity,0.390625,0.2222222222222222,0.6176820728291311,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,2,routed_scalar,0.4140625,0.3411697860962567,0.5147058823529411,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,2,routed_full,0.4375,0.375,0.5303076496674056,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,2,shared_identity,0.6015625,0.4186046511627907,0.7575960951799875,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,2,hidden_identity,0.6171875,0.42857142857142855,0.8011724021592442,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,2,base,0.609375,0.41836734693877553,0.7777777777777778,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,2,base_routed,0.5234375,0.38317259892622785,0.6896673142302087,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,3,routed_identity,0.4765625,0.3333333333333333,0.7037167449139279,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,3,routed_scalar,0.5859375,0.44154889228418637,0.6960871848739494,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,3,routed_full,0.5078125,0.376541394335512,0.66,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,3,shared_identity,0.515625,0.43636363636363634,0.6260913482652612,128,7
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,seed_heldout,3,hidden_identity,0.5234375,0.41128843834790474,0.6851851851851852,128,7
