signal,chunk,failure_minus_success,ci_low,ci_high
per_query_risk_percentile,0,-0.05920451179937786,-0.13050439262911373,0.014300467482666022
per_query_risk_percentile,1,-0.020040977128030768,-0.10102497329059829,0.05822807137678799
per_query_risk_percentile,2,0.09844534702235597,0.02728556024105686,0.15660009302866443
per_query_risk_percentile,3,0.08119265200738413,-0.003359248380174745,0.16143844891054707
per_query_risk_percentile,4,0.007411620497557947,-0.07504233900090476,0.08874302029505715
per_query_risk_percentile,5,0.007520729312023966,-0.0825564477426922,0.0977390590818326
per_query_risk_percentile,6,0.12547967905110757,0.044248552786499126,0.20092940541601254
per_query_risk_percentile,7,0.14355731074481076,0.06773756036869881,0.21987841089961638
per_query_risk_percentile,8,0.16853700614861328,0.08239108423818252,0.2517400221306473
per_query_success_manifold_percentile,0,-0.024522785209169062,-0.11495181405895684,0.06722458200694799
per_query_success_manifold_percentile,1,-0.03782139859148792,-0.11427924986100223,0.04601291999171456
per_query_success_manifold_percentile,2,-0.010782047193877542,-0.08264641112855399,0.06489492456638106
per_query_success_manifold_percentile,3,0.009392987964416566,-0.06471623645451768,0.08608656162785629
per_query_success_manifold_percentile,4,0.040847158174167064,-0.046762663799494085,0.12726500581202033
per_query_success_manifold_percentile,5,0.11312237902639688,0.022096344514034125,0.20029077078881757
per_query_success_manifold_percentile,6,0.12798290189473227,0.0522817417732318,0.1987295148427961
per_query_success_manifold_percentile,7,0.1977591357055642,0.13353207649245585,0.25536711118742367
per_query_success_manifold_percentile,8,0.24540843581022154,0.19767744036717252,0.28983057926696315
frozen_k8_failure_axis,0,0.04501003155761585,-0.11610524173007351,0.2251163277327005
frozen_k8_failure_axis,1,-0.03903397319773938,-0.23309596746803019,0.1610674638709517
frozen_k8_failure_axis,2,-0.11256464558100776,-0.2426033500210167,0.02234528103640027
frozen_k8_failure_axis,3,-0.145805650172244,-0.3044578330012522,0.006115116451154369
frozen_k8_failure_axis,4,-0.021919649915935313,-0.1800709773825891,0.13125062125469442
frozen_k8_failure_axis,5,-0.17031432104930877,-0.4609284150527366,0.09270073215885465
frozen_k8_failure_axis,6,0.0009193733593777509,-0.3306930255300838,0.30031021762053534
frozen_k8_failure_axis,7,0.6117647964656912,0.0886178726710923,1.1678765379654266
frozen_k8_failure_axis,8,1.1959948583376812,0.7219988076673155,1.7220836774826866
