signal,chunk,group,mean,ci_low,ci_high
per_query_risk_percentile,0,success,0.5131805162636636,0.49730958308804285,0.5311608922916121
per_query_risk_percentile,0,failure,0.4539760044642857,0.39359592610080896,0.516676548549107
per_query_risk_percentile,1,success,0.4891077538119949,0.4637223315808695,0.5092520876372719
per_query_risk_percentile,1,failure,0.4690667766839641,0.4035203110691392,0.533127688825931
per_query_risk_percentile,2,success,0.4879046667411623,0.4765316578521098,0.5006145426503267
per_query_risk_percentile,2,failure,0.5863500137635183,0.524210146097702,0.6362467741754153
per_query_risk_percentile,3,success,0.48276045527719635,0.4650180186257194,0.5001366259143881
per_query_risk_percentile,3,failure,0.5639531072845805,0.49224304976397615,0.6309347779576574
per_query_risk_percentile,4,success,0.5067445611390924,0.48615902308773395,0.5302381033292723
per_query_risk_percentile,4,failure,0.5141561816366503,0.44524877701147236,0.5807791384866581
per_query_risk_percentile,5,success,0.4948437057114512,0.4718670710722189,0.5173946260445282
per_query_risk_percentile,5,failure,0.5023644350234752,0.42834264301340197,0.5780983328995327
per_query_risk_percentile,6,success,0.47984618927699285,0.46089850904304025,0.49831943524605354
per_query_risk_percentile,6,failure,0.6053258683281004,0.5363378940318115,0.6684000795831153
per_query_risk_percentile,7,success,0.4773459303593232,0.45650376657073083,0.4973722326470652
per_query_risk_percentile,7,failure,0.620903241104134,0.5580665919212237,0.6832310625572344
per_query_risk_percentile,8,success,0.46223951519710443,0.43796368918160217,0.48494398179945053
per_query_risk_percentile,8,failure,0.6307765213457177,0.5607537587350645,0.6991038314364206
per_query_success_manifold_percentile,0,success,0.5084175781022879,0.4931823025684633,0.5242258448267795
per_query_success_manifold_percentile,0,failure,0.4838947928931189,0.4069809279881824,0.5635257291768871
per_query_success_manifold_percentile,1,success,0.49809851090543056,0.48238524638287467,0.5130492018522154
per_query_success_manifold_percentile,1,failure,0.46027711231394264,0.39471820218472004,0.5326778965960048
per_query_success_manifold_percentile,2,success,0.4957334626558957,0.48153274320545525,0.509329523751608
per_query_success_manifold_percentile,2,failure,0.48495141546201814,0.4225370524812489,0.5501711961076498
per_query_success_manifold_percentile,3,success,0.5054903718966219,0.48986960940225444,0.5236435405492326
per_query_success_manifold_percentile,3,failure,0.5148833598610385,0.45223451286230304,0.5799960503699344
per_query_success_manifold_percentile,4,success,0.4909445191671754,0.4661273075185603,0.51429804807874
per_query_success_manifold_percentile,4,failure,0.5317916773413425,0.45935704482614365,0.6027830413014564
per_query_success_manifold_percentile,5,success,0.48897186745959065,0.47478397976444847,0.5043159937419145
per_query_success_manifold_percentile,5,failure,0.6020942464859875,0.5248707682859468,0.6767131364264456
per_query_success_manifold_percentile,6,success,0.4795555030906593,0.4629698525293531,0.4957586849844104
per_query_success_manifold_percentile,6,failure,0.6075384049853916,0.5436185324239872,0.6659607238077523
per_query_success_manifold_percentile,7,success,0.47115343733647314,0.4529438632424123,0.4908374811262646
per_query_success_manifold_percentile,7,failure,0.6689125730420373,0.614455245740123,0.7165303925055598
per_query_success_manifold_percentile,8,success,0.4598380538112681,0.4435531203667364,0.47763636444161
per_query_success_manifold_percentile,8,failure,0.7052464896214896,0.6666793297847985,0.7436027644230768
frozen_k8_failure_axis,0,success,-0.05846444179889876,-0.8988279003632746,0.7546178998296458
frozen_k8_failure_axis,0,failure,-0.01345441024128291,-0.939885616547708,0.8556947140572557
frozen_k8_failure_axis,1,success,-1.6769718670533142,-2.3934167389994228,-0.9773688610395179
frozen_k8_failure_axis,1,failure,-1.7160058402510536,-2.426573176485684,-1.0210868603840082
frozen_k8_failure_axis,2,success,-0.6637904911979016,-1.548221801999996,0.20615939970687802
frozen_k8_failure_axis,2,failure,-0.7763551367789093,-1.6814616420078612,0.09157150178609817
frozen_k8_failure_axis,3,success,-1.2060915409537143,-2.590348052696642,0.02263389173207327
frozen_k8_failure_axis,3,failure,-1.3518971911259583,-2.789938700406943,-0.05764936428857527
frozen_k8_failure_axis,4,success,-1.490354795262197,-2.401958362764973,-0.6483627367717439
frozen_k8_failure_axis,4,failure,-1.5122744451781323,-2.388581447634233,-0.6695440480907473
frozen_k8_failure_axis,5,success,-1.2541863801590494,-2.1157305839001075,-0.4318982294164756
frozen_k8_failure_axis,5,failure,-1.4245007012083581,-2.2488071037591673,-0.5951290113774439
frozen_k8_failure_axis,6,success,-0.045901182249384165,-0.8401252769983392,0.7365138548524524
frozen_k8_failure_axis,6,failure,-0.044981808890006414,-0.8599609371833443,0.7696706085976761
frozen_k8_failure_axis,7,success,0.4799438381763977,-0.048763229807736085,0.9889442151623115
frozen_k8_failure_axis,7,failure,1.0917086346420888,0.37806554372892254,1.8504454337304006
frozen_k8_failure_axis,8,success,-0.10820831789347055,-0.21149620917478013,-0.00779507537018188
frozen_k8_failure_axis,8,failure,1.0877865404442106,0.6248266797456158,1.6095854856552712
