feature,t,auc,pairs,n_alive,n_fail
A|wc_back3frac|level,15,0.5089641434262948,2008,512,216
A|wc_back3frac|delta,15,0.46713147410358563,2008,512,216
A|wc_backminusfront|level,15,0.4860557768924303,2008,512,216
A|wc_backminusfront|delta,15,0.46962151394422313,2008,512,216
A|wc_centroid|level,15,0.4900398406374502,2008,512,216
A|wc_centroid|delta,15,0.4676294820717131,2008,512,216
A|wc_disp|level,15,0.4701195219123506,2008,512,216
A|wc_disp|delta,15,0.450199203187251,2008,512,216
A|wc_earlylate_hell|level,15,0.4581673306772908,2008,512,216
A|wc_earlylate_hell|delta,15,0.4506972111553785,2008,512,216
A|wc_eff|level,15,0.4113545816733068,2008,512,216
A|wc_eff|delta,15,0.476593625498008,2008,512,216
A|wc_ent_d0|level,15,0.5266434262948207,2008,512,216
A|wc_ent_d0|delta,15,0.4437250996015936,2008,512,216
A|wc_ent_d9|level,15,0.5647410358565738,2008,512,216
A|wc_ent_d9|delta,15,0.42156374501992033,2008,512,216
A|wc_ent_d9_minus_d0|level,15,0.5560258964143426,2008,512,216
A|wc_ent_d9_minus_d0|delta,15,0.3979083665338645,2008,512,216
A|wc_ent_early02|level,15,0.5328685258964143,2008,512,216
A|wc_ent_early02|delta,15,0.43227091633466136,2008,512,216
A|wc_ent_late79|level,15,0.5522908366533864,2008,512,216
A|wc_ent_late79|delta,15,0.4375,2008,512,216
A|wc_ent_late_minus_early|level,15,0.5430776892430279,2008,512,216
A|wc_ent_late_minus_early|delta,15,0.4028884462151394,2008,512,216
A|wc_ent_mean|level,15,0.548804780876494,2008,512,216
A|wc_ent_mean|delta,15,0.4397410358565737,2008,512,216
A|wc_ent_range|level,15,0.4469621513944223,2008,512,216
A|wc_ent_range|delta,15,0.39691235059760954,2008,512,216
A|wc_ent_std|level,15,0.4407370517928287,2008,512,216
A|wc_ent_std|delta,15,0.40139442231075695,2008,512,216
A|wc_front3frac|level,15,0.5448207171314741,2008,512,216
A|wc_front3frac|delta,15,0.4860557768924303,2008,512,216
