layer,token,var_frac_row,var_frac_rand,var_frac_rand_var,det_row,p_row,nsig_row,nullmed_row,det_nullpc,p_nullpc,nsig_nullpc,nullmed_nullpc,det_rand,p_rand,nsig_rand,nullmed_rand,det_rand_var,p_rand_var,nsig_rand_var,nullmed_rand_var
12,0,0.01779514,0.03191562234661851,0.017656445503234863,0.7504980079681275,0.0,17,0.5806772908366534,0.7081673306772909,0.0,4,0.5846613545816733,0.7853585657370518,0.0,17,0.5796812749003983,0.6155378486055777,0.049,1,0.5841633466135459
12,1,0.006654142,0.034257369359045046,0.006622254848480225,0.7111553784860558,0.0,9,0.5816733067729084,0.6852589641434264,0.0,6,0.5836653386454183,0.7524900398406374,0.0,17,0.5811752988047809,0.5991035856573705,0.214,0,0.5846613545816732
12,2,0.0056388676,0.02869390752141456,0.005658984184265137,0.7186254980079682,0.0,8,0.5826693227091633,0.6847609561752988,0.0,3,0.5846613545816733,0.7355577689243028,0.0,10,0.5806772908366533,0.6020916334661355,0.158,0,0.5851593625498008
12,3,0.005232419,0.028669346971629147,0.005217432975769043,0.7091633466135459,0.0,6,0.5831673306772909,0.6782868525896415,0.0,5,0.5846613545816732,0.7355577689243028,0.0,12,0.5806772908366534,0.5961155378486056,0.269,0,0.5841633466135459
12,4,0.0049149976,0.028376440610020127,0.004910886287689209,0.6947211155378487,0.0,10,0.5836653386454184,0.6832669322709164,0.0,4,0.5851593625498008,0.7440239043824701,0.0,14,0.5801792828685259,0.6060756972111554,0.124,0,0.5851593625498008
12,5,0.004947984,0.022978259185085455,0.004920065402984619,0.7375498007968128,0.0,10,0.5836653386454183,0.6837649402390438,0.0,4,0.5841633466135459,0.7938247011952191,0.0,7,0.5816733067729084,0.5697211155378487,0.874,0,0.5861553784860558
12,6,0.0049437126,0.030999966105915946,0.004931449890136719,0.7091633466135459,0.0,13,0.5831673306772909,0.7181274900398407,0.0,4,0.5841633466135459,0.7385458167330677,0.0,20,0.5806772908366533,0.5926294820717132,0.317,0,0.5851593625498008
12,7,0.004818039,0.028466585475940862,0.004832208156585693,0.6827689243027888,0.0,15,0.5831673306772909,0.7181274900398407,0.0,4,0.5836653386454184,0.7420318725099602,0.0,17,0.5801792828685259,0.5717131474103586,0.796,0,0.5846613545816732
12,8,0.004960186,0.031951293545968214,0.0049672722816467285,0.6947211155378485,0.0,11,0.5836653386454183,0.7191235059760956,0.0,4,0.5841633466135459,0.775398406374502,0.0,21,0.579183266932271,0.5851593625498008,0.506,0,0.5851593625498008
12,9,0.005044554,0.031202004846978958,0.005077660083770752,0.7156374501992031,0.0,9,0.5826693227091634,0.7270916334661355,0.0,3,0.5851593625498008,0.7345617529880478,0.0,20,0.5796812749003984,0.5707171314741036,0.843,0,0.5841633466135459
