layer,token,vf_row,vf_profile,vf_top31,det_row,p_row,nsig_row,det_top31pc,p_top31pc,nsig_top31pc,det_rand_profile,p_rand_profile,nsig_rand_profile
12,0,0.01779514,0.038021706555880476,0.9163902,0.7504980079681275,0.0,17,0.7071713147410359,0.0,4,0.7539840637450199,0.0,15
12,1,0.006654141,0.016952807441436974,0.91869926,0.7111553784860558,0.0,9,0.6857569721115537,0.0,5,0.723605577689243,0.0,10
12,2,0.0056388676,0.01174111302775998,0.9224635,0.7186254980079682,0.0,8,0.6857569721115537,0.0,3,0.6892430278884463,0.0,5
12,3,0.005232419,0.011549304810980519,0.921851,0.7091633466135459,0.0,6,0.6787848605577689,0.0,5,0.6812749003984064,0.0,4
12,4,0.004914997,0.010701216011371487,0.92248964,0.6947211155378487,0.0,10,0.6832669322709164,0.0,4,0.6633466135458168,0.001,6
12,5,0.0049479846,0.01202645097381552,0.92264056,0.7375498007968128,0.0,10,0.6837649402390438,0.0,5,0.6952191235059761,0.0,7
12,6,0.004943712,0.011517268694576642,0.92393,0.7091633466135459,0.0,13,0.7181274900398407,0.0,4,0.7320717131474104,0.0,4
12,7,0.004818039,0.011601891371876664,0.9255724,0.6827689243027888,0.0,15,0.7196215139442231,0.0,4,0.704183266932271,0.0,10
12,8,0.0049601863,0.011213436334828351,0.92563677,0.6947211155378485,0.0,11,0.7201195219123506,0.0,4,0.6782868525896415,0.0,10
12,9,0.005044554,0.01190108416706057,0.9266404,0.7156374501992031,0.0,9,0.727589641434263,0.0,3,0.7096613545816733,0.0,10
12,10,0.005899983,0.012780730294231473,0.924235,0.7455179282868526,0.0,11,0.7405378486055777,0.0,3,0.772410358565737,0.0,15
13,0,0.019057667,0.037737708676840294,0.91161245,0.7709163346613546,0.0,16,0.7166334661354581,0.0,4,0.775398406374502,0.0,20
13,1,0.006733542,0.014867883478344246,0.9159249,0.750996015936255,0.0,15,0.6962151394422311,0.0,6,0.6837649402390438,0.0,8
13,2,0.005575916,0.012893137014035985,0.918746,0.7156374501992032,0.0,9,0.6907370517928286,0.0,5,0.7295816733067729,0.0,12
13,3,0.005134076,0.011178947833533646,0.91789013,0.7310756972111554,0.0,12,0.6902390438247012,0.0,4,0.703187250996016,0.0,11
13,4,0.004999764,0.011656646809793055,0.9186989,0.7056772908366534,0.0,11,0.6882470119521913,0.0,2,0.7091633466135459,0.0,10
13,5,0.0050456743,0.0117198326042775,0.91916215,0.7196215139442231,0.0,13,0.7026892430278884,0.0,5,0.703187250996016,0.0,10
13,6,0.0048818723,0.010777035901118368,0.92040044,0.7699203187250996,0.0,13,0.726593625498008,0.0,4,0.7898406374501992,0.0,9
13,7,0.004775349,0.011895259522606243,0.9217677,0.7709163346613546,0.0,10,0.7250996015936255,0.0,3,0.7465139442231076,0.0,10
13,8,0.004967771,0.012186550550848706,0.92103994,0.7504980079681275,0.0,10,0.725597609561753,0.0,4,0.7634462151394422,0.0,6
