corpus,t,feat,reading,n,pairs,disc,p_family,disc_resid,p_family_resid,rho_baseline,null_med
B,15,evr1,current,512,2008.0,0.5398406374501992,0.977,0.5189243027888446,1.0,0.08190040240441285,0.5717131474103585
B,15,evr1,win8,512,2008.0,0.5358565737051793,0.992,0.5074701195219123,1.0,0.28168147966949336,0.5717131474103585
B,15,evr1,d_win8,512,2008.0,0.5373505976095618,0.99,0.5283864541832669,0.9985,0.19705299206921412,0.5717131474103585
B,15,pr_cells,current,512,2008.0,0.5861553784860558,0.2445,0.5512948207171314,0.862,-0.0977496359334409,0.5717131474103585
B,15,pr_cells,win8,512,2008.0,0.5493027888446215,0.9065,0.5209163346613546,1.0,-0.2712277983772216,0.5717131474103585
B,15,pr_cells,d_win8,512,2008.0,0.5522908366533864,0.865,0.5378486055776892,0.9845,-0.21182522516336505,0.5717131474103585
B,15,s1frac,current,512,2008.0,0.5064741035856574,1.0,0.5293824701195219,0.9985,-0.07090831030201074,0.5717131474103585
B,15,s1frac,win8,512,2008.0,0.5298804780876494,0.9985,0.5169322709163346,1.0,0.2035398544596512,0.5717131474103585
B,15,s1frac,d_win8,512,2008.0,0.547808764940239,0.918,0.549800796812749,0.8815,-0.08017904349915886,0.5717131474103585
B,15,pr_s,current,512,2008.0,0.5059760956175299,1.0,0.5273904382470119,0.9995,0.09816296591936463,0.5717131474103585
B,15,pr_s,win8,512,2008.0,0.5368525896414342,0.991,0.5258964143426295,0.9995,-0.1402824806021904,0.5717131474103585
B,15,pr_s,d_win8,512,2008.0,0.5388446215139442,0.9815,0.5368525896414342,0.9875,0.10900986055320952,0.5717131474103585
B,15,tok_lam1,current,512,2008.0,0.5184262948207171,1.0,0.5077191235059761,1.0,0.04198334735239927,0.5717131474103585
B,15,tok_lam1,win8,512,2008.0,0.5423306772908367,0.961,0.523406374501992,1.0,0.2583224792861148,0.5717131474103585
B,15,tok_lam1,d_win8,512,2008.0,0.5069721115537849,1.0,0.5109561752988048,1.0,0.1282854503553404,0.5717131474103585
B,15,tok_pr,current,512,2008.0,0.5537848605577689,0.842,0.523406374501992,1.0,-0.0556645430642817,0.5717131474103585
B,15,tok_pr,win8,512,2008.0,0.5313745019920318,0.9975,0.5129482071713147,1.0,-0.23458635887664367,0.5717131474103585
B,15,tok_pr,d_win8,512,2008.0,0.5308764940239044,0.9975,0.5134462151394422,1.0,-0.12452766119064784,0.5717131474103585
B,15,den_lam1,current,512,2008.0,0.5577689243027888,0.7735,0.5413346613545817,0.965,0.21802383384259735,0.5717131474103585
B,15,den_lam1,win8,512,2008.0,0.5343625498007969,0.9935,0.5054780876494024,1.0,0.15772196074433467,0.5717131474103585
B,15,den_lam1,d_win8,512,2008.0,0.5184262948207171,1.0,0.5164342629482072,1.0,0.14854729217450016,0.5717131474103585
B,15,den_pr,current,512,2008.0,0.5577689243027888,0.7735,0.5363545816733067,0.988,-0.22850102925693228,0.5717131474103585
B,15,den_pr,win8,512,2008.0,0.5418326693227091,0.964,0.5004980079681275,1.0,-0.1624473159042574,0.5717131474103585
B,15,den_pr,d_win8,512,2008.0,0.5239043824701195,1.0,0.5219123505976095,1.0,-0.1633458110172692,0.5717131474103585
B,15,__BASELINE_hell__,win8,512,2008.0,0.6394422310756972,,,,1.0,0.5717131474103585
