corpus,t,org,kind,n,n_fail,n_succ,pairs,auc,disc,p_family,auc_resid,disc_resid,p_family_resid,null_med
A,10,tok00,hell,352,235,117,2933.0,0.5762018411183089,0.5762018411183089,0.6305,0.5311967269007842,0.5311967269007842,1.0,0.5850664848278213
A,10,tok00,ent,352,235,117,2933.0,0.5223320831912718,0.5223320831912718,1.0,0.46198431639959087,0.5380156836004091,1.0,0.5850664848278213
A,10,tok01,hell,352,235,117,2933.0,0.5727923627684964,0.5727923627684964,0.6825,0.5107398568019093,0.5107398568019093,1.0,0.5850664848278213
A,10,tok01,ent,352,235,117,2933.0,0.3595294919877259,0.6404705080122741,0.0525,0.36754176610978523,0.6324582338902147,0.201,0.5850664848278213
A,10,tok02,hell,352,235,117,2933.0,0.5659734060688715,0.5659734060688715,0.7845,0.5209682918513467,0.5209682918513467,1.0,0.5850664848278213
A,10,tok02,ent,352,235,117,2933.0,0.4031708148653256,0.5968291851346744,0.3475,0.4353903852710535,0.5646096147289466,0.9845,0.5850664848278213
A,10,tok03,hell,352,235,117,2933.0,0.5465393794749404,0.5465393794749404,0.9735,0.46334810773951585,0.5366518922604842,1.0,0.5850664848278213
A,10,tok03,ent,352,235,117,2933.0,0.43982270712580973,0.5601772928741903,0.8535,0.481418342993522,0.5185816570064781,1.0,0.5850664848278213
A,10,tok04,hell,352,235,117,2933.0,0.5277872485509717,0.5277872485509717,1.0,0.4237981588816911,0.576201841118309,0.927,0.5850664848278213
A,10,tok04,ent,352,235,117,2933.0,0.4621547903170815,0.5378452096829185,0.9955,0.5311967269007842,0.5311967269007842,1.0,0.5850664848278213
A,10,tok05,hell,352,235,117,2933.0,0.5935901807023526,0.5935901807023526,0.392,0.594272076372315,0.594272076372315,0.7205,0.5850664848278213
A,10,tok05,ent,352,235,117,2933.0,0.4302761677463348,0.5697238322536652,0.7245,0.4490282986703034,0.5509717013296966,0.9985,0.5850664848278213
A,10,tok06,hell,352,235,117,2933.0,0.5792703716331401,0.5792703716331401,0.5835,0.5540402318445278,0.5540402318445278,0.998,0.5850664848278213
A,10,tok06,ent,352,235,117,2933.0,0.45243777702011595,0.547562222979884,0.9685,0.47494033412887826,0.5250596658711217,1.0,0.5850664848278213
A,10,tok07,hell,352,235,117,2933.0,0.5315376747357654,0.5315376747357654,0.9995,0.40163654960791,0.59836345039209,0.6505,0.5850664848278213
