section,signal,theta,alarms,hits,precision,detection,false_alarm,runway_median,z
routing_theta_sweep,d,0.95,51,28,0.5490196078431373,0.9333333333333333,0.46,28.5,
routing_theta_sweep,d,0.92,36,27,0.75,0.9,0.18,25.0,
routing_theta_sweep,d,0.9,29,23,0.7931034482758621,0.7666666666666667,0.12,16.0,
routing_theta_sweep,d,0.88,25,22,0.88,0.7333333333333333,0.06,16.0,
routing_theta_sweep,d,0.85,17,15,0.8823529411764706,0.5,0.04,16.0,
motion_selfnorm,jnt,0.95,78,30,0.38461538461538464,1.0,0.96,31.0,
motion_selfnorm,jnt,0.85,77,30,0.38961038961038963,1.0,0.94,29.5,
motion_selfnorm,jnt,0.7,72,30,0.4166666666666667,1.0,0.84,28.0,
length_sentinel,calls>=k,8.0,79,15,0.189873417721519,0.5,,28.0,
length_sentinel,calls>=k,10.0,72,17,0.2361111111111111,0.5666666666666667,,26.0,
length_sentinel,calls>=k,12.0,54,24,0.4444444444444444,0.8,,24.0,
length_sentinel,calls>=k,14.0,45,25,0.5555555555555556,0.8333333333333334,,22.0,
length_sentinel,calls>=k,16.0,37,27,0.7297297297297297,0.9,,20.0,
length_sentinel,calls>=k,20.0,36,29,0.8055555555555556,0.9666666666666667,,16.0,
subtask_riskset,routing_selfnorm,3.0,323,30,0.5692832764505119,,,,
subtask_riskset,routing_selfnorm,4.0,309,30,0.5498207885304659,,,,
subtask_riskset,routing_selfnorm,5.0,293,30,0.5429657794676807,,,,
subtask_riskset,routing_selfnorm,6.0,265,30,0.5058156028368794,,,,
subtask_riskset,routing_selfnorm,8.0,179,30,0.502013422818792,,,,
subtask_riskset,routing_selfnorm,10.0,114,30,0.5642857142857143,,,,
subtask_riskset,routing_selfnorm,12.0,69,30,0.5675213675213675,,,,
theta_from_CV,d,0.9304222824712018,44,28,0.6363636363636364,0.9333333333333333,0.32,25.0,1.5
theta_from_CV,d,0.9072297099616025,31,25,0.8064516129032258,0.8333333333333334,0.12,17.0,2.0
theta_from_CV,d,0.8840371374520032,27,22,0.8148148148148148,0.7333333333333333,0.1,16.0,2.5
theta_from_CV,d,0.8608445649424038,19,17,0.8947368421052632,0.5666666666666667,0.04,15.0,3.0
success_quantile_LOO,d,0.05,8,6,0.75,0.2,0.04,19.0,
success_quantile_LOO,d,0.1,19,17,0.8947368421052632,0.5666666666666667,0.04,15.0,
success_quantile_LOO,d,0.15,27,22,0.8148148148148148,0.7333333333333333,0.1,16.0,
success_quantile_LOO,d,0.2,29,23,0.7931034482758621,0.7666666666666667,0.12,16.0,
