layer,token,var_frac_row,det_row_max,p_row,n_row_sig,det_null_max,p_null,n_null_sig,null_med
12,0,0.01779514,0.7504980079681275,0.0,17,0.7081673306772909,0.0,4,0.5809262948207172
12,1,0.006654142,0.7111553784860558,0.0,11,0.6852589641434264,0.0,5,0.5821713147410359
12,2,0.0056388676,0.7186254980079682,0.0,8,0.6847609561752988,0.0,3,0.5821713147410359
12,3,0.005232419,0.7091633466135459,0.0,6,0.6782868525896415,0.001,5,0.5831673306772909
12,4,0.0049149976,0.6947211155378487,0.0,10,0.6832669322709164,0.0,4,0.5831673306772909
12,5,0.004947984,0.7375498007968128,0.0,10,0.6837649402390438,0.0,4,0.5831673306772909
12,6,0.0049437126,0.7091633466135459,0.0,13,0.7181274900398407,0.0,4,0.5826693227091634
12,7,0.004818039,0.6827689243027888,0.0,15,0.7181274900398407,0.0,5,0.5831673306772909
12,8,0.004960186,0.6947211155378485,0.0,11,0.7191235059760956,0.0,4,0.5831673306772909
12,9,0.005044554,0.7156374501992031,0.0,9,0.7270916334661355,0.0,3,0.5836653386454184
12,10,0.0058999835,0.7455179282868526,0.0,12,0.7420318725099602,0.0,3,0.5826693227091634
13,0,0.01905767,0.7709163346613546,0.0,16,0.7156374501992031,0.0,4,0.5806772908366534
13,1,0.006733542,0.750996015936255,0.0,14,0.6952191235059761,0.0,5,0.5821713147410359
13,2,0.0055759163,0.7156374501992032,0.0,10,0.6912350597609562,0.0,5,0.5841633466135459
13,3,0.0051340754,0.7310756972111554,0.0,11,0.6902390438247012,0.0,4,0.5826693227091634
13,4,0.004999764,0.7056772908366534,0.0,11,0.6887450199203187,0.0,2,0.5826693227091634
13,5,0.005045674,0.7196215139442231,0.0,13,0.704183266932271,0.0,5,0.5841633466135459
13,6,0.004881873,0.7699203187250996,0.0,13,0.726593625498008,0.0,4,0.5829183266932272
13,7,0.0047753495,0.7709163346613546,0.0,10,0.7250996015936255,0.0,3,0.5831673306772909
13,8,0.004967771,0.7504980079681275,0.0,11,0.7260956175298805,0.0,5,0.5826693227091634
13,9,0.005524502,0.7569721115537849,0.0,11,0.7385458167330677,0.0,4,0.5831673306772909
13,10,0.0071594412,0.7659362549800797,0.0,17,0.7495019920318725,0.0,5,0.5836653386454183
14,0,0.0173115,0.7514940239043825,0.0,14,0.7156374501992031,0.0,3,0.5806772908366533
14,1,0.0065656914,0.7415338645418327,0.0,12,0.7196215139442231,0.0,7,0.5826693227091634
14,2,0.0060047586,0.7221115537848606,0.0,11,0.6767928286852589,0.0,4,0.5826693227091633
14,3,0.0057781637,0.7360557768924303,0.0,12,0.6713147410358566,0.001,4,0.5821713147410359
14,4,0.0055099465,0.7151394422310757,0.0,11,0.6777888446215139,0.0,4,0.5831673306772909
14,5,0.005508465,0.750996015936255,0.0,12,0.6937250996015936,0.0,5,0.5826693227091633
14,6,0.0054421155,0.7365537848605578,0.0,11,0.7171314741035857,0.0,5,0.5836653386454184
14,7,0.005261169,0.7191235059760956,0.0,11,0.7191235059760956,0.0,5,0.5826693227091634
14,8,0.0051294155,0.7116533864541832,0.0,9,0.7231075697211156,0.0,4,0.5836653386454183
14,9,0.0053169234,0.7445219123505976,0.0,9,0.7375498007968128,0.0,3,0.5821713147410359
14,10,0.006678465,0.7549800796812749,0.0,17,0.7475099601593626,0.0,6,0.5831673306772909
15,0,0.014765519,0.8286852589641435,0.0,16,0.726593625498008,0.0,4,0.5821713147410359
15,1,0.00811778,0.7823705179282868,0.0,17,0.7370517928286853,0.0,3,0.5826693227091633
15,2,0.007100141,0.7504980079681275,0.0,15,0.6767928286852589,0.0,4,0.5826693227091633
15,3,0.006720343,0.7325697211155379,0.0,16,0.6573705179282869,0.0,4,0.5831673306772909
15,4,0.0065099015,0.7250996015936255,0.0,10,0.6817729083665338,0.0,5,0.5836653386454183
15,5,0.006258873,0.6997011952191234,0.0,9,0.7006972111553784,0.0,4,0.5816733067729084
15,6,0.0060817404,0.703187250996016,0.0,10,0.7176294820717131,0.0,7,0.5829183266932272
15,7,0.0058658393,0.6942231075697212,0.0,8,0.7156374501992031,0.0,3,0.5846613545816732
15,8,0.005699887,0.7141434262948207,0.0,7,0.7216135458167331,0.0,3,0.5841633466135459
15,9,0.0058059925,0.6807768924302788,0.0,11,0.7470119521912351,0.0,3,0.5836653386454183
15,10,0.007374271,0.7624501992031872,0.0,10,0.75199203187251,0.0,5,0.5841633466135459
