corpus,t,org,reading,n,pairs,auc,disc,p_family,disc_resid,p_family_resid,null_med
A,10,tok00,current,352,2933.0,0.4756222297988408,0.5243777702011592,1.0,0.509035117627003,1.0,0.6106375724514149
A,10,tok00,win8,352,2933.0,0.45414251619502216,0.5458574838049779,0.9995,0.5015342652574156,1.0,0.6106375724514149
A,10,tok00,d_win8,352,2933.0,0.44118649846573477,0.5588135015342652,0.9915,0.5472212751449028,0.9995,0.6106375724514149
A,10,tok01,current,352,2933.0,0.561200136379134,0.561200136379134,0.989,0.5564268666893966,0.9995,0.6106375724514149
A,10,tok01,win8,352,2933.0,0.6283668598704398,0.6283668598704398,0.2515,0.6276849642004774,0.2855,0.6106375724514149
A,10,tok01,d_win8,352,2933.0,0.47903170814865326,0.5209682918513467,1.0,0.5151721786566655,1.0,0.6106375724514149
A,10,tok02,current,352,2933.0,0.5383566314353904,0.5383566314353904,1.0,0.5022161609273781,1.0,0.6106375724514149
A,10,tok02,win8,352,2933.0,0.572110467098534,0.572110467098534,0.9465,0.5352881009205591,1.0,0.6106375724514149
A,10,tok02,d_win8,352,2933.0,0.5352881009205591,0.5352881009205591,1.0,0.5097170132969656,1.0,0.6106375724514149
A,10,tok03,current,352,2933.0,0.44630071599045346,0.5536992840095465,0.997,0.5857483804977839,0.8805,0.6106375724514149
A,10,tok03,win8,352,2933.0,0.5202863961813843,0.5202863961813843,1.0,0.5342652574156155,1.0,0.6106375724514149
A,10,tok03,d_win8,352,2933.0,0.4128878281622912,0.5871121718377088,0.83,0.6099556767814525,0.5345,0.6106375724514149
A,10,tok04,current,352,2933.0,0.44425502898056596,0.555744971019434,0.9945,0.5659734060688715,0.994,0.6106375724514149
A,10,tok04,win8,352,2933.0,0.5329014660756904,0.5329014660756904,1.0,0.511762700306853,1.0,0.6106375724514149
A,10,tok04,d_win8,352,2933.0,0.46198431639959087,0.5380156836004091,1.0,0.5502898056597341,0.9995,0.6106375724514149
A,10,tok05,current,352,2933.0,0.4330037504261848,0.5669962495738152,0.9705,0.5581316058643028,0.999,0.6106375724514149
A,10,tok05,win8,352,2933.0,0.5417661097852029,0.5417661097852029,1.0,0.5189226048414592,1.0,0.6106375724514149
