corpus,t,mode,combo,det,det_H,delta,p_family,null_med,n,groups_improved,groups
A,15,unfitted,H+M[current],0.6326287078077054,0.5850664848278213,0.047562222979884106,0.044,0.5738152062734402,352,,
A,15,unfitted,H-M[current],0.5620525059665871,0.5850664848278213,-0.02301397886123424,0.6515,0.5738152062734402,352,,
A,15,unfitted,H+M[win8],0.6281963859529492,0.5850664848278213,0.043129901125127934,0.0555,0.5738152062734402,352,,
A,15,unfitted,H-M[win8],0.5519945448346403,0.5850664848278213,-0.03307193999318103,0.784,0.5738152062734402,352,,
A,15,unfitted,H+M[d_win8],0.5697238322536652,0.5850664848278213,-0.015342652574156124,0.5555,0.5738152062734402,352,,
A,15,unfitted,H-M[d_win8],0.5472212751449028,0.5850664848278213,-0.03784520968291849,0.8335,0.5738152062734402,352,,
A,15,fitted-LOGO,H+M[current],0.5448346403000341,0.5424480054551654,0.0023866348448687846,,,352,2.0,3.0
A,15,fitted-LOGO,H+M[win8],0.5342652574156154,0.5424480054551654,-0.008182748039549992,,,352,2.0,3.0
A,15,fitted-LOGO,H+M[d_win8],0.5959768155472213,0.5424480054551654,0.0535288100920559,,,352,1.0,3.0
A,20,unfitted,H+M[current],0.5685305148312308,0.594272076372315,-0.0257415615410842,0.575,0.5739856801909308,352,,
A,20,unfitted,H-M[current],0.5755199454483464,0.594272076372315,-0.018752130923968657,0.4825,0.5739856801909308,352,,
A,20,unfitted,H+M[win8],0.6188203204909649,0.594272076372315,0.024548244118649865,0.098,0.5739856801909308,352,,
A,20,unfitted,H-M[win8],0.5238663484486874,0.594272076372315,-0.07040572792362765,0.9835,0.5739856801909308,352,,
A,20,unfitted,H+M[d_win8],0.5790998977156495,0.594272076372315,-0.015172178656665536,0.4415,0.5739856801909308,352,,
A,20,unfitted,H-M[d_win8],0.5603477667916809,0.594272076372315,-0.03392430958063419,0.681,0.5739856801909308,352,,
A,20,fitted-LOGO,H+M[current],0.5335833617456529,0.6034776679168088,-0.06989430617115588,,,352,2.0,3.0
A,20,fitted-LOGO,H+M[win8],0.5625639277190589,0.6034776679168088,-0.04091374019774985,,,352,1.0,3.0
A,20,fitted-LOGO,H+M[d_win8],0.5748380497783839,0.6034776679168088,-0.02863961813842486,,,352,3.0,3.0
A,25,unfitted,H+M[current],0.6363791339924991,0.6345039209001022,0.0018752130923969101,0.0385,0.5733890214797136,352,,
A,25,unfitted,H-M[current],0.5572792362768497,0.6345039209001022,-0.07722468462325249,0.7105,0.5733890214797136,352,,
A,25,unfitted,H+M[win8],0.5833617456529151,0.6345039209001022,-0.051142175247187116,0.3845,0.5733890214797136,352,,
A,25,unfitted,H-M[win8],0.6974087964541424,0.6345039209001022,0.06290487555404023,0.0005,0.5733890214797136,352,,
A,25,unfitted,H+M[d_win8],0.6692806000681896,0.6345039209001022,0.034776679168087354,0.0075,0.5733890214797136,352,,
A,25,unfitted,H-M[d_win8],0.5185816570064781,0.6345039209001022,-0.11592226389362414,0.994,0.5733890214797136,352,,
A,25,fitted-LOGO,H+M[current],0.5905216501875212,0.5884759631776338,0.002045687009887387,,,352,2.0,3.0
A,25,fitted-LOGO,H+M[win8],0.5601772928741903,0.5884759631776338,-0.028298670303443574,,,352,2.0,3.0
A,25,fitted-LOGO,H+M[d_win8],0.5380156836004091,0.5884759631776338,-0.050460279577224765,,,352,2.0,3.0
A,30,unfitted,H+M[current],0.6902488919195363,0.7988407773610637,-0.10859188544152742,0.002,0.5725366518922604,352,,
A,30,unfitted,H-M[current],0.7335492669621548,0.7988407773610637,-0.0652915103989089,0.0,0.5725366518922604,352,,
A,30,unfitted,H+M[win8],0.709001022843505,0.7988407773610637,-0.08983975451755877,0.0,0.5725366518922604,352,,
A,30,unfitted,H-M[win8],0.7425843845891579,0.7988407773610637,-0.05625639277190586,0.0,0.5725366518922604,352,,
A,30,unfitted,H+M[d_win8],0.7229798840777362,0.7988407773610637,-0.07586089328332757,0.0,0.5725366518922604,352,,
A,30,unfitted,H-M[d_win8],0.6895669962495738,0.7988407773610637,-0.10927378111148989,0.002,0.5725366518922604,352,,
A,30,fitted-LOGO,H+M[current],0.768837367882714,0.7988407773610637,-0.030003409478349785,,,352,1.0,3.0
A,30,fitted-LOGO,H+M[win8],0.8104330037504262,0.7988407773610637,0.011592226389362414,,,352,2.0,3.0
A,30,fitted-LOGO,H+M[d_win8],0.7596317763382202,0.7988407773610637,-0.039209001022843526,,,352,0.0,3.0
B,15,unfitted,H+M[current],0.5211653386454183,0.6394422310756972,-0.11827689243027895,0.969,0.5519173306772909,512,,
B,15,unfitted,H-M[current],0.6578685258964143,0.6394422310756972,0.018426294820717115,0.0005,0.5519173306772909,512,,
B,15,unfitted,H+M[win8],0.6528884462151394,0.6394422310756972,0.01344621513944222,0.0005,0.5519173306772909,512,,
B,15,unfitted,H-M[win8],0.5336155378486056,0.6394422310756972,-0.1058266932270916,0.8265,0.5519173306772909,512,,
B,15,unfitted,H+M[d_win8],0.5732071713147411,0.6394422310756972,-0.06623505976095612,0.192,0.5519173306772909,512,,
B,15,unfitted,H-M[d_win8],0.6469123505976095,0.6394422310756972,0.007470119521912344,0.001,0.5519173306772909,512,,
B,15,fitted-LOGO,H+M[current],0.5612549800796812,0.6394422310756972,-0.07818725099601598,,,512,4.0,13.0
B,15,fitted-LOGO,H+M[win8],0.6175298804780877,0.6394422310756972,-0.021912350597609542,,,512,6.0,13.0
B,15,fitted-LOGO,H+M[d_win8],0.5363545816733067,0.6394422310756972,-0.10308764940239046,,,512,5.0,13.0
B,20,unfitted,H+M[current],0.584910358565737,0.6444223107569721,-0.05951195219123506,0.094,0.5529133466135459,512,,
B,20,unfitted,H-M[current],0.5769422310756972,0.6444223107569721,-0.0674800796812749,0.157,0.5529133466135459,512,,
B,20,unfitted,H+M[win8],0.5973605577689243,0.6444223107569721,-0.04706175298804782,0.033,0.5529133466135459,512,,
B,20,unfitted,H-M[win8],0.6115537848605578,0.6444223107569721,-0.03286852589641431,0.006,0.5529133466135459,512,,
B,20,unfitted,H+M[d_win8],0.5512948207171315,0.6444223107569721,-0.09312749003984055,0.5305,0.5529133466135459,512,,
B,20,unfitted,H-M[d_win8],0.6245019920318725,0.6444223107569721,-0.019920318725099584,0.0015,0.5529133466135459,512,,
B,20,fitted-LOGO,H+M[current],0.5727091633466135,0.6444223107569721,-0.07171314741035861,,,512,4.0,13.0
B,20,fitted-LOGO,H+M[win8],0.5796812749003983,0.6444223107569721,-0.06474103585657376,,,512,4.0,13.0
B,20,fitted-LOGO,H+M[d_win8],0.6713147410358566,0.6444223107569721,0.02689243027888455,,,512,8.0,13.0
B,25,unfitted,H+M[current],0.545816733067729,0.5249003984063745,0.020916334661354563,0.6385,0.5537848605577689,512,,
B,25,unfitted,H-M[current],0.523406374501992,0.5249003984063745,-0.0014940239043824688,0.9545,0.5537848605577689,512,,
B,25,unfitted,H+M[win8],0.5164342629482072,0.5249003984063745,-0.008466135458167323,0.986,0.5537848605577689,512,,
B,25,unfitted,H-M[win8],0.5064741035856574,0.5249003984063745,-0.018426294820717115,1.0,0.5537848605577689,512,,
B,25,unfitted,H+M[d_win8],0.5567729083665338,0.5249003984063745,0.031872509960159334,0.4495,0.5537848605577689,512,,
B,25,unfitted,H-M[d_win8],0.5311254980079682,0.5249003984063745,0.0062250996015936755,0.8635,0.5537848605577689,512,,
B,25,fitted-LOGO,H+M[current],0.5463147410358565,0.5249003984063745,0.021414342629482053,,,512,8.0,13.0
B,25,fitted-LOGO,H+M[win8],0.5249003984063745,0.5249003984063745,0.0,,,512,6.0,13.0
B,25,fitted-LOGO,H+M[d_win8],0.5597609561752988,0.5249003984063745,0.03486055776892427,,,512,7.0,13.0
