representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,quantity,family
L2,low,0.975,per_task,96,2,0.1971252566735113,0.00013973310976035772,0.9795918367346939,7,0,1.0,0.07291666666666667,0.7903499357657046,1.2394406482562037,mobility_s9,anchor
L2,low,0.975,global,11,6,0.022587268993839837,0.00041919932928107315,0.6470588235294118,1,5,0.16666666666666666,0.09090909090909091,0.5790269753932806,1.1174934001821302,mobility_s9,anchor
L2,low,0.98,per_task,84,2,0.17248459958932238,0.00013973310976035772,0.9767441860465116,5,0,1.0,0.05952380952380952,0.7917843225202825,1.2335987948555158,mobility_s9,anchor
L2,low,0.98,global,10,3,0.02053388090349076,0.00020959966464053657,0.7692307692307693,1,2,0.3333333333333333,0.1,0.6956268954855549,1.1058094133836474,mobility_s9,anchor
L2,low,0.99,per_task,36,1,0.07392197125256673,6.986655488017886e-05,0.972972972972973,4,0,1.0,0.1111111111111111,0.7427484708202488,1.309962943307682,mobility_s9,anchor
L2,low,0.99,global,6,1,0.012320328542094456,6.986655488017886e-05,0.8571428571428571,0,0,0.0,0.0,0.8820734845668314,0.9717363373231684,mobility_s9,anchor
L2,low,0.995,per_task,21,1,0.043121149897330596,6.986655488017886e-05,0.9545454545454546,2,0,1.0,0.09523809523809523,0.720730701508124,1.3244134772503444,mobility_s9,anchor
L2,low,0.995,global,4,1,0.008213552361396304,6.986655488017886e-05,0.8,0,0,0.0,0.0,0.8852746919744625,0.9036743140320989,mobility_s9,anchor
L2,high,0.5,per_task,43,416,0.08829568788501027,0.029064486830154404,0.09368191721132897,35,408,0.07900677200902935,0.813953488372093,0.054884658527432524,1.706887128841382,mobility_s9,anchor
L2,high,0.5,global,135,4411,0.27720739219712526,0.30818137357646896,0.029696436427628686,123,4408,0.02714632531450011,0.9111111111111111,0.03062307426204043,0.9697405353073782,mobility_s9,anchor
L2,high,0.6,per_task,36,308,0.07392197125256673,0.02151889890309509,0.10465116279069768,27,301,0.08231707317073171,0.75,0.05837663024806652,1.792689340682932,mobility_s9,anchor
L2,high,0.6,global,113,3585,0.23203285420944558,0.2504715992454412,0.030557057869118442,103,3582,0.02795115332428765,0.911504424778761,0.033363174762230836,0.9158917904812497,mobility_s9,anchor
L2,high,0.7,per_task,31,217,0.06365503080082136,0.015161042408998812,0.125,23,209,0.09913793103448276,0.7419354838709677,0.06775715605967694,1.8448235916204418,mobility_s9,anchor
L2,high,0.7,global,89,2724,0.18275154004106775,0.1903164954936072,0.03163881976537505,80,2723,0.028540849090260435,0.898876404494382,0.034796439299011314,0.9092545215186433,mobility_s9,anchor
L2,high,0.75,per_task,29,178,0.059548254620123205,0.012436246768671836,0.14009661835748793,22,169,0.11518324607329843,0.7586206896551724,0.07573084151429114,1.8499281871976867,mobility_s9,anchor
L2,high,0.75,global,70,1946,0.1437371663244353,0.13596031579682805,0.034722222222222224,60,1944,0.029940119760479042,0.8571428571428571,0.03750628839805067,0.9257706828710585,mobility_s9,anchor
L2,high,0.8,per_task,28,156,0.057494866529774126,0.010899182561307902,0.15217391304347827,20,149,0.11834319526627218,0.7142857142857143,0.08021159779309199,1.8971559877913795,mobility_s9,anchor
L2,high,0.8,global,41,1016,0.08418891170431211,0.07098441975826172,0.03878902554399243,38,1016,0.036053130929791274,0.926829268292683,0.037759167493459006,1.0272743844448327,mobility_s9,anchor
L2,high,0.85,per_task,26,115,0.053388090349075976,0.008034653811220569,0.18439716312056736,18,108,0.14285714285714285,0.6923076923076923,0.09644440848213248,1.9119528651028972,mobility_s9,anchor
L2,high,0.85,global,26,604,0.053388090349075976,0.04219939914762803,0.04126984126984127,26,604,0.04126984126984127,1.0,0.03520474647265668,1.1722805986373261,mobility_s9,anchor
L2,high,0.9,per_task,23,85,0.04722792607802875,0.005938657164815203,0.21296296296296297,16,79,0.16842105263157894,0.6956521739130435,0.11263893124053509,1.8906692439063602,mobility_s9,anchor
L2,high,0.9,global,12,320,0.024640657084188913,0.022357297561657236,0.03614457831325301,8,320,0.024390243902439025,0.6666666666666666,0.042897909004070874,0.8425720309543061,mobility_s9,anchor
L2,high,0.925,per_task,20,58,0.04106776180698152,0.004052260183050374,0.2564102564102564,15,53,0.22058823529411764,0.75,0.1210823009742393,2.117652657301323,mobility_s9,anchor
L2,high,0.925,global,5,178,0.01026694045174538,0.012436246768671836,0.0273224043715847,3,178,0.016574585635359115,0.6,0.04046501475121734,0.6752105377834501,mobility_s9,anchor
L2,high,0.95,per_task,17,23,0.03490759753593429,0.0016069307622441137,0.425,14,21,0.4,0.8235294117647058,0.11363785388843609,3.7399509534669986,mobility_s9,anchor
L2,high,0.95,global,3,79,0.006160164271047228,0.00551945783553413,0.036585365853658534,2,79,0.024691358024691357,0.6666666666666666,0.046647583027352134,0.7842928503328126,mobility_s9,anchor
L2,high,0.96,per_task,15,19,0.030800821355236138,0.0013274645427233983,0.4411764705882353,11,17,0.39285714285714285,0.7333333333333333,0.13961662003716005,3.1599137013259075,mobility_s9,anchor
L2,high,0.96,global,1,42,0.002053388090349076,0.002934395304967512,0.023255813953488372,1,42,0.023255813953488372,1.0,0.038416034678036864,0.6053673719423244,mobility_s9,anchor
L2,high,0.975,per_task,9,13,0.018480492813141684,0.0009082652134423251,0.4090909090909091,9,12,0.42857142857142855,1.0,0.09086969547103185,4.501950919614584,mobility_s9,anchor
L2,high,0.975,global,1,19,0.002053388090349076,0.0013274645427233983,0.05,1,19,0.05,1.0,0.03700630190206664,1.3511212261176446,mobility_s9,anchor
L2,high,0.98,per_task,8,8,0.01642710472279261,0.0005589324390414309,0.5,8,7,0.5333333333333333,1.0,0.11130107009695753,4.4923197913949595,mobility_s9,anchor
L2,high,0.98,global,1,16,0.002053388090349076,0.0011178648780828617,0.058823529411764705,1,16,0.058823529411764705,1.0,0.03961325311949811,1.484945688108889,mobility_s9,anchor
L2,high,0.99,per_task,3,3,0.006160164271047228,0.00020959966464053657,0.5,3,2,0.6,1.0,0.15956457387427167,3.1335276237065828,mobility_s9,anchor
L2,high,0.99,global,1,12,0.002053388090349076,0.0008383986585621463,0.07692307692307693,1,12,0.07692307692307693,1.0,0.04165585734760185,1.8466329064165914,mobility_s9,anchor
L2,high,0.995,per_task,1,2,0.002053388090349076,0.00013973310976035772,0.3333333333333333,1,2,0.3333333333333333,1.0,0.06585279447219008,5.061794810759343,mobility_s9,anchor
L2,high,0.995,global,1,8,0.002053388090349076,0.0005589324390414309,0.1111111111111111,1,8,0.1111111111111111,1.0,0.04521449125533898,2.457422565779527,mobility_s9,anchor
L3,low,0.5,per_task,231,75,0.47433264887063653,0.005239991616013414,0.7549019607843137,36,62,0.3673469387755102,0.15584415584415584,0.59115939478644,1.2769854753928536,mobility_s9,anchor
L3,low,0.5,global,304,2044,0.6242299794661191,0.1428072381750856,0.12947189097103917,211,2001,0.09538878842676311,0.694078947368421,0.08238750486262586,1.5714991149073214,mobility_s9,anchor
L3,low,0.6,per_task,226,48,0.46406570841889117,0.003353594634248585,0.8248175182481752,31,36,0.4626865671641791,0.13716814159292035,0.6460930896362101,1.2766233403186493,mobility_s9,anchor
L3,low,0.6,global,289,1837,0.5934291581108829,0.12834486131488856,0.1359360301034807,154,1751,0.08083989501312336,0.532871972318339,0.10620099441575945,1.2799882981444928,mobility_s9,anchor
L3,low,0.7,per_task,215,26,0.4414784394250513,0.0018165304268846503,0.8921161825726142,28,17,0.6222222222222222,0.13023255813953488,0.7020029443885998,1.2708154427323535,mobility_s9,anchor
L3,low,0.7,global,273,1605,0.5605749486652978,0.11213582058268706,0.14536741214057508,89,1510,0.05565978736710444,0.326007326007326,0.12683206012549328,1.146140904726629,mobility_s9,anchor
L3,low,0.75,per_task,206,23,0.42299794661190965,0.0016069307622441137,0.8995633187772926,28,15,0.6511627906976745,0.13592233009708737,0.7087980377958104,1.269139121172959,mobility_s9,anchor
L3,low,0.75,global,263,1449,0.5400410677618069,0.10123663802137917,0.1536214953271028,61,1365,0.042776998597475455,0.23193916349809887,0.14365677824366277,1.0693647540009454,mobility_s9,anchor
L3,low,0.8,per_task,199,22,0.4086242299794661,0.001537064207363935,0.9004524886877828,27,14,0.6585365853658537,0.135678391959799,0.7139123604048684,1.2612927561264315,mobility_s9,anchor
L3,low,0.8,global,234,1288,0.4804928131416838,0.08998812268567037,0.15374507227332457,40,1240,0.03125,0.17094017094017094,0.14897295035170025,1.032033479301834,mobility_s9,anchor
L3,low,0.85,per_task,190,11,0.39014373716632444,0.0007685321036819675,0.945273631840796,26,4,0.8666666666666667,0.1368421052631579,0.7496235597691215,1.2609977628397022,mobility_s9,anchor
L3,low,0.85,global,147,969,0.30184804928131415,0.06770069167889331,0.13172043010752688,30,955,0.030456852791878174,0.20408163265306123,0.14253737579846568,0.9241115136970605,mobility_s9,anchor
L3,low,0.9,per_task,160,9,0.32854209445585214,0.0006287989939216097,0.9467455621301775,25,3,0.8928571428571429,0.15625,0.727204579696022,1.3018971394898606,mobility_s9,anchor
L3,low,0.9,global,69,513,0.14168377823408623,0.035841542653531754,0.11855670103092783,17,512,0.03213610586011342,0.2463768115942029,0.13094435521405778,0.9053975701138124,mobility_s9,anchor
L3,low,0.925,per_task,146,9,0.2997946611909651,0.0006287989939216097,0.9419354838709677,23,3,0.8846153846153846,0.15753424657534246,0.7201593425149911,1.3079542654844611,mobility_s9,anchor
L3,low,0.925,global,51,341,0.10472279260780287,0.02382449521414099,0.13010204081632654,10,340,0.02857142857142857,0.19607843137254902,0.14758373595226937,0.8815472787489493,mobility_s9,anchor
L3,low,0.95,per_task,125,6,0.25667351129363447,0.00041919932928107315,0.9541984732824428,23,1,0.9583333333333334,0.184,0.7187819438011421,1.3275214848001675,mobility_s9,anchor
L3,low,0.95,global,35,113,0.07186858316221766,0.00789492070146021,0.23648648648648649,4,112,0.034482758620689655,0.11428571428571428,0.23975158599944701,0.9863813225704039,mobility_s9,anchor
L3,low,0.96,per_task,112,4,0.2299794661190965,0.00027946621952071543,0.9655172413793104,21,1,0.9545454545454546,0.1875,0.7082273377786193,1.3632871676595966,mobility_s9,anchor
L3,low,0.96,global,24,56,0.049281314168377825,0.003912527073290016,0.3,1,55,0.017857142857142856,0.041666666666666664,0.29381144199877834,1.021063025861489,mobility_s9,anchor
L3,low,0.975,per_task,84,4,0.17248459958932238,0.00027946621952071543,0.9545454545454546,7,1,0.875,0.08333333333333333,0.7868999826566778,1.2130454639518273,mobility_s9,anchor
L3,low,0.975,global,10,3,0.02053388090349076,0.00020959966464053657,0.7692307692307693,1,2,0.3333333333333333,0.1,0.6622525359500339,1.1615369175253816,mobility_s9,anchor
L3,low,0.98,per_task,67,3,0.1375770020533881,0.00020959966464053657,0.9571428571428572,7,0,1.0,0.1044776119402985,0.7685483078411763,1.245390624606846,mobility_s9,anchor
L3,low,0.98,global,6,3,0.012320328542094456,0.00020959966464053657,0.6666666666666666,1,2,0.3333333333333333,0.16666666666666666,0.5767282849133694,1.155945848514794,mobility_s9,anchor
L3,low,0.99,per_task,36,1,0.07392197125256673,6.986655488017886e-05,0.972972972972973,6,0,1.0,0.16666666666666666,0.7497414291429136,1.2977447092462961,mobility_s9,anchor
L3,low,0.99,global,3,0,0.006160164271047228,0.0,1.0,1,0,1.0,0.3333333333333333,0.5514159152032906,1.8135131258069144,mobility_s9,anchor
L3,low,0.995,per_task,22,1,0.045174537987679675,6.986655488017886e-05,0.9565217391304348,4,0,1.0,0.18181818181818182,0.6789309028730723,1.4088646356833439,mobility_s9,anchor
L3,low,0.995,global,2,0,0.004106776180698152,0.0,1.0,0,0,0.0,0.0,0.8953488372093024,1.1168831168831168,mobility_s9,anchor
L3,high,0.5,per_task,100,478,0.2053388090349076,0.03339621323272549,0.17301038062283736,60,464,0.11450381679389313,0.6,0.08753999584673135,1.976358108649572,mobility_s9,anchor
L3,high,0.5,global,158,3663,0.324435318275154,0.25592119052609513,0.041350431824129806,128,3653,0.03385347791589527,0.810126582278481,0.039000883323066254,1.0602434688876383,mobility_s9,anchor
L3,high,0.6,per_task,87,344,0.17864476386036962,0.024034094878781526,0.20185614849187936,52,331,0.13577023498694518,0.5977011494252874,0.10260100737760194,1.9673895378920525,mobility_s9,anchor
L3,high,0.6,global,123,2927,0.25256673511293637,0.20449940613428352,0.040327868852459016,94,2921,0.031177446102819237,0.7642276422764228,0.04017700842144523,1.0037548945763035,mobility_s9,anchor
L3,high,0.7,per_task,76,275,0.15605749486652978,0.019213302592049186,0.21652421652421652,45,263,0.1461038961038961,0.5921052631578947,0.11229961947015517,1.928093946763196,mobility_s9,anchor
L3,high,0.7,global,97,2077,0.19917864476386038,0.1451128344861315,0.04461821527138914,70,2073,0.032664489034064395,0.7216494845360825,0.04281639616713201,1.0420824559176771,mobility_s9,anchor
L3,high,0.75,per_task,65,246,0.13347022587268995,0.017187172500523998,0.2090032154340836,36,234,0.13333333333333333,0.5538461538461539,0.11681436933852123,1.7891909755417543,mobility_s9,anchor
L3,high,0.75,global,80,1666,0.16427104722792607,0.11639768043037797,0.045819014891179836,56,1660,0.03263403263403263,0.7,0.04418151768394406,1.037062946070566,mobility_s9,anchor
L3,high,0.8,per_task,56,205,0.11498973305954825,0.014322643750436665,0.21455938697318008,32,194,0.1415929203539823,0.5714285714285714,0.1191176617528963,1.8012390758498342,mobility_s9,anchor
L3,high,0.8,global,60,1223,0.12320328542094455,0.08544679661845875,0.04676539360872954,43,1220,0.034045922406967535,0.7166666666666667,0.04322085686773186,1.0820098674083434,mobility_s9,anchor
L3,high,0.85,per_task,51,156,0.10472279260780287,0.010899182561307902,0.2463768115942029,28,144,0.16279069767441862,0.5490196078431373,0.15188436483800477,1.6221341272156677,mobility_s9,anchor
L3,high,0.85,global,31,600,0.06365503080082136,0.04191993292810731,0.0491283676703645,21,598,0.033925686591276254,0.6774193548387096,0.04526216476635694,1.0854179848437404,mobility_s9,anchor
L3,high,0.9,per_task,39,117,0.08008213552361396,0.008174386920980926,0.25,24,106,0.18461538461538463,0.6153846153846154,0.1629838891026681,1.5338939411521715,mobility_s9,anchor
L3,high,0.9,global,15,159,0.030800821355236138,0.011108782225948438,0.08620689655172414,11,157,0.06547619047619048,0.7333333333333333,0.056448548287834695,1.5271765026117192,mobility_s9,anchor
L3,high,0.925,per_task,34,96,0.06981519507186858,0.00670718926849717,0.26153846153846155,22,91,0.19469026548672566,0.6470588235294118,0.1496780873108318,1.7473396823633431,mobility_s9,anchor
L3,high,0.925,global,10,65,0.02053388090349076,0.004541326067211626,0.13333333333333333,7,64,0.09859154929577464,0.7,0.07149143978890149,1.8650251516410548,mobility_s9,anchor
L3,high,0.95,per_task,25,49,0.0513347022587269,0.003423461189128764,0.33783783783783783,17,48,0.26153846153846155,0.68,0.12789608537078712,2.6415025671692978,mobility_s9,anchor
L3,high,0.95,global,7,36,0.014373716632443531,0.0025151959756864388,0.16279069767441862,3,35,0.07894736842105263,0.42857142857142855,0.1335685779323385,1.2187798971467907,mobility_s9,anchor
L3,high,0.96,per_task,25,42,0.0513347022587269,0.002934395304967512,0.373134328358209,16,41,0.2807017543859649,0.64,0.1463681801380597,2.5492858352563745,mobility_s9,anchor
L3,high,0.96,global,7,32,0.014373716632443531,0.0022357297561657235,0.1794871794871795,3,32,0.08571428571428572,0.42857142857142855,0.1348854650645722,1.330663607092548,mobility_s9,anchor
L3,high,0.975,per_task,17,18,0.03490759753593429,0.0012575979878432194,0.4857142857142857,9,17,0.34615384615384615,0.5294117647058824,0.23519870515103883,2.0651231281327505,mobility_s9,anchor
L3,high,0.975,global,6,25,0.012320328542094456,0.0017466638720044715,0.1935483870967742,2,25,0.07407407407407407,0.3333333333333333,0.13858091157369906,1.3966453597315438,mobility_s9,anchor
L3,high,0.98,per_task,16,9,0.03285420944558522,0.0006287989939216097,0.64,9,8,0.5294117647058824,0.5625,0.3000514422659387,2.132967584380952,mobility_s9,anchor
L3,high,0.98,global,5,23,0.01026694045174538,0.0016069307622441137,0.17857142857142858,2,23,0.08,0.4,0.1195086868643335,1.4942129585453752,mobility_s9,anchor
L3,high,0.99,per_task,14,5,0.028747433264887063,0.0003493327744008943,0.7368421052631579,9,5,0.6428571428571429,0.6428571428571429,0.3060169608707338,2.4078472747607313,mobility_s9,anchor
L3,high,0.99,global,3,12,0.006160164271047228,0.0008383986585621463,0.2,1,12,0.07692307692307693,0.3333333333333333,0.16999579263657294,1.1764997056578443,mobility_s9,anchor
L3,high,0.995,per_task,10,0,0.02053388090349076,0.0,1.0,5,0,1.0,0.5,0.5530673629400169,1.8080980130235154,mobility_s9,anchor
L3,high,0.995,global,3,1,0.006160164271047228,6.986655488017886e-05,0.75,1,1,0.5,0.3333333333333333,0.49622669587309065,1.5114059889107851,mobility_s9,anchor
L4,low,0.5,per_task,260,139,0.5338809034907598,0.009711451128344862,0.6516290726817042,43,121,0.2621951219512195,0.16538461538461538,0.508982571180901,1.2802581258722596,mobility_s9,anchor
L4,low,0.5,global,324,2185,0.6652977412731006,0.1526584224131908,0.12913511359107213,202,2138,0.08632478632478632,0.6234567901234568,0.0986525396091847,1.3089892475413725,mobility_s9,anchor
L4,low,0.6,per_task,243,90,0.4989733059548255,0.006287989939216097,0.7297297297297297,35,74,0.3211009174311927,0.1440329218106996,0.5747356807912831,1.2696788351909076,mobility_s9,anchor
L4,low,0.6,global,310,1987,0.6365503080082136,0.1388248445469154,0.1349586417065738,164,1889,0.07988309790550414,0.5290322580645161,0.11507766881292637,1.1727613454350254,mobility_s9,anchor
L4,low,0.7,per_task,232,54,0.47638603696098564,0.0037727939635296584,0.8111888111888111,28,42,0.4,0.1206896551724138,0.64504087196297,1.2575773822211056,mobility_s9,anchor
L4,low,0.7,global,294,1740,0.6036960985626283,0.12156780549151121,0.14454277286135694,119,1595,0.06942823803967328,0.40476190476190477,0.13167297366387848,1.09774062846284,mobility_s9,anchor
L4,low,0.75,per_task,227,39,0.46611909650924027,0.0027247956403269754,0.8533834586466166,28,28,0.5,0.12334801762114538,0.6759341795338075,1.262524494966649,mobility_s9,anchor
L4,low,0.75,global,274,1580,0.5626283367556468,0.1103891567106826,0.14778856526429343,85,1457,0.05512321660181582,0.3102189781021898,0.1396979835765404,1.0579148065034183,mobility_s9,anchor
L4,low,0.8,per_task,216,32,0.44353182751540043,0.0022357297561657235,0.8709677419354839,28,22,0.56,0.12962962962962962,0.6868588936712262,1.2680446449200142,mobility_s9,anchor
L4,low,0.8,global,250,1332,0.5133470225872689,0.09306225110039824,0.15802781289506954,52,1265,0.039483675018982534,0.208,0.15247794013111549,1.0363978734181596,mobility_s9,anchor
L4,low,0.85,per_task,195,23,0.4004106776180698,0.0016069307622441137,0.8944954128440367,28,14,0.6666666666666666,0.14358974358974358,0.7077856099076633,1.2637942907044004,mobility_s9,anchor
L4,low,0.85,global,147,980,0.30184804928131415,0.06846922378257528,0.13043478260869565,30,966,0.030120481927710843,0.20408163265306123,0.1415670214774166,0.9213641796476109,mobility_s9,anchor
L4,low,0.9,per_task,179,14,0.3675564681724846,0.000978131768322504,0.927461139896373,25,7,0.78125,0.13966480446927373,0.7335189764702157,1.2643996537886875,mobility_s9,anchor
L4,low,0.9,global,75,600,0.1540041067761807,0.04191993292810731,0.1111111111111111,14,596,0.022950819672131147,0.18666666666666668,0.12287563106156262,0.9042566874423025,mobility_s9,anchor
L4,low,0.925,per_task,167,10,0.34291581108829566,0.0006986655488017886,0.943502824858757,24,3,0.8888888888888888,0.1437125748502994,0.7428049224694285,1.27018924662227,mobility_s9,anchor
L4,low,0.925,global,60,366,0.12320328542094455,0.025571159086145462,0.14084507042253522,11,364,0.029333333333333333,0.18333333333333332,0.14444897025363193,0.975050705970636,mobility_s9,anchor
L4,low,0.95,per_task,138,7,0.28336755646817247,0.000489065884161252,0.9517241379310345,23,1,0.9583333333333334,0.16666666666666666,0.7215458518077335,1.3190071504764682,mobility_s9,anchor
L4,low,0.95,global,36,32,0.07392197125256673,0.0022357297561657235,0.5294117647058824,2,32,0.058823529411764705,0.05555555555555555,0.45249819486542026,1.1699754180529656,mobility_s9,anchor
L4,low,0.96,per_task,126,4,0.2587268993839836,0.00027946621952071543,0.9692307692307692,23,0,1.0,0.18253968253968253,0.7193402860813791,1.3473884168377022,mobility_s9,anchor
L4,low,0.96,global,27,11,0.055441478439425054,0.0007685321036819675,0.7105263157894737,1,11,0.08333333333333333,0.037037037037037035,0.5853899926438786,1.2137657368900763,mobility_s9,anchor
L4,low,0.975,per_task,102,3,0.20944558521560575,0.00020959966464053657,0.9714285714285714,9,0,1.0,0.08823529411764706,0.7587066992192141,1.280374316489191,mobility_s9,anchor
L4,low,0.975,global,14,2,0.028747433264887063,0.00013973310976035772,0.875,1,2,0.3333333333333333,0.07142857142857142,0.6391359340867147,1.3690358393794904,mobility_s9,anchor
L4,low,0.98,per_task,82,1,0.16837782340862423,6.986655488017886e-05,0.9879518072289156,9,0,1.0,0.10975609756097561,0.7633567057218944,1.2942203819309155,mobility_s9,anchor
L4,low,0.98,global,12,1,0.024640657084188913,6.986655488017886e-05,0.9230769230769231,1,1,0.5,0.08333333333333333,0.6462052810727786,1.4284577209652392,mobility_s9,anchor
L4,low,0.99,per_task,42,1,0.08624229979466119,6.986655488017886e-05,0.9767441860465116,7,0,1.0,0.16666666666666666,0.7207085173444666,1.355255505575871,mobility_s9,anchor
L4,low,0.99,global,7,0,0.014373716632443531,0.0,1.0,1,0,1.0,0.14285714285714285,0.6704390185602931,1.4915599664044155,mobility_s9,anchor
L4,low,0.995,per_task,23,1,0.04722792607802875,6.986655488017886e-05,0.9583333333333334,3,0,1.0,0.13043478260869565,0.7239190438944042,1.3238128509202784,mobility_s9,anchor
L4,low,0.995,global,6,0,0.012320328542094456,0.0,1.0,1,0,1.0,0.16666666666666666,0.7485750015418072,1.3358714864113064,mobility_s9,anchor
L4,high,0.5,per_task,62,380,0.1273100616016427,0.026549290854467965,0.14027149321266968,40,372,0.0970873786407767,0.6451612903225806,0.07017836210423883,1.9987855089054176,mobility_s9,anchor
L4,high,0.5,global,146,4162,0.2997946611909651,0.2907846014113044,0.033890436397400185,133,4155,0.03101679104477612,0.910958904109589,0.034721213608413404,0.9760729212871778,mobility_s9,anchor
L4,high,0.6,per_task,55,282,0.11293634496919917,0.019702368476210437,0.1632047477744807,34,275,0.11003236245954692,0.6181818181818182,0.08090091478944662,2.017341190754625,mobility_s9,anchor
L4,high,0.6,global,120,3537,0.2464065708418891,0.24711800461119263,0.03281378178835111,107,3535,0.029379461834157055,0.8916666666666667,0.03557794805350871,0.9223067541444397,mobility_s9,anchor
L4,high,0.7,per_task,45,214,0.09240246406570841,0.014951442744358275,0.17374517374517376,28,206,0.11965811965811966,0.6222222222222222,0.09107002533768747,1.9078195388760133,mobility_s9,anchor
L4,high,0.7,global,94,2379,0.19301848049281314,0.16621253405994552,0.03801051354630004,78,2378,0.03175895765472313,0.8297872340425532,0.03746556234733825,1.0145453895475964,mobility_s9,anchor
L4,high,0.75,per_task,38,182,0.07802874743326489,0.012715712988192553,0.17272727272727273,22,176,0.1111111111111111,0.5789473684210527,0.10178426086436206,1.6969939287317664,mobility_s9,anchor
L4,high,0.75,global,66,1577,0.13552361396303902,0.11017955704604206,0.04017041996348144,52,1575,0.03196066379840197,0.7878787878787878,0.038344474849769855,1.04761951026492,mobility_s9,anchor
L4,high,0.8,per_task,35,161,0.07186858316221766,0.011248515335708796,0.17857142857142858,20,155,0.11428571428571428,0.5714285714285714,0.11273204133927746,1.5840343743443925,mobility_s9,anchor
L4,high,0.8,global,52,998,0.10677618069815195,0.0697268217704185,0.049523809523809526,39,996,0.03768115942028986,0.75,0.04019853232551481,1.2319805390600236,mobility_s9,anchor
L4,high,0.85,per_task,29,122,0.059548254620123205,0.00852371969538182,0.19205298013245034,18,114,0.13636363636363635,0.6206896551724138,0.11919887031861091,1.6111979888660444,mobility_s9,anchor
