quantity,family,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,dev_low_prior_fp,dev_precision,dev_lift,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,precision_ci_low,precision_ci_high,lift_ci_low,lift_ci_high,median_alarm_chunk,libero_goal__tp,libero_goal__fp,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_long__tp,libero_long__fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_object__tp,libero_object__fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_spatial__tp,libero_spatial__fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp
mobility_s9,anchor,per_task,True,L2,low,0.7,243,31,41,18,0.8868613138686131,1.31229780486713,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,0.7821432038321577,0.8638099798866367,1.3136870464466681,1.450854492640898,20.0,78,3,32,2,94,42,38,33,15,2,2,1,85,10,0,7
mobility_s9,anchor,global,True,L12,low,0.975,172,15,18,5,0.9197860962566845,1.7428417708393027,195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853,0.8753457925243777,0.9493335854369387,1.678788861625019,1.8206869363043086,34.0,37,1,14,1,156,16,22,3,2,0,0,0,0,0,0,0
load_entropy_s9,anchor,per_task,True,L3,low,0.85,322,45,58,32,0.8773841961852861,1.453000774065528,370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162837667346665,1.5478620878761244,0.760248002066326,0.8331011848260945,1.4725390396731959,1.6136497765467221,18.0,95,10,46,7,120,57,32,44,18,9,6,5,137,17,13,13
load_entropy_s9,anchor,global,True,L3,low,0.925,214,15,12,8,0.9344978165938864,1.2105769156948392,238,36,0.4219858156028369,0.0023942537909018356,0.8686131386861314,30,22,0.5769230769230769,0.12605042016806722,0.6722388905291479,1.292119737378492,0.8234683579394859,0.903564968390155,1.2249638774860212,1.3441129055757552,17.0,0,0,0,0,102,18,19,8,0,0,0,0,136,18,11,14
td_slope,A_primary_formation_slope,per_task,True,L3,high,0.95,58,30,29,19,0.6590909090909091,1.846783310434745,62,33,0.1099290780141844,0.002194732641660016,0.6526315789473685,21,25,0.45652173913043476,0.3387096774193548,0.4305360703692739,1.5158580752307274,0.5526464467582475,0.7407527032085617,1.2836240324399268,1.7205357557456515,18.0,20,5,14,5,9,18,3,13,13,5,3,3,20,5,1,4
td_slope,A_primary_formation_slope,global,True,L15,low,0.96,115,17,14,9,0.8712121212121212,1.7085949342916085,161,24,0.2854609929078014,0.0015961691939345571,0.8702702702702703,27,10,0.7297297297297297,0.16770186335403728,0.5334401188769814,1.6314301070987998,0.814226590422966,0.9112496945742505,1.526369242975401,1.7082511463379402,30.0,15,1,13,1,111,21,14,9,0,0,0,0,35,2,0,0
td_late_early,A_primary_formation_slope,per_task,True,L3,high,0.96,53,25,24,15,0.6794871794871795,1.6574128249795745,56,22,0.09929078014184398,0.0014631550944400106,0.717948717948718,18,16,0.5294117647058824,0.32142857142857145,0.4658088795936078,1.5412946154549223,0.6096907122672496,0.8057466527208471,1.3088859808751836,1.7297795040399746,18.0,19,4,13,4,6,13,1,9,13,2,3,0,18,3,1,3
td_late_early,A_primary_formation_slope,global,True,L15,low,0.96,114,18,15,10,0.8636363636363636,1.7361752579731409,161,25,0.2854609929078014,0.0016626762436818302,0.8655913978494624,26,11,0.7027027027027027,0.16149068322981366,0.531099250551149,1.629810994745697,0.8091127043482462,0.9072745423761948,1.5234679836369347,1.7082956555383373,30.0,16,1,12,1,111,22,14,10,0,0,0,0,34,2,0,0
pc1corr_slope,A_primary_formation_slope,per_task,True,all_median,high,0.95,75,12,24,12,0.8620689655172413,1.500244683157795,105,59,0.18617021276595744,0.003923915935089119,0.6402439024390244,31,56,0.3563218390804598,0.29523809523809524,0.47333671522358456,1.3526182986599715,0.5643567024302664,0.7097114588137795,1.1922943737074945,1.4993796931187586,15.0,37,9,25,9,10,0,5,0,0,7,0,7,58,43,1,40
pc1corr_slope,A_primary_formation_slope,global,True,L14,high,0.99,28,1,2,0,0.9655172413793104,1.5198421760988239,31,0,0.0549645390070922,0.0,1.0,0,0,0.0,0.0,0.6700465337240249,1.4924336589611769,0.8897446044935221,1.0,1.3278847956252322,1.4924336589611769,38.0,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
pc1share_slope,A_primary_formation_slope,per_task,True,front_median,low,0.9,116,21,37,9,0.8467153284671532,1.4358128606717835,167,51,0.29609929078014185,0.003391859537110934,0.7660550458715596,46,44,0.5111111111111111,0.2754491017964072,0.5524802096410933,1.3865746365271807,0.7055503071640503,0.8173456412114766,1.2770598744566717,1.479411618639602,17.0,56,8,38,8,42,16,4,13,6,16,0,12,63,11,4,11
pc1share_slope,A_primary_formation_slope,global,True,L14,high,0.98,40,8,8,5,0.8333333333333334,1.5714512316427662,24,10,0.0425531914893617,0.0006650704974727321,0.7058823529411765,5,8,0.38461538461538464,0.20833333333333334,0.5006688149760767,1.4098788097575148,0.5383109020124889,0.8316536933185156,1.0751836062292213,1.6610854689606624,28.5,5,0,2,0,19,10,3,8,0,0,0,0,0,0,0,0
