mode,head,head_fp,baseline_fp,both_fp,expected_both_if_independent,false_alarm_dependence,tp,tp_missed_by_mobility,risk_caught_only_by_mobility,or_tp,or_fp
per_task,mobility_s9,57,57,57,0.21608140462889067,263.7894736842105,272,0,0,272,57
per_task,load_entropy_s9,93,57,14,0.3525538707102953,39.71024335031126,370,125,27,397,136
per_task,td_slope,33,57,2,0.1250997605746209,15.987240829346092,62,40,250,312,88
per_task,td_late_early,22,57,1,0.08339984038308061,11.990430622009569,56,35,251,307,78
per_task,pc1corr_slope,59,57,2,0.2236632083000798,8.942016057091882,105,15,182,287,114
per_task,pc1share_slope,51,57,1,0.19333599361532322,5.17234262125903,167,52,157,324,107
per_task,stretch_slope,38,57,2,0.14405426975259378,13.88365650969529,113,14,173,286,93
per_task,centred_slope,24,57,1,0.09098164405426976,10.991228070175438,53,31,250,303,80
per_task,pc1_index_corr_s9,0,57,0,0.0,,4,0,268,272,57
per_task,arc_stretch_s9,20,57,5,0.07581803671189145,65.94736842105264,106,9,175,281,72
per_task,fiedler_index_rho_s9,7,57,0,0.02653631284916201,0.0,18,5,259,277,64
per_task,along_state_energy_s9,4,57,0,0.015163607342378291,0.0,34,4,242,276,61
per_task,along_state_fraction_s9,9,57,2,0.034118116520351155,58.619883040935676,41,5,236,277,64
per_task,pc1_state_cos_s9,10,57,1,0.03790901835594573,26.378947368421056,42,8,238,280,66
per_task,saa_slope,13,57,3,0.04928172386272945,60.874493927125506,88,26,210,298,67
per_task,state_mobility_s9,39,57,17,0.14784517158818836,114.9851551956815,193,38,117,310,79
per_task,state_mobility_mean,39,57,17,0.14784517158818836,114.9851551956815,193,38,117,310,79
per_task,state_minus_action_mobility,48,57,14,0.1819632881085395,76.93859649122807,212,49,109,321,91
per_task,state_over_action_logratio,46,57,16,0.17438148443735035,91.75286041189932,204,43,111,315,87
global,mobility_s9,17,17,17,0.019220537376961958,884.4705882352941,195,0,0,195,17
global,load_entropy_s9,36,17,3,0.040702314445331206,73.70588235294117,238,169,126,364,50
global,td_slope,24,17,6,0.02713487629688747,221.1176470588235,161,45,79,240,35
global,td_late_early,25,17,6,0.028265496142591114,212.2729411764706,161,45,79,240,36
global,pc1corr_slope,0,17,0,0.0,,31,0,164,195,17
global,pc1share_slope,10,17,0,0.011306198457036445,0.0,24,2,173,197,27
global,stretch_slope,18,17,1,0.020351157222665603,49.13725490196078,67,5,133,200,34
global,centred_slope,23,17,6,0.026004256451183826,230.7314578005115,164,48,79,243,34
global,pc1_index_corr_s9,8,17,0,0.009044958765629156,0.0,57,46,184,241,25
global,arc_stretch_s9,7,17,0,0.007914338919925512,0.0,27,23,191,218,24
global,fiedler_index_rho_s9,10,17,1,0.011306198457036445,88.44705882352942,12,7,190,202,26
global,along_state_energy_s9,4,17,0,0.004522479382814578,0.0,21,0,174,195,21
global,along_state_fraction_s9,43,17,0,0.048616653365256716,0.0,12,7,190,202,60
global,pc1_state_cos_s9,2,17,2,0.002261239691407289,884.4705882352941,4,2,193,197,17
global,saa_slope,21,17,1,0.023743016759776536,42.11764705882353,41,10,164,205,37
global,state_mobility_s9,8,17,6,0.009044958765629156,663.3529411764706,124,3,74,198,19
global,state_mobility_mean,8,17,6,0.009044958765629156,663.3529411764706,124,3,74,198,19
global,state_minus_action_mobility,3,17,0,0.003391859537110934,0.0,7,7,195,202,20
global,state_over_action_logratio,8,17,6,0.009044958765629156,663.3529411764706,127,10,78,205,19
