cohort,quantity,layer,group,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task,development_mean_deviation
development_main,shape_pr,L2,front,4,14800,487,0.0329054054054054,0.4948623693427278,0.4666289018219979,0.4988205082265818,0.06233236193493162
development_main,shape_pr,L2,front,6,14800,487,0.0329054054054054,0.5832949210744645,0.511669399320856,0.5098211352981576,0.06233236193493162
development_main,shape_pr,L2,front,8,13666,487,0.0356358846773013,0.5836516092663754,0.5405204769688536,0.4747573415765069,0.06233236193493162
development_main,shape_pr,L2,front,10,10516,487,0.0463103841764929,0.5816029817430888,0.557443623377307,0.4772651867626521,0.06233236193493162
development_main,shape_pr,L2,front,12,8342,487,0.0583792855430352,0.5494066610288899,0.5650668537380075,0.4501850321560737,0.06233236193493162
development_main,shape_pr,L2,front,14,4808,487,0.1012895174708818,0.5100939635332341,0.5466371932549698,0.4551379240116766,0.06233236193493162
development_main,shape_pr,L2,front,16,3554,487,0.1370287000562746,0.5617332014844383,0.5881490326964586,0.5511612212603556,0.06233236193493162
development_main,shape_pr,L2,front,18,3059,487,0.1592023537103628,0.6444405235979958,0.7038985906294298,0.565007939284657,0.06233236193493162
development_main,shape_pr,L2,front,20,2776,487,0.1754322766570605,0.7196340322388209,0.7371129293364275,0.580877133421808,0.06233236193493162
development_main,shape_pr,L2,front,24,1312,361,0.2751524390243902,0.6293797751892599,0.5507479192685741,0.6589580860195416,0.06233236193493162
development_main,shape_pr,L2,front,28,671,324,0.4828614008941878,0.6164434126729996,0.6232832255887011,0.7048587873109357,0.06233236193493162
development_main,shape_pr,L2,front,32,515,222,0.4310679611650485,0.485610183562402,0.485610183562402,0.5803000795457662,0.06233236193493162
development_main,shape_erank,L2,front,4,14800,487,0.0329054054054054,0.499744922516269,0.4700676215065181,0.4987906476753561,0.06392692377587188
development_main,shape_erank,L2,front,6,14800,487,0.0329054054054054,0.5888564853450239,0.5148541722363581,0.5029830690674549,0.06392692377587188
development_main,shape_erank,L2,front,8,13666,487,0.0356358846773013,0.5709174557931049,0.5434645666101547,0.4626522411128284,0.06392692377587188
development_main,shape_erank,L2,front,10,10516,487,0.0463103841764929,0.5519327625450874,0.5536845871037444,0.4634614939468994,0.06392692377587188
development_main,shape_erank,L2,front,12,8342,487,0.0583792855430352,0.5113852592614861,0.5485265925881805,0.4425097905364136,0.06392692377587188
development_main,shape_erank,L2,front,14,4808,487,0.1012895174708818,0.4667028936092157,0.5138843666452586,0.4396370301645131,0.06392692377587188
development_main,shape_erank,L2,front,16,3554,487,0.1370287000562746,0.5315888349784317,0.5817977722706318,0.5158358931397189,0.06392692377587188
development_main,shape_erank,L2,front,18,3059,487,0.1592023537103628,0.6253488843683835,0.7140068724441707,0.569946443469602,0.06392692377587188
development_main,shape_erank,L2,front,20,2776,487,0.1754322766570605,0.707361248287722,0.7433271928355543,0.5782228943551125,0.06392692377587188
development_main,shape_erank,L2,front,24,1312,361,0.2751524390243902,0.6355651289938278,0.5697676635745678,0.6556707150031961,0.06392692377587188
development_main,shape_erank,L2,front,28,671,324,0.4828614008941878,0.6079802184509197,0.6206869693901395,0.6952750635791728,0.06392692377587188
development_main,shape_erank,L2,front,32,515,222,0.4310679611650485,0.4823509516342281,0.4823509516342281,0.5660092711962037,0.06392692377587188
