cohort,quantity,layer,group,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
development_main,shape_pr,L2,front,4,14800,487,0.0329054054054054,0.49486236934272787,0.46662890182199795,0.49882050822658186
development_main,shape_pr,L2,front,6,14800,487,0.0329054054054054,0.5832949210744645,0.511669399320856,0.5098211352981576
development_main,shape_pr,L2,front,8,13666,487,0.03563588467730133,0.5836516092663754,0.5405204769688536,0.47475734157650695
development_main,shape_pr,L2,front,10,10516,487,0.04631038417649296,0.5816029817430888,0.557443623377307,0.4772651867626521
development_main,shape_pr,L2,front,12,8342,487,0.058379285543035245,0.5494066610288899,0.5650668537380075,0.45018503215607375
development_main,shape_pr,L2,front,14,4808,487,0.10128951747088186,0.5100939635332341,0.5466371932549698,0.4551379240116766
development_main,shape_pr,L2,front,16,3554,487,0.13702870005627463,0.5617332014844383,0.5881490326964586,0.5511612212603556
development_main,shape_pr,L2,front,18,3059,487,0.15920235371036287,0.6444405235979958,0.7038985906294298,0.565007939284657
development_main,shape_pr,L2,front,20,2776,487,0.17543227665706052,0.7196340322388209,0.7371129293364275,0.580877133421808
development_main,shape_pr,L2,front,24,1312,361,0.27515243902439024,0.6293797751892599,0.5507479192685741,0.6589580860195416
development_main,shape_pr,L2,front,28,671,324,0.4828614008941878,0.6164434126729996,0.6232832255887011,0.7048587873109357
development_main,shape_pr,L2,front,32,515,222,0.43106796116504853,0.485610183562402,0.485610183562402,0.5803000795457662
development_main,shape_pr,L3,front,4,14800,487,0.0329054054054054,0.5449179541408559,0.5359560581728172,0.5224163158051898
development_main,shape_pr,L3,front,6,14800,487,0.0329054054054054,0.5776287004347364,0.5687946471137002,0.5209053719131655
development_main,shape_pr,L3,front,8,13666,487,0.03563588467730133,0.5619263457061691,0.5675678869059073,0.5263925811437403
development_main,shape_pr,L3,front,10,10516,487,0.04631038417649296,0.5538236854395354,0.5998435184615206,0.46821447034405067
development_main,shape_pr,L3,front,12,8342,487,0.058379285543035245,0.5519371252828147,0.5718845893364923,0.46286781877627275
development_main,shape_pr,L3,front,14,4808,487,0.10128951747088186,0.4597519777106885,0.3925111645482652,0.48196465343622
development_main,shape_pr,L3,front,16,3554,487,0.13702870005627463,0.49457395377299185,0.3697421190076478,0.5131248254677464
development_main,shape_pr,L3,front,18,3059,487,0.15920235371036287,0.6037048805490178,0.5614057710719084,0.5335333853648034
development_main,shape_pr,L3,front,20,2776,487,0.17543227665706052,0.6387239031776831,0.6558191184797084,0.513440943180766
development_main,shape_pr,L3,front,24,1312,361,0.27515243902439024,0.6260183914876016,0.6830042615667693,0.5484658935257054
development_main,shape_pr,L3,front,28,671,324,0.4828614008941878,0.5680613370334792,0.6557623906327076,0.7277205193414537
development_main,shape_pr,L3,front,32,515,222,0.43106796116504853,0.8251391323063678,0.8251391323063678,0.8634007186548537
development_main,shape_pr,L4,front,4,14800,487,0.0329054054054054,0.5286875373990504,0.525599080681537,0.48133416942876767
development_main,shape_pr,L4,front,6,14800,487,0.0329054054054054,0.5603845730629856,0.5128998726838653,0.5237958732718206
development_main,shape_pr,L4,front,8,13666,487,0.03563588467730133,0.4815889973673193,0.44321698085818473,0.5046676970633694
development_main,shape_pr,L4,front,10,10516,487,0.04631038417649296,0.5602110143417764,0.5759591185289665,0.4921105221329753
development_main,shape_pr,L4,front,12,8342,487,0.058379285543035245,0.6072561323892889,0.6594408155251564,0.5058743218481658
development_main,shape_pr,L4,front,14,4808,487,0.10128951747088186,0.5840865036660177,0.604061057756934,0.5349731845850965
development_main,shape_pr,L4,front,16,3554,487,0.13702870005627463,0.6313221020748794,0.5435819543262185,0.598930699059853
development_main,shape_pr,L4,front,18,3059,487,0.15920235371036287,0.6411041671323781,0.5868239808224668,0.5927550663401243
development_main,shape_pr,L4,front,20,2776,487,0.17543227665706052,0.7203642453910901,0.7385902374059985,0.6046418320422209
development_main,shape_pr,L4,front,24,1312,361,0.27515243902439024,0.697624020203256,0.6442688123861914,0.5668888685964752
development_main,shape_pr,L4,front,28,671,324,0.4828614008941878,0.6431138150638631,0.667185917906379,0.5857314951144426
development_main,shape_pr,L4,front,32,515,222,0.43106796116504853,0.6901116133198044,0.6901116133198044,0.7132237978988946
development_main,shape_pr,L5,front,4,14800,487,0.0329054054054054,0.5028861199544189,0.5126328390874867,0.4779718713607453
development_main,shape_pr,L5,front,6,14800,487,0.0329054054054054,0.6371283210464317,0.5754334076789764,0.5201708023530114
development_main,shape_pr,L5,front,8,13666,487,0.03563588467730133,0.6471615053068841,0.6053599918439163,0.5179659969088098
development_main,shape_pr,L5,front,10,10516,487,0.04631038417649296,0.5631201343618906,0.5942167849199615,0.4611698803268443
development_main,shape_pr,L5,front,12,8342,487,0.058379285543035245,0.5147968113013461,0.5344416427863923,0.5029281787805842
development_main,shape_pr,L5,front,14,4808,487,0.10128951747088186,0.4358497990093745,0.4019304586799695,0.5299721662782014
development_main,shape_pr,L5,front,16,3554,487,0.13702870005627463,0.5060058421468785,0.49655414768033684,0.6336800707437401
development_main,shape_pr,L5,front,18,3059,487,0.15920235371036287,0.5328534110831862,0.49214140462071676,0.6397986920364938
development_main,shape_pr,L5,front,20,2776,487,0.17543227665706052,0.5894591847627659,0.4703820665566162,0.600999969136755
development_main,shape_pr,L5,front,24,1312,361,0.27515243902439024,0.6642839874050059,0.6599422257391006,0.5209569902292028
development_main,shape_pr,L5,front,28,671,324,0.4828614008941878,0.48809905005870424,0.48652543032946494,0.517521081515192
development_main,shape_pr,L5,front,32,515,222,0.43106796116504853,0.7657503920302555,0.7657503920302555,0.8422250870888992
development_main,shape_pr,L12,back,4,14800,487,0.0329054054054054,0.6074390521906035,0.5435068459686652,0.476765505091224
development_main,shape_pr,L12,back,6,14800,487,0.0329054054054054,0.5477141226991559,0.5309674842194674,0.5097763444713189
development_main,shape_pr,L12,back,8,13666,487,0.03563588467730133,0.5618726699950282,0.5579598447913481,0.5147326120556415
development_main,shape_pr,L12,back,10,10516,487,0.04631038417649296,0.6482617247763826,0.6448667542749168,0.472928867387329
development_main,shape_pr,L12,back,12,8342,487,0.058379285543035245,0.6056436149564031,0.6511935725111019,0.4829608737829196
development_main,shape_pr,L12,back,14,4808,487,0.10128951747088186,0.49532487108705064,0.4865465326423013,0.5653074155371003
development_main,shape_pr,L12,back,16,3554,487,0.13702870005627463,0.5095023596890527,0.3518516667999041,0.5248184864562971
development_main,shape_pr,L12,back,18,3059,487,0.15920235371036287,0.5692004560246023,0.4293440749289377,0.4806093064563878
development_main,shape_pr,L12,back,20,2776,487,0.17543227665706052,0.6817710449852566,0.6111380256305973,0.5318354371778649
development_main,shape_pr,L12,back,24,1312,361,0.27515243902439024,0.6576209326237726,0.6345563489717898,0.5663638023924755
development_main,shape_pr,L12,back,28,671,324,0.4828614008941878,0.6035418223218415,0.6411324869538126,0.676455628429929
development_main,shape_pr,L12,back,32,515,222,0.43106796116504853,0.7005657534667774,0.7005657534667774,0.6978083769920729
development_main,shape_pr,L13,back,4,14800,487,0.0329054054054054,0.3977989309412861,0.4283913734126769,0.4927886768789752
development_main,shape_pr,L13,back,6,14800,487,0.0329054054054054,0.38360210437489445,0.42568395810470333,0.5066738331989609
development_main,shape_pr,L13,back,8,13666,487,0.03563588467730133,0.38752266416003434,0.41356880649083827,0.5028748068006182
development_main,shape_pr,L13,back,10,10516,487,0.04631038417649296,0.5071602414599304,0.5212690884727348,0.48560604306999067
development_main,shape_pr,L13,back,12,8342,487,0.058379285543035245,0.5421305306524703,0.6022539008124809,0.5199403585671685
development_main,shape_pr,L13,back,14,4808,487,0.10128951747088186,0.5435407614881147,0.5568055202903529,0.5182050643796248
development_main,shape_pr,L13,back,16,3554,487,0.13702870005627463,0.500454262738605,0.3859321288672156,0.4747277296844457
development_main,shape_pr,L13,back,18,3059,487,0.15920235371036287,0.5095460192054059,0.4376192101884356,0.44983448609952364
development_main,shape_pr,L13,back,20,2776,487,0.17543227665706052,0.54622365872672,0.5537921561121877,0.465047375081016
development_main,shape_pr,L13,back,24,1312,361,0.27515243902439024,0.620955926259281,0.6374760465626221,0.5891014519221989
development_main,shape_pr,L13,back,28,671,324,0.4828614008941878,0.4139938449496567,0.45326089778539347,0.3666978985410253
development_main,shape_pr,L13,back,32,515,222,0.43106796116504853,0.5812655659072041,0.5812655659072041,0.5486189209205365
development_main,shape_pr,L14,back,4,14800,487,0.0329054054054054,0.5152195753748943,0.4986448901859389,0.4743886052136522
development_main,shape_pr,L14,back,6,14800,487,0.0329054054054054,0.35709527861333107,0.4008965723106414,0.46534085819224225
development_main,shape_pr,L14,back,8,13666,487,0.03563588467730133,0.36488343333842826,0.4106500358179006,0.4816259659969088
development_main,shape_pr,L14,back,10,10516,487,0.04631038417649296,0.5198051932762545,0.5290405290753226,0.4760923744049135
development_main,shape_pr,L14,back,12,8342,487,0.058379285543035245,0.564206739975192,0.5803061087175686,0.4705655157546797
development_main,shape_pr,L14,back,14,4808,487,0.10128951747088186,0.587887243760119,0.5521470285125386,0.5404720418184699
development_main,shape_pr,L14,back,16,3554,487,0.13702870005627463,0.5303478976372312,0.36105254216963784,0.587667550963418
development_main,shape_pr,L14,back,18,3059,487,0.15920235371036287,0.5457537499081884,0.41245519181244017,0.54859111338375
development_main,shape_pr,L14,back,20,2776,487,0.17543227665706052,0.6151265358921294,0.5543015383143137,0.5321595012499615
development_main,shape_pr,L14,back,24,1312,361,0.27515243902439024,0.6756614265199775,0.5916475198062751,0.5878002008948955
development_main,shape_pr,L14,back,28,671,324,0.4828614008941878,0.6149002027964564,0.6185969831502973,0.5359121938160889
development_main,shape_pr,L14,back,32,515,222,0.43106796116504853,0.6109522491775051,0.6109522491775051,0.5628000109718299
development_main,shape_pr,L15,back,4,14800,487,0.0329054054054054,0.4956255933097968,0.45615320811109095,0.45809668846486906
development_main,shape_pr,L15,back,6,14800,487,0.0329054054054054,0.4257966975069404,0.42567897264666127,0.46786706082594287
development_main,shape_pr,L15,back,8,13666,487,0.03563588467730133,0.3993585869374353,0.4347266868003103,0.4864791344667697
development_main,shape_pr,L15,back,10,10516,487,0.04631038417649296,0.5542803692699795,0.5517535478218822,0.4743485876098547
development_main,shape_pr,L15,back,12,8342,487,0.058379285543035245,0.5764340059889397,0.5958884013562672,0.4680415334315381
development_main,shape_pr,L15,back,14,4808,487,0.10128951747088186,0.5098437647761018,0.47479276507400714,0.506324817270485
development_main,shape_pr,L15,back,16,3554,487,0.13702870005627463,0.4574542942055892,0.3298291896501186,0.4800335101926836
development_main,shape_pr,L15,back,18,3059,487,0.15920235371036287,0.5188545255970952,0.43668222738438933,0.4789407110369513
development_main,shape_pr,L15,back,20,2776,487,0.17543227665706052,0.6824353236575605,0.6461717584950198,0.52644980093207
development_main,shape_pr,L15,back,24,1312,361,0.27515243902439024,0.5693787848335765,0.6145903843037057,0.5338096977444983
development_main,shape_pr,L15,back,28,671,324,0.4828614008941878,0.4210872736329028,0.4520860918555443,0.4633917815553473
development_main,shape_pr,L15,back,32,515,222,0.43106796116504853,0.6412231343971958,0.6412231343971958,0.7002496091285624
development_main,shape_erank,L2,front,4,14800,487,0.0329054054054054,0.49974492251626906,0.47006762150651815,0.4987906476753561
development_main,shape_erank,L2,front,6,14800,487,0.0329054054054054,0.5888564853450239,0.5148541722363581,0.5029830690674549
development_main,shape_erank,L2,front,8,13666,487,0.03563588467730133,0.5709174557931049,0.5434645666101547,0.46265224111282843
development_main,shape_erank,L2,front,10,10516,487,0.04631038417649296,0.5519327625450874,0.5536845871037444,0.4634614939468994
development_main,shape_erank,L2,front,12,8342,487,0.058379285543035245,0.5113852592614861,0.5485265925881805,0.4425097905364136
development_main,shape_erank,L2,front,14,4808,487,0.10128951747088186,0.4667028936092157,0.5138843666452586,0.4396370301645131
development_main,shape_erank,L2,front,16,3554,487,0.13702870005627463,0.5315888349784317,0.5817977722706318,0.5158358931397189
development_main,shape_erank,L2,front,18,3059,487,0.15920235371036287,0.6253488843683835,0.7140068724441707,0.569946443469602
development_main,shape_erank,L2,front,20,2776,487,0.17543227665706052,0.707361248287722,0.7433271928355543,0.5782228943551125
development_main,shape_erank,L2,front,24,1312,361,0.27515243902439024,0.6355651289938278,0.5697676635745678,0.6556707150031961
development_main,shape_erank,L2,front,28,671,324,0.4828614008941878,0.6079802184509197,0.6206869693901395,0.6952750635791728
development_main,shape_erank,L2,front,32,515,222,0.43106796116504853,0.4823509516342281,0.4823509516342281,0.5660092711962037
development_main,shape_erank,L3,front,4,14800,487,0.0329054054054054,0.5568427547737005,0.5419788030787697,0.5162710143629251
development_main,shape_erank,L3,front,6,14800,487,0.0329054054054054,0.6056700797985088,0.58341855350674,0.5154110304876228
development_main,shape_erank,L3,front,8,13666,487,0.03563588467730133,0.5550925473651146,0.5711452883425393,0.5236846986089645
development_main,shape_erank,L3,front,10,10516,487,0.04631038417649296,0.5200588723912154,0.5788978311159168,0.4627632076417984
development_main,shape_erank,L3,front,12,8342,487,0.058379285543035245,0.5236776167627573,0.5577786822500623,0.46155642582545897
development_main,shape_erank,L3,front,14,4808,487,0.10128951747088186,0.4466682221917031,0.38039669618986455,0.4600144825869521
development_main,shape_erank,L3,front,16,3554,487,0.13702870005627463,0.49756097397680416,0.38888833373304554,0.4979288839244159
development_main,shape_erank,L3,front,18,3059,487,0.15920235371036287,0.6101400806665368,0.5788169525237307,0.5295368302069596
development_main,shape_erank,L3,front,20,2776,487,0.17543227665706052,0.6395658012654037,0.6593738287199853,0.5205703527668899
development_main,shape_erank,L3,front,24,1312,361,0.27515243902439024,0.6286078803184285,0.6954838832692986,0.5514564879919642
development_main,shape_erank,L3,front,28,671,324,0.4828614008941878,0.5618884975273064,0.655736428070722,0.7348681568732433
development_main,shape_erank,L3,front,32,515,222,0.43106796116504853,0.8230021830704425,0.8230021830704425,0.8608223386455277
development_main,shape_erank,L4,front,4,14800,487,0.0329054054054054,0.5363938757875948,0.5371787417576357,0.47425124667801366
development_main,shape_erank,L4,front,6,14800,487,0.0329054054054054,0.5897333321282429,0.5305072641239584,0.5208486368658365
development_main,shape_erank,L4,front,8,13666,487,0.03563588467730133,0.49226984065403034,0.4470323805974331,0.49127047913446675
development_main,shape_erank,L4,front,10,10516,487,0.04631038417649296,0.5360144492675553,0.5674855629276143,0.48462612748161693
development_main,shape_erank,L4,front,12,8342,487,0.058379285543035245,0.5895840549382612,0.6471863190845858,0.5073473933819567
development_main,shape_erank,L4,front,14,4808,487,0.10128951747088186,0.5742988138250377,0.5804429973264827,0.5203944242040235
development_main,shape_erank,L4,front,16,3554,487,0.13702870005627463,0.6464657555524163,0.5489131158898926,0.5843921623382667
development_main,shape_erank,L4,front,18,3059,487,0.15920235371036287,0.6793361456979444,0.6084525125982441,0.5942487283688134
development_main,shape_erank,L4,front,20,2776,487,0.17543227665706052,0.7672638446709241,0.7531978436485721,0.6024351100274683
development_main,shape_erank,L4,front,24,1312,361,0.27515243902439024,0.7255112711215196,0.6727007083543869,0.5383869053054515
development_main,shape_erank,L4,front,28,671,324,0.4828614008941878,0.6818764008965738,0.6952254848508451,0.6223798688261277
development_main,shape_erank,L4,front,32,515,222,0.43106796116504853,0.7306982750668758,0.7306982750668758,0.7602929478563788
development_main,shape_erank,L5,front,4,14800,487,0.0329054054054054,0.5273361145099923,0.5343641391017575,0.47365104959837556
development_main,shape_erank,L5,front,6,14800,487,0.0329054054054054,0.6436929796737103,0.5861359397307977,0.5178118188061752
development_main,shape_erank,L5,front,8,13666,487,0.03563588467730133,0.6440236185593626,0.6019020959379597,0.5128778979907265
development_main,shape_erank,L5,front,10,10516,487,0.04631038417649296,0.5286642044027147,0.5591440442002357,0.45172565449873847
development_main,shape_erank,L5,front,12,8342,487,0.058379285543035245,0.4693270089154425,0.489433116480588,0.4955628211116301
development_main,shape_erank,L5,front,14,4808,487,0.10128951747088186,0.42597039338467835,0.3741990650157573,0.49928152791292346
development_main,shape_erank,L5,front,16,3554,487,0.13702870005627463,0.503602634924737,0.49109974151943936,0.6029740296006703
