cohort,quantity,layer,group,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task,deviation
development_main,bandedness,L3,front,32,515,222,0.43106796116504853,0.25500415090858775,0.25500415090858775,0.16924047508023152,0.33075952491976846
development_main,centroid_norm2,L14,back,32,515,222,0.43106796116504853,0.24719429326937858,0.24719429326937858,0.13242998601091696,0.36757001398908307
development_main,d_cv,L3,front,32,515,222,0.43106796116504853,0.24845493958121945,0.24845493958121945,0.24900567792193543,0.2509943220780646
development_main,kernel_erank,L15,back,32,515,222,0.43106796116504853,0.19713741044799066,0.19713741044799066,0.1428532243464904,0.3571467756535096
development_main,kernel_trace,L14,back,32,515,222,0.43106796116504853,0.24375057651508164,0.24375057651508164,0.1263954796061113,0.3736045203938887
development_main,lam12_share,L3,front,32,515,222,0.43106796116504853,0.1927558958275682,0.1927558958275682,0.16177963079792634,0.33822036920207366
development_main,lam1_share,L3,front,32,515,222,0.43106796116504853,0.1737847062079144,0.1737847062079144,0.1333625915462051,0.3666374084537949
development_main,mobility,L14,back,32,515,222,0.43106796116504853,0.14194569996617779,0.14194569996617779,0.12318621938173739,0.3768137806182626
development_main,procrustes_layer,L2,front,32,515,222,0.43106796116504853,0.6653752728838053,0.6653752728838053,0.7336039718023973,0.23360397180239734
development_main,procrustes_prev,L12,back,32,515,222,0.43106796116504853,0.28876487408910617,0.28876487408910617,0.26099240200784485,0.23900759799215515
development_main,procrustes_self,L12,back,32,515,222,0.43106796116504853,0.3003105494573071,0.3003105494573071,0.2495816989878487,0.2504183010121513
development_main,shape_erank,L3,front,32,515,222,0.43106796116504853,0.8230021830704425,0.8230021830704425,0.8608223386455277,0.3608223386455277
development_main,shape_pr,L3,front,32,515,222,0.43106796116504853,0.8251391323063678,0.8251391323063678,0.8634007186548537,0.3634007186548537
development_main,size,L14,back,32,515,222,0.43106796116504853,0.311425760231221,0.311425760231221,0.20037304221411525,0.2996269577858848
external_8b,bandedness,L3,front,32,569,274,0.48154657293497366,0.24315229493999752,0.24315229493999752,0.1844478430545301,0.3155521569454699
external_8b,centroid_norm2,L14,back,32,569,274,0.48154657293497366,0.22742793517258444,0.22742793517258444,0.12203354076574201,0.377966459234258
external_8b,d_cv,L3,front,32,569,274,0.48154657293497366,0.23273537053074353,0.23273537053074353,0.20868051893260206,0.2913194810673979
external_8b,kernel_erank,L15,back,32,569,274,0.48154657293497366,0.2659223060744773,0.2659223060744773,0.17092078894631366,0.3290792110536863
external_8b,kernel_trace,L14,back,32,569,274,0.48154657293497366,0.22820734875664975,0.22820734875664975,0.1171289948317688,0.3828710051682312
external_8b,lam12_share,L5,front,32,569,274,0.48154657293497366,0.2842632685883954,0.2842632685883954,0.1404915093344584,0.3595084906655416
external_8b,lam1_share,L3,front,32,569,274,0.48154657293497366,0.18605097117406905,0.18605097117406905,0.13941039974686215,0.36058960025313785
external_8b,mobility,L14,back,32,569,274,0.48154657293497366,0.22969194605963134,0.22969194605963134,0.12836198713215904,0.37163801286784093
external_8b,procrustes_layer,L2,front,32,569,274,0.48154657293497366,0.6737226277372262,0.6737226277372262,0.7063073515451956,0.20630735154519564
external_8b,procrustes_prev,L13,back,32,569,274,0.48154657293497366,0.3551899047383397,0.3551899047383397,0.2266902225503639,0.27330977744963614
external_8b,procrustes_self,L12,back,32,569,274,0.48154657293497366,0.3448966967710009,0.3448966967710009,0.24253770699293323,0.2574622930070668
external_8b,shape_erank,L3,front,32,569,274,0.48154657293497366,0.8023753556847705,0.8023753556847705,0.8620135006855817,0.3620135006855817
external_8b,shape_pr,L3,front,32,569,274,0.48154657293497366,0.8077446492638871,0.8077446492638871,0.8601940723552368,0.3601940723552368
external_8b,size,L14,back,32,569,274,0.48154657293497366,0.39816899665965605,0.39816899665965605,0.1880075941356397,0.3119924058643603
