cohort,quantity,layer,chunk,within_task_spearman_vs_mobility,episodes
development_main,shape_pr,L2,4,-0.10530912582122465,14800
development_main,shape_pr,L2,6,-0.006101966916533652,14800
development_main,shape_pr,L2,8,0.011728782596984084,13666
development_main,shape_pr,L2,10,-0.06639725275863585,10516
development_main,shape_pr,L2,12,-0.015311691643138097,8342
development_main,shape_pr,L2,14,0.016775928261417408,4808
development_main,shape_pr,L2,16,0.10401039441539796,3554
development_main,shape_pr,L2,18,0.03639530248256925,3059
development_main,shape_pr,L2,20,-0.08558964862740173,2776
development_main,shape_pr,L2,24,-0.11627610500595272,1312
development_main,shape_pr,L2,28,0.20741881244885454,671
development_main,shape_pr,L2,32,0.21146300301631782,515
development_main,shape_erank,L2,4,-0.13676738117107562,14800
development_main,shape_erank,L2,6,-0.022459807227081036,14800
development_main,shape_erank,L2,8,-0.03811393911600658,13666
development_main,shape_erank,L2,10,-0.10157675331457769,10516
development_main,shape_erank,L2,12,-0.05893449374458669,8342
development_main,shape_erank,L2,14,-0.021376234181931398,4808
development_main,shape_erank,L2,16,0.06011876636809878,3554
development_main,shape_erank,L2,18,0.009853714889458376,3059
development_main,shape_erank,L2,20,-0.1337869783244032,2776
development_main,shape_erank,L2,24,-0.1264335849580354,1312
development_main,shape_erank,L2,28,0.19637591960219217,671
development_main,shape_erank,L2,32,0.12499766008691614,515
development_main,lam1_share,L5,4,0.09291305744262861,14800
development_main,lam1_share,L5,6,0.1324360184098973,14800
development_main,lam1_share,L5,8,0.13770039367579062,13666
development_main,lam1_share,L5,10,0.29207125673079815,10516
development_main,lam1_share,L5,12,0.2591832204015404,8342
development_main,lam1_share,L5,14,0.3094845158896595,4808
development_main,lam1_share,L5,16,0.27824683149799995,3554
development_main,lam1_share,L5,18,0.4224273000379215,3059
development_main,lam1_share,L5,20,0.29569118253801585,2776
development_main,lam1_share,L5,24,0.43843373263726715,1312
development_main,lam1_share,L5,28,0.5293045555348439,671
development_main,lam1_share,L5,32,0.46242913457985024,515
development_main,bandedness,L5,4,-0.15649260861835299,14800
development_main,bandedness,L5,6,-0.11670042839666128,14800
development_main,bandedness,L5,8,-0.3086503210747903,13666
development_main,bandedness,L5,10,-0.02607705168015343,10516
development_main,bandedness,L5,12,-0.18650133657944507,8342
development_main,bandedness,L5,14,-0.26033318212037554,4808
development_main,bandedness,L5,16,-0.20196053591939675,3554
development_main,bandedness,L5,18,-0.25731133525646216,3059
development_main,bandedness,L5,20,-0.19182154516694594,2776
development_main,bandedness,L5,24,0.04920453499703293,1312
development_main,bandedness,L5,28,-0.36936630604624293,671
development_main,bandedness,L5,32,-0.498261524307431,515
development_main,procrustes_layer,L15,4,0.09011523753970088,14800
development_main,procrustes_layer,L15,6,0.07475891656755289,14800
development_main,procrustes_layer,L15,8,0.1889847250701075,13666
development_main,procrustes_layer,L15,10,0.029326744895454,10516
development_main,procrustes_layer,L15,12,0.09248170211323732,8342
development_main,procrustes_layer,L15,14,0.11876285962347413,4808
development_main,procrustes_layer,L15,16,0.0033298878556473756,3554
development_main,procrustes_layer,L15,18,0.012149337582291095,3059
