model,initial_states,mse_task_macro,mse_task_min,mse_task_max
task_mean,80,0.045385416666666664,0.0,0.15512152777777777
geometry,80,0.0503750885633941,0.0,0.17566073696523266
moe_single,80,0.04713054528859423,0.0,0.15163277439563164
moe_cloud,80,0.048711186078489024,0.0,0.15888992623403575
action_cloud,80,0.04932434144765612,0.0,0.16350119933219548
geometry_action,80,0.05072695415454718,0.0,0.16643715903342793
geometry_moe,80,0.05823266830060989,0.0,0.2011550495272299
geometry_action_moe,80,0.05371833570176554,0.0,0.16376816449771459
