task,short_task,init_state_id,feature_rollouts,target_rollouts,failure_rate,feature_half_failure_rate,all32_failure_rate,canonical_seed
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,0,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,3,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,7,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,10,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,13,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,16,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,20,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,23,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,26,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,29,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,33,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,36,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,39,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,42,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,46,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_middle_drawer_of_the_cabinet,middle_drawer,49,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,0,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,3,16,16,0.0,0.0625,0.03125,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,7,16,16,0.125,0.125,0.125,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,10,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,13,16,16,0.0625,0.0,0.03125,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,16,16,16,0.875,0.8125,0.84375,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,20,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,23,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,26,16,16,0.0625,0.125,0.09375,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,29,16,16,0.0625,0.25,0.15625,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,33,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,36,16,16,0.0625,0.0,0.03125,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,39,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,42,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,46,16,16,0.0,0.0,0.0,1000
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,top_drawer_then_bowl,49,16,16,0.0,0.0,0.0,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,0,16,16,0.5625,0.5625,0.5625,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,3,16,16,0.875,0.8125,0.84375,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,7,16,16,0.0,0.1875,0.09375,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,10,16,16,0.75,0.6875,0.71875,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,13,16,16,0.6875,0.75,0.71875,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,16,16,16,0.0625,0.1875,0.125,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,20,16,16,0.3125,0.25,0.28125,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,23,16,16,0.125,0.0625,0.09375,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,26,16,16,0.75,0.6875,0.71875,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,29,16,16,0.125,0.125,0.125,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,33,16,16,0.0,0.0,0.0,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,36,16,16,0.0,0.0,0.0,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,39,16,16,0.9375,0.8125,0.875,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,42,16,16,0.625,0.5,0.5625,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,46,16,16,0.0,0.0625,0.03125,1000
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,two_moka_pots,49,16,16,1.0,1.0,1.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,0,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,3,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,7,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,10,16,16,0.0625,0.0,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,13,16,16,0.0625,0.0,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,16,16,16,0.125,0.0,0.0625,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,20,16,16,0.0,0.0625,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,23,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,26,16,16,0.0,0.0625,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,29,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,33,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,36,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,39,16,16,0.0,0.0625,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,42,16,16,0.0625,0.0,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,46,16,16,0.0625,0.1875,0.125,1000
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_from_ramekin,49,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,0,16,16,0.0625,0.0,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,3,16,16,0.0625,0.0,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,7,16,16,0.0,0.0625,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,10,16,16,0.0625,0.0625,0.0625,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,13,16,16,0.0,0.125,0.0625,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,16,16,16,0.0,0.0,0.0,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,20,16,16,0.125,0.3125,0.21875,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,23,16,16,0.0625,0.0625,0.0625,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,26,16,16,0.0,0.0625,0.03125,1000
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_from_stove,29,16,16,0.125,0.0,0.0625,1000
