quantity,frame,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
mobility,adjacent_query,L3,high,0.99,global,3,12,0.006160164271047228,0.0008383986585621463,0.2,1,12,0.07692307692307693,0.3333333333333333,0.16999579263657294,1.1764997056578443
mobility,adjacent_query,L3,high,0.995,per_task,10,0,0.02053388090349076,0.0,1.0,5,0,1.0,0.5,0.5530673629400169,1.8080980130235154
mobility,adjacent_query,L3,high,0.995,global,3,1,0.006160164271047228,6.986655488017886e-05,0.75,1,1,0.5,0.3333333333333333,0.49622669587309065,1.5114059889107851
mobility,adjacent_query,L4,low,0.5,per_task,260,139,0.5338809034907598,0.009711451128344862,0.6516290726817042,43,121,0.2621951219512195,0.16538461538461538,0.508982571180901,1.2802581258722596
mobility,adjacent_query,L4,low,0.5,global,324,2186,0.6652977412731006,0.15272828896807097,0.12908366533864543,202,2139,0.08628791114908159,0.6234567901234568,0.09862026539168932,1.3088959437085763
mobility,adjacent_query,L4,low,0.6,per_task,243,90,0.4989733059548255,0.006287989939216097,0.7297297297297297,35,74,0.3211009174311927,0.1440329218106996,0.5747356807912831,1.2696788351909076
mobility,adjacent_query,L4,low,0.6,global,310,1987,0.6365503080082136,0.1388248445469154,0.1349586417065738,164,1889,0.07988309790550414,0.5290322580645161,0.11507500003734307,1.1727885436695917
mobility,adjacent_query,L4,low,0.7,per_task,232,54,0.47638603696098564,0.0037727939635296584,0.8111888111888111,28,42,0.4,0.1206896551724138,0.64504087196297,1.2575773822211056
mobility,adjacent_query,L4,low,0.7,global,294,1740,0.6036960985626283,0.12156780549151121,0.14454277286135694,119,1595,0.06942823803967328,0.40476190476190477,0.13167297366387848,1.09774062846284
mobility,adjacent_query,L4,low,0.75,per_task,227,39,0.46611909650924027,0.0027247956403269754,0.8533834586466166,28,28,0.5,0.12334801762114538,0.6759341795338075,1.262524494966649
mobility,adjacent_query,L4,low,0.75,global,274,1580,0.5626283367556468,0.1103891567106826,0.14778856526429343,85,1457,0.05512321660181582,0.3102189781021898,0.1396979835765404,1.0579148065034183
mobility,adjacent_query,L4,low,0.8,per_task,216,32,0.44353182751540043,0.0022357297561657235,0.8709677419354839,28,22,0.56,0.12962962962962962,0.6868588936712262,1.2680446449200142
mobility,adjacent_query,L4,low,0.8,global,250,1332,0.5133470225872689,0.09306225110039824,0.15802781289506954,52,1265,0.039483675018982534,0.208,0.15247794013111549,1.0363978734181596
mobility,adjacent_query,L4,low,0.85,per_task,195,23,0.4004106776180698,0.0016069307622441137,0.8944954128440367,28,14,0.6666666666666666,0.14358974358974358,0.7077856099076633,1.2637942907044004
mobility,adjacent_query,L4,low,0.85,global,147,980,0.30184804928131415,0.06846922378257528,0.13043478260869565,30,966,0.030120481927710843,0.20408163265306123,0.1415670214774166,0.9213641796476109
mobility,adjacent_query,L4,low,0.9,per_task,179,14,0.3675564681724846,0.000978131768322504,0.927461139896373,25,7,0.78125,0.13966480446927373,0.7335189764702157,1.2643996537886875
mobility,adjacent_query,L4,low,0.9,global,75,600,0.1540041067761807,0.04191993292810731,0.1111111111111111,14,596,0.022950819672131147,0.18666666666666668,0.12287563106156262,0.9042566874423025
mobility,adjacent_query,L4,low,0.925,per_task,167,10,0.34291581108829566,0.0006986655488017886,0.943502824858757,24,3,0.8888888888888888,0.1437125748502994,0.7428049224694285,1.27018924662227
mobility,adjacent_query,L4,low,0.925,global,60,366,0.12320328542094455,0.025571159086145462,0.14084507042253522,11,364,0.029333333333333333,0.18333333333333332,0.14444897025363193,0.975050705970636
mobility,adjacent_query,L4,low,0.95,per_task,138,7,0.28336755646817247,0.000489065884161252,0.9517241379310345,23,1,0.9583333333333334,0.16666666666666666,0.7215458518077335,1.3190071504764682
mobility,adjacent_query,L4,low,0.95,global,36,32,0.07392197125256673,0.0022357297561657235,0.5294117647058824,2,32,0.058823529411764705,0.05555555555555555,0.45249819486542026,1.1699754180529656
mobility,adjacent_query,L4,low,0.96,per_task,126,4,0.2587268993839836,0.00027946621952071543,0.9692307692307692,23,0,1.0,0.18253968253968253,0.7193402860813791,1.3473884168377022
mobility,adjacent_query,L4,low,0.96,global,27,11,0.055441478439425054,0.0007685321036819675,0.7105263157894737,1,11,0.08333333333333333,0.037037037037037035,0.5853899926438786,1.2137657368900763
mobility,adjacent_query,L4,low,0.975,per_task,102,3,0.20944558521560575,0.00020959966464053657,0.9714285714285714,9,0,1.0,0.08823529411764706,0.7587066992192141,1.280374316489191
mobility,adjacent_query,L4,low,0.975,global,14,2,0.028747433264887063,0.00013973310976035772,0.875,1,2,0.3333333333333333,0.07142857142857142,0.6391359340867147,1.3690358393794904
mobility,adjacent_query,L4,low,0.98,per_task,82,1,0.16837782340862423,6.986655488017886e-05,0.9879518072289156,9,0,1.0,0.10975609756097561,0.7633567057218944,1.2942203819309155
mobility,adjacent_query,L4,low,0.98,global,12,1,0.024640657084188913,6.986655488017886e-05,0.9230769230769231,1,1,0.5,0.08333333333333333,0.6462052810727786,1.4284577209652392
mobility,adjacent_query,L4,low,0.99,per_task,42,1,0.08624229979466119,6.986655488017886e-05,0.9767441860465116,7,0,1.0,0.16666666666666666,0.7207085173444666,1.355255505575871
mobility,adjacent_query,L4,low,0.99,global,7,0,0.014373716632443531,0.0,1.0,1,0,1.0,0.14285714285714285,0.6704390185602931,1.4915599664044155
mobility,adjacent_query,L4,low,0.995,per_task,23,1,0.04722792607802875,6.986655488017886e-05,0.9583333333333334,3,0,1.0,0.13043478260869565,0.7239190438944042,1.3238128509202784
mobility,adjacent_query,L4,low,0.995,global,6,0,0.012320328542094456,0.0,1.0,1,0,1.0,0.16666666666666666,0.7485750015418072,1.3358714864113064
mobility,adjacent_query,L4,high,0.5,per_task,62,380,0.1273100616016427,0.026549290854467965,0.14027149321266968,40,372,0.0970873786407767,0.6451612903225806,0.07017836210423883,1.9987855089054176
mobility,adjacent_query,L4,high,0.5,global,146,4162,0.2997946611909651,0.2907846014113044,0.033890436397400185,133,4155,0.03101679104477612,0.910958904109589,0.034721213608413404,0.9760729212871778
mobility,adjacent_query,L4,high,0.6,per_task,55,282,0.11293634496919917,0.019702368476210437,0.1632047477744807,34,275,0.11003236245954692,0.6181818181818182,0.08090091478944662,2.017341190754625
mobility,adjacent_query,L4,high,0.6,global,120,3537,0.2464065708418891,0.24711800461119263,0.03281378178835111,107,3535,0.029379461834157055,0.8916666666666667,0.03557794805350871,0.9223067541444397
mobility,adjacent_query,L4,high,0.7,per_task,45,214,0.09240246406570841,0.014951442744358275,0.17374517374517376,28,206,0.11965811965811966,0.6222222222222222,0.09107002533768747,1.9078195388760133
mobility,adjacent_query,L4,high,0.7,global,94,2379,0.19301848049281314,0.16621253405994552,0.03801051354630004,78,2378,0.03175895765472313,0.8297872340425532,0.03746556234733825,1.0145453895475964
mobility,adjacent_query,L4,high,0.75,per_task,38,182,0.07802874743326489,0.012715712988192553,0.17272727272727273,22,176,0.1111111111111111,0.5789473684210527,0.10178426086436206,1.6969939287317664
