suite,horizon,chunk,alarms,true,false,precision
libero_goal,30,13,2,2,0,1.0
libero_goal,30,14,8,8,0,1.0
libero_goal,30,15,6,6,0,1.0
libero_goal,30,16,1,1,0,1.0
libero_goal,30,17,1,1,0,1.0
libero_goal,30,19,1,1,0,1.0
libero_goal,30,20,1,1,0,1.0
libero_goal,30,21,2,2,0,1.0
libero_goal,30,22,4,4,0,1.0
libero_goal,30,23,8,8,0,1.0
libero_goal,30,24,15,15,0,1.0
libero_goal,30,25,13,12,1,0.9230769230769231
libero_goal,30,26,2,2,0,1.0
libero_goal,30,28,3,3,0,1.0
libero_goal,30,29,7,7,0,1.0
libero_long,52,7,1,0,1,0.0
libero_long,52,8,7,7,0,1.0
libero_long,52,9,3,3,0,1.0
libero_long,52,10,4,4,0,1.0
libero_long,52,11,3,3,0,1.0
libero_long,52,12,1,1,0,1.0
libero_long,52,14,4,3,1,0.75
libero_long,52,15,4,4,0,1.0
libero_long,52,16,5,2,3,0.4
libero_long,52,17,1,0,1,0.0
libero_long,52,18,1,0,1,0.0
libero_long,52,19,8,0,8,0.0
libero_long,52,20,4,0,4,0.0
libero_long,52,21,5,0,5,0.0
libero_long,52,22,7,0,7,0.0
libero_long,52,23,5,1,4,0.2
libero_long,52,24,7,2,5,0.2857142857142857
libero_long,52,25,8,6,2,0.75
libero_long,52,26,9,6,3,0.6666666666666666
libero_long,52,27,4,3,1,0.75
libero_long,52,28,6,4,2,0.6666666666666666
libero_long,52,29,6,6,0,1.0
libero_long,52,30,23,20,3,0.8695652173913043
libero_long,52,31,35,28,7,0.8
libero_long,52,32,36,33,3,0.9166666666666666
libero_long,52,33,24,23,1,0.9583333333333334
libero_long,52,34,12,11,1,0.9166666666666666
libero_long,52,35,12,11,1,0.9166666666666666
libero_long,52,36,9,8,1,0.8888888888888888
libero_long,52,37,2,1,1,0.5
libero_long,52,38,4,3,1,0.75
libero_long,52,39,9,7,2,0.7777777777777778
libero_long,52,40,7,7,0,1.0
libero_long,52,41,4,4,0,1.0
libero_long,52,42,6,6,0,1.0
libero_long,52,43,4,4,0,1.0
libero_long,52,44,4,4,0,1.0
libero_long,52,45,1,1,0,1.0
libero_long,52,46,2,2,0,1.0
libero_long,52,47,3,3,0,1.0
libero_long,52,48,3,3,0,1.0
libero_long,52,49,1,1,0,1.0
libero_long,52,50,1,1,0,1.0
libero_object,28,12,1,0,1,0.0
libero_object,28,13,1,0,1,0.0
libero_object,28,14,1,1,0,1.0
libero_object,28,15,2,2,0,1.0
libero_object,28,17,3,2,1,0.6666666666666666
libero_object,28,18,3,1,2,0.3333333333333333
libero_object,28,19,2,2,0,1.0
libero_object,28,20,2,1,1,0.5
libero_object,28,21,5,5,0,1.0
libero_object,28,22,3,2,1,0.6666666666666666
libero_object,28,23,1,1,0,1.0
libero_object,28,24,1,1,0,1.0
libero_object,28,25,1,1,0,1.0
libero_object,28,26,3,3,0,1.0
libero_spatial,22,14,2,1,1,0.5
libero_spatial,22,15,2,2,0,1.0
libero_spatial,22,16,9,9,0,1.0
libero_spatial,22,17,11,10,1,0.9090909090909091
libero_spatial,22,18,11,10,1,0.9090909090909091
libero_spatial,22,19,30,30,0,1.0
libero_spatial,22,20,24,24,0,1.0
libero_spatial,22,21,22,22,0,1.0
