suite,kind,count,10%,25%,50%,75%,90%
libero_goal,false,1.0,25.0,25.0,25.0,25.0,25.0
libero_goal,true,73.0,14.0,19.0,24.0,25.0,28.0
libero_long,false,69.0,18.8,20.0,23.0,31.0,33.2
libero_long,true,236.0,15.0,30.0,32.0,35.0,42.0
libero_object,false,7.0,12.6,15.0,18.0,19.0,20.8
libero_object,true,22.0,15.2,18.2,21.0,22.8,25.9
libero_spatial,false,3.0,14.6,15.5,17.0,17.5,17.8
libero_spatial,true,108.0,16.0,18.0,19.0,20.0,21.0
