cohort,method,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,tp_with_four_later_queries,median_first_tp,median_first_fp
primary_plus,c32_assigned_radius,630,204,426,181,46,23,380,0.8872549019607843,0.107981220657277,0.7973568281938326,175,29.0,20.5
primary_plus,c32_union_radius,630,204,426,181,35,23,391,0.8872549019607843,0.08215962441314555,0.8379629629629629,175,28.0,20.0
primary_plus,norm_only,630,204,426,147,15,57,411,0.7205882352941176,0.035211267605633804,0.9074074074074074,138,29.0,19.0
primary_plus,cosine_knn20,630,204,426,3,4,201,422,0.014705882352941176,0.009389671361502348,0.42857142857142855,3,23.0,10.0
primary_plus,knn_euclidean_OR_cosine,630,204,426,192,62,12,364,0.9411764705882353,0.14553990610328638,0.7559055118110236,188,26.5,23.0
primary_plus,knn_euclidean_AND_cosine_latched,630,204,426,3,0,201,426,0.014705882352941176,0.0,1.0,3,30.0,
all_pro,v7_frozen,200,123,77,92,1,31,76,0.7479674796747967,0.012987012987012988,0.989247311827957,90,30.5,39.0
all_pro,v8_frozen,200,123,77,96,1,27,76,0.7804878048780488,0.012987012987012988,0.9896907216494846,94,31.0,39.0
all_pro,v82_frozen,200,123,77,110,1,13,76,0.8943089430894309,0.012987012987012988,0.990990990990991,109,30.0,39.0
all_pro,knn20,200,123,77,121,6,2,71,0.983739837398374,0.07792207792207792,0.952755905511811,121,25.0,22.0
all_pro,c4_assigned_radius,200,123,77,120,8,3,69,0.975609756097561,0.1038961038961039,0.9375,120,23.5,21.0
all_pro,c32_assigned_radius,200,123,77,119,3,4,74,0.967479674796748,0.03896103896103896,0.9754098360655737,118,28.0,21.0
all_pro,c32_union_radius,200,123,77,120,2,3,75,0.975609756097561,0.025974025974025976,0.9836065573770492,119,29.0,20.0
all_pro,norm_only,200,123,77,108,3,15,74,0.8780487804878049,0.03896103896103896,0.972972972972973,106,29.0,26.0
all_pro,cosine_knn20,200,123,77,1,1,122,76,0.008130081300813009,0.012987012987012988,0.5,1,11.0,7.0
all_pro,knn_euclidean_OR_cosine,200,123,77,121,7,2,70,0.983739837398374,0.09090909090909091,0.9453125,121,25.0,19.0
all_pro,knn_euclidean_AND_cosine_latched,200,123,77,1,0,122,77,0.008130081300813009,0.0,1.0,1,24.0,
primary_pro,v7_frozen,180,122,58,91,1,31,57,0.7459016393442623,0.017241379310344827,0.9891304347826086,89,30.0,39.0
primary_pro,v8_frozen,180,122,58,95,1,27,57,0.7786885245901639,0.017241379310344827,0.9895833333333334,93,31.0,39.0
primary_pro,v82_frozen,180,122,58,109,1,13,57,0.8934426229508197,0.017241379310344827,0.990909090909091,108,30.0,39.0
primary_pro,knn20,180,122,58,120,5,2,53,0.9836065573770492,0.08620689655172414,0.96,120,25.0,25.0
primary_pro,c4_assigned_radius,180,122,58,119,7,3,51,0.9754098360655737,0.1206896551724138,0.9444444444444444,119,23.0,25.0
primary_pro,c32_assigned_radius,180,122,58,118,2,4,56,0.9672131147540983,0.034482758620689655,0.9833333333333333,117,28.0,23.5
primary_pro,c32_union_radius,180,122,58,119,1,3,57,0.9754098360655737,0.017241379310344827,0.9916666666666667,118,29.0,26.0
primary_pro,norm_only,180,122,58,107,3,15,55,0.8770491803278688,0.05172413793103448,0.9727272727272728,105,29.0,26.0
primary_pro,cosine_knn20,180,122,58,1,0,121,58,0.00819672131147541,0.0,1.0,1,11.0,
primary_pro,knn_euclidean_OR_cosine,180,122,58,120,5,2,53,0.9836065573770492,0.08620689655172414,0.96,120,25.0,25.0
primary_pro,knn_euclidean_AND_cosine_latched,180,122,58,1,0,121,58,0.00819672131147541,0.0,1.0,1,24.0,
