evidence_step,authority_steps,gate_close_count,gate_open_count,reached_query,min_horizontal_m,closures,closed_fully,closed_holding,lifted,success,stage,kind,main_id,failed,base_task,arm,timing,replicate,physical_class,target
279,21,2,0,,0.177,0,0,0,False,False,never_reached,fork,d9bd4d12d8cbd5d0585ff587,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full,mid,0,untouched,cream_cheese_1
269,31,2,0,,0.103,0,0,0,False,False,never_reached,fork,d9bd4d12d8cbd5d0585ff587,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full,mid,1,untouched,cream_cheese_1
159,71,3,0,63,0.011,0,0,0,False,False,reached_never_closed,fork,d9bd4d12d8cbd5d0585ff587,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full,late,0,untouched,cream_cheese_1
159,71,2,0,63,0.007,0,0,0,False,False,reached_never_closed,fork,d9bd4d12d8cbd5d0585ff587,True,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,shared_full,late,1,untouched,cream_cheese_1
19,124,4,0,31,0.006,2,0,2,False,False,closed_not_lifted,fork,e831f1facba2b32dc0dcaed1,True,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,shared_full,mid,0,displaced_reachable,porcelain_mug_1
0,185,5,0,29,0.003,1,0,1,False,False,closed_not_lifted,fork,e831f1facba2b32dc0dcaed1,True,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,shared_full,mid,1,displaced_reachable,porcelain_mug_1
9,125,5,0,46,0.001,1,1,0,False,False,closed_missed,fork,e831f1facba2b32dc0dcaed1,True,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,shared_full,late,0,displaced_reachable,porcelain_mug_1
8,126,6,0,46,0.002,1,0,1,True,False,lifted_not_placed,fork,e831f1facba2b32dc0dcaed1,True,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,shared_full,late,1,displaced_reachable,porcelain_mug_1
0,97,30,0,32,0.008,1,1,0,True,False,lifted_not_placed,fork,d4319f25106583f3d9750737,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,mid,0,untouched,white_yellow_mug_1
0,93,30,0,32,0.009,1,0,1,True,False,lifted_not_placed,fork,d4319f25106583f3d9750737,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,mid,1,untouched,white_yellow_mug_1
0,248,54,0,61,0.003,1,1,0,True,False,lifted_not_placed,fork,d4319f25106583f3d9750737,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,late,0,untouched,white_yellow_mug_1
0,255,61,0,71,0.036,1,1,0,False,False,closed_missed,fork,d4319f25106583f3d9750737,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,late,1,untouched,white_yellow_mug_1
0,127,7,0,29,0.002,0,0,0,False,False,reached_never_closed,fork,dc023fc9af087d13686f6930,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,mid,0,dropped_or_tipped,black_book_1
0,66,6,0,29,0.002,0,0,0,False,False,reached_never_closed,fork,dc023fc9af087d13686f6930,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,mid,1,dropped_or_tipped,black_book_1
10,61,1,0,46,0.006,0,0,0,False,False,reached_never_closed,fork,dc023fc9af087d13686f6930,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,late,0,dropped_or_tipped,black_book_1
10,61,1,0,46,0.004,1,1,0,False,False,closed_missed,fork,dc023fc9af087d13686f6930,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,late,1,dropped_or_tipped,black_book_1
5,122,2,0,14,0.0,0,0,0,False,False,reached_never_closed,fork,e12434af1be4ebdd228100a5,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,mid,0,dropped_or_tipped,black_book_1
4,123,3,0,14,0.0,0,0,0,False,False,reached_never_closed,fork,e12434af1be4ebdd228100a5,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,mid,1,dropped_or_tipped,black_book_1
39,61,1,0,44,0.002,0,0,0,False,False,reached_never_closed,fork,e12434af1be4ebdd228100a5,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,late,0,dropped_or_tipped,black_book_1
26,61,1,0,44,0.001,0,0,0,False,False,reached_never_closed,fork,e12434af1be4ebdd228100a5,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,late,1,dropped_or_tipped,black_book_1
,0,0,0,,0.059,0,0,0,False,False,no_evidence,fork,e12434af1be4ebdd228100a5,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,early,0,dropped_or_tipped,black_book_1
50,61,1,0,55,0.002,0,0,0,False,False,reached_never_closed,fork,e12434af1be4ebdd228100a5,True,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,shared_full,early,1,dropped_or_tipped,black_book_1
