evidence_step,authority_steps,gate_close_count,gate_open_count,reached_query,min_horizontal_m,closures,closed_fully,closed_holding,lifted,success,stage,kind,main_id,failed,base_task,arm,timing,replicate,physical_class,target
115,45,1,0,38,0.01,0,0,0,False,False,reached_never_closed,fork,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,untouched,moka_pot_1
110,40,3,0,,0.067,0,0,0,False,False,never_reached,fork,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,untouched,moka_pot_1
,0,0,0,48,0.048,1,0,1,True,True,success,fork,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,0,untouched,moka_pot_1
,0,0,10,48,0.049,1,0,1,True,True,success,fork,0090f12ce80992adbd8f4613,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,1,untouched,moka_pot_1
125,123,3,0,42,0.015,1,1,0,False,False,closed_missed,fork,2ee5fa30529f832851a07198,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,untouched,moka_pot_1
110,124,4,0,42,0.018,1,0,1,False,False,closed_not_lifted,fork,2ee5fa30529f832851a07198,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,untouched,moka_pot_1
33,124,4,0,44,0.002,4,2,2,False,False,closed_not_lifted,fork,2ee5fa30529f832851a07198,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,0,untouched,moka_pot_1
27,123,3,0,44,0.001,4,2,2,False,False,closed_not_lifted,fork,2ee5fa30529f832851a07198,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,1,untouched,moka_pot_1
,0,0,0,,0.072,0,0,0,False,False,no_evidence,fork,75a8280295c26427df1d6f27,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,displaced_reachable,moka_pot_1
,0,0,0,60,0.069,0,0,0,False,False,no_evidence,fork,75a8280295c26427df1d6f27,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,displaced_reachable,moka_pot_1
102,164,5,0,50,0.016,1,1,0,False,False,closed_missed,fork,75a8280295c26427df1d6f27,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,0,untouched,moka_pot_1
101,150,5,0,51,0.011,1,1,0,False,False,closed_missed,fork,75a8280295c26427df1d6f27,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,1,untouched,moka_pot_1
0,58,7,21,21,0.041,1,0,1,True,False,lifted_not_placed,fork,41a51d866c05253cf3b29dfd,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,untouched,moka_pot_1
0,60,6,8,21,0.039,1,0,1,True,False,lifted_not_placed,fork,41a51d866c05253cf3b29dfd,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,untouched,moka_pot_1
0,98,7,1,46,0.014,1,0,1,True,False,lifted_not_placed,fork,41a51d866c05253cf3b29dfd,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,0,untouched,moka_pot_1
0,66,6,0,47,0.013,2,0,2,False,False,closed_not_lifted,fork,41a51d866c05253cf3b29dfd,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,1,untouched,moka_pot_1
,0,0,0,58,0.058,0,0,0,False,False,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,untouched,moka_pot_1
,0,0,0,56,0.053,0,0,0,False,False,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,untouched,moka_pot_1
,0,0,0,55,0.038,0,0,0,False,False,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,0,untouched,moka_pot_1
,0,0,0,54,0.029,0,0,0,False,False,no_evidence,fork,60d419e1f2f8d2ca59422be8,True,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,late,1,untouched,moka_pot_1
141,124,4,0,30,0.014,1,1,0,False,False,closed_missed,fork,8a7cb159fe6112c33d5c9160,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,0,untouched,moka_pot_1
,0,0,2,28,0.051,1,0,1,True,True,success,fork,8a7cb159fe6112c33d5c9160,False,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,shared_full,mid,1,untouched,moka_pot_1
114,122,5,0,14,0.003,3,2,1,True,False,lifted_not_placed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,0,displaced_reachable,alphabet_soup_1
126,145,7,0,14,0.006,3,1,2,True,False,lifted_not_placed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,1,displaced_reachable,alphabet_soup_1
,0,0,0,,0.371,0,0,0,False,False,no_evidence,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,0,displaced_reachable,alphabet_soup_1
,0,0,0,,0.37,0,0,0,False,False,no_evidence,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,1,displaced_reachable,alphabet_soup_1
0,201,7,0,28,0.006,4,4,0,False,False,closed_missed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,early,0,displaced_reachable,alphabet_soup_1
0,197,8,0,28,0.007,5,5,0,False,False,closed_missed,fork,46aa17bd0b8c72762ca30603,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,early,1,displaced_reachable,alphabet_soup_1
0,67,7,0,27,0.005,1,0,1,True,False,lifted_not_placed,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,0,dropped_or_tipped,alphabet_soup_1
0,108,9,0,27,0.002,1,0,1,True,False,lifted_not_placed,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,mid,1,dropped_or_tipped,alphabet_soup_1
257,43,6,0,,0.088,0,0,0,False,False,never_reached,fork,64f84f7361cd2d37d96f5271,True,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,shared_full,late,0,dropped_or_tipped,alphabet_soup_1
