suite,chunk,prior,n_risk,freeze,freeze_observed,freeze_expected,circling,circling_observed,circling_expected,window,layer_group
libero_goal,2,0.0255,102,0.574671974052779,18.0,31.322216521292972,,0.0,0.0,2,all
libero_goal,3,0.0255,102,1.5486950487957738,71.0,45.8450487429451,0.0,0.0,0.23550538737814264,2,all
libero_goal,4,0.0255,102,1.7411007646301766,59.0,33.8866085171883,1.0190849673202615,22.0,21.587993842996408,2,all
libero_goal,5,0.0255,102,0.512532255148497,16.0,31.217547460236016,0.6580806984540434,28.0,42.547973319651106,2,all
libero_goal,6,0.0255,102,0.8553197465199149,25.0,29.228835300153925,0.5935530723639515,13.0,21.902001026167266,2,all
libero_goal,7,0.026295436968290797,102,1.2992776057791537,44.0,33.86497220015886,2.54047939342057,33.0,12.989674344718031,2,all
libero_goal,8,0.03192488262910798,102,0.2802544307926498,10.0,35.68186226964112,0.9588467798186467,16.0,16.68671193016489,2,all
libero_goal,9,0.05032067094227923,102,0.6402641832177136,21.0,32.79896103896104,1.70772485328238,39.0,22.837402597402598,2,all
libero_goal,10,0.061224489795918366,102,0.3971223021582734,18.0,45.32608695652174,3.9148936170212765,24.0,6.130434782608695,2,all
libero_goal,11,0.061893203883495146,102,1.2365738836327074,35.0,28.304010349288482,3.6585530764029754,7.0,1.9133247089262613,2,all
libero_goal,12,0.07428987618353969,102,2.113232427473913,58.0,27.446105428796226,2.4631782945736433,17.0,6.901652242328875,2,all
libero_goal,13,0.1259259259259259,102,0.851985559566787,34.0,39.90677966101695,3.362132352941176,31.0,9.220338983050848,2,all
libero_goal,14,0.17435897435897435,102,1.4295227524972252,32.0,22.385093167701864,1.2914438502673797,12.0,9.291925465838508,2,all
libero_goal,15,0.20278330019880716,102,2.948529411764706,24.0,8.139650872817954,3.931372549019608,11.0,2.798004987531172,2,all
libero_goal,16,0.21074380165289255,102,7.989542483660131,32.0,4.005235602094241,5.243137254901962,14.0,2.670157068062827,2,all
libero_goal,17,0.2222222222222222,102,0.8888888888888888,16.0,18.0,1.364406779661017,23.0,16.857142857142858,2,all
libero_goal,18,0.3388704318936877,102,0.9181084198385236,24.0,26.14070351758794,1.7375919117647058,57.0,32.80402010050251,2,all
libero_goal,19,0.5930232558139535,102,0.7116920842411039,28.0,39.34285714285714,0.7918552036199095,30.0,37.885714285714286,2,all
libero_goal,20,0.7906976744186046,102,1.535294117647059,29.0,18.88888888888889,0.8823529411764707,10.0,11.333333333333332,2,all
libero_goal,21,0.864406779661017,102,1.4640522875816995,28.0,19.125,1.2549019607843137,8.0,6.375,2,all
libero_goal,22,0.9107142857142857,102,3.039215686274509,31.0,10.200000000000001,,7.0,0.0,2,all
libero_goal,23,0.9532710280373832,102,1.7156862745098038,35.0,20.400000000000002,,9.0,0.0,2,all
libero_goal,24,0.9532710280373832,102,2.205882352941176,45.0,20.400000000000002,0.2941176470588235,6.0,20.400000000000002,2,all
libero_long,2,0.07928571428571428,222,1.3419019019019018,104.0,77.50193948797518,0.6654792328144763,20.0,30.05352986811482,2,all
libero_long,3,0.07928571428571428,222,0.6775592448201849,36.0,53.13188518231187,0.35189735189735194,1.0,2.8417377812257563,2,all
libero_long,4,0.07928571428571428,222,0.49626549626549626,35.0,70.52676493405741,0.5627257213160297,11.0,19.547711404189293,2,all
libero_long,5,0.07928571428571428,222,1.4984016274338854,40.0,26.69511249030256,1.019488624426896,64.0,62.776570985259895,2,all
libero_long,6,0.07928571428571428,222,0.5649379108838568,9.0,15.930954228083786,0.4304953702544064,40.0,92.91621411947246,2,all
libero_long,7,0.07928571428571428,222,0.6079901891420215,10.0,16.447633824670287,0.18091704167653533,16.0,88.43832428238946,2,all
libero_long,8,0.07928571428571428,222,0.7860845460845461,22.0,27.986811481768815,0.19861937193750195,15.0,75.52133436772692,2,all
libero_long,9,0.07928571428571428,222,3.302669642119183,62.0,18.772692009309544,0.20938136472117053,13.0,62.08766485647789,2,all
