stored_layer_index,model_layer,layer_group,selected_expert,prob_expert_0,prob_expert_1,prob_expert_2,failed_episode_max_probability_span,whole_corpus_max_probability_span,whole_corpus_selected_experts
0,0,front,2,0.2197265625,0.248046875,0.5322265625,0.0,0.0,2
1,1,front,0,0.333251953125,0.333251953125,0.333251953125,0.0,0.0,0
2,16,back,0,0.381591796875,0.334228515625,0.2841796875,0.0,0.0,0
3,17,back,1,0.2379150390625,0.46044921875,0.3017578125,0.0,0.0,1
