layer_group,flow_step,action_token_position,failed_to_success_center_h
front,0,1,0.0278007835149765
front,0,2,0.02538507990539074
front,0,3,0.026949934661388397
front,0,4,0.02641882747411728
front,0,5,0.038674935698509216
front,0,6,0.03636141121387482
front,0,7,0.025271328166127205
front,0,8,0.03804987668991089
front,0,9,0.02202514186501503
front,0,10,0.03640897572040558
front,1,1,0.026659298688173294
front,1,2,0.025771355256438255
front,1,3,0.026424165815114975
front,1,4,0.026990747079253197
front,1,5,0.03860317915678024
front,1,6,0.03875013813376427
front,1,7,0.026488296687602997
front,1,8,0.03750377893447876
front,1,9,0.0227670818567276
front,1,10,0.036478593945503235
front,2,1,0.02654203213751316
front,2,2,0.02663591504096985
front,2,3,0.02688218094408512
front,2,4,0.0281778946518898
front,2,5,0.040665458887815475
front,2,6,0.0412963330745697
front,2,7,0.027016889303922653
front,2,8,0.03689137473702431
front,2,9,0.0238812118768692
front,2,10,0.03734065964818001
front,3,1,0.025603003799915314
front,3,2,0.026804842054843903
front,3,3,0.028132744133472443
front,3,4,0.029461201280355453
front,3,5,0.04201903194189072
front,3,6,0.043269284069538116
front,3,7,0.028690651059150696
front,3,8,0.03685937821865082
front,3,9,0.025251470506191254
front,3,10,0.038138024508953094
front,4,1,0.02492191456258297
front,4,2,0.02855674736201763
front,4,3,0.028717897832393646
front,4,4,0.030434416607022285
front,4,5,0.04510559141635895
front,4,6,0.04515094310045242
front,4,7,0.02994503639638424
front,4,8,0.03675724193453789
front,4,9,0.02657015435397625
front,4,10,0.03987389802932739
front,5,1,0.025337116792798042
front,5,2,0.03019111417233944
front,5,3,0.03261168301105499
front,5,4,0.031210293993353844
front,5,5,0.04833615943789482
front,5,6,0.04783240333199501
front,5,7,0.030879516154527664
front,5,8,0.03727460652589798
front,5,9,0.02910129725933075
front,5,10,0.042675361037254333
front,6,1,0.02889624610543251
front,6,2,0.03268100321292877
front,6,3,0.039975691586732864
front,6,4,0.02993154525756836
front,6,5,0.05089380964636803
front,6,6,0.04756031930446625
front,6,7,0.03299131989479065
front,6,8,0.0366457924246788
front,6,9,0.033115580677986145
front,6,10,0.04234873875975609
front,7,1,0.03917810320854187
front,7,2,0.039599690586328506
front,7,3,0.05920300632715225
front,7,4,0.029363570734858513
front,7,5,0.04925479739904404
front,7,6,0.043010152876377106
front,7,7,0.033862125128507614
front,7,8,0.03726085275411606
front,7,9,0.03862692043185234
front,7,10,0.04032575339078903
front,8,1,0.05363572761416435
front,8,2,0.053070418536663055
front,8,3,0.08295848965644836
front,8,4,0.035821665078401566
front,8,5,0.045238155871629715
front,8,6,0.034657757729291916
front,8,7,0.03207855299115181
front,8,8,0.03200654312968254
front,8,9,0.03936970978975296
front,8,10,0.036228276789188385
front,9,1,0.059004396200180054
front,9,2,0.06566178798675537
front,9,3,0.09327924251556396
front,9,4,0.03880101069808006
front,9,5,0.03630413860082626
front,9,6,0.03179384395480156
front,9,7,0.02813658118247986
front,9,8,0.02947252430021763
front,9,9,0.03214040771126747
front,9,10,0.03327568992972374
back,0,1,0.024717431515455246
back,0,2,0.025894518941640854
back,0,3,0.028715871274471283
back,0,4,0.025441637262701988
back,0,5,0.029410479590296745
back,0,6,0.022990431636571884
back,0,7,0.024747826159000397
back,0,8,0.02907009795308113
back,0,9,0.026510432362556458
back,0,10,0.03323439136147499
back,1,1,0.025846248492598534
back,1,2,0.027641408145427704
back,1,3,0.02968958020210266
back,1,4,0.02698466181755066
back,1,5,0.030826721340417862
back,1,6,0.024540985003113747
back,1,7,0.02622239850461483
back,1,8,0.029492530971765518
back,1,9,0.028238646686077118
back,1,10,0.034186951816082
back,2,1,0.02713320218026638
back,2,2,0.029348036274313927
back,2,3,0.03235092759132385
