candidate,episode_id,outcome,closure_query,stored_layer_index,model_layer,layer_group,within_flow_wj,late_flow_wj,route_acceleration,gate_entropy,top12_margin,state_action_gap,chunk_jump_full_h,chunk_jump_d9_h,event_to_success_center_h
6,100000006,failed_grasp,31,0,2,front,0.022334041073918343,0.03198044002056122,0.0119753473864383,0.9977633614940584,0.0025450780522078276,0.22818490862846375,0.04533941671252251,0.046335186809301376,0.03433807194232941
6,100000006,failed_grasp,31,1,3,front,0.02443872019648552,0.036672260612249374,0.012320552466255793,0.9958327117726966,0.0012634352315217257,0.2210412621498108,0.0432460755109787,0.05470006540417671,0.03500743582844734
6,100000006,failed_grasp,31,2,4,front,0.02386757731437683,0.03522220626473427,0.012969498029490156,0.9969687947677661,0.0018310665618628263,0.21769335865974426,0.038236699998378754,0.04842642694711685,0.03209209069609642
6,100000006,failed_grasp,31,3,5,front,0.02760818786919117,0.04303997382521629,0.015184620483389342,0.9932721859115089,0.011792485602200031,0.18647980690002441,0.04872889816761017,0.0760100707411766,0.04330183193087578
6,100000006,failed_grasp,31,4,12,back,0.018491575494408607,0.030246218666434288,0.008232515602219088,0.9974840685483632,0.003759864717721939,0.1011829599738121,0.03010425716638565,0.04593540355563164,0.03057689033448696
6,100000006,failed_grasp,31,5,13,back,0.020046161487698555,0.03421519324183464,0.009343305014346812,0.9970342857612147,0.0018677383195608854,0.11424163728952408,0.03526085615158081,0.0495942048728466,0.034683145582675934
6,100000006,failed_grasp,31,6,14,back,0.018114913254976273,0.02906811609864235,0.00878844899769048,0.9979713573120119,0.001910367631353438,0.10961859673261642,0.02661658078432083,0.04060083255171776,0.02597425878047943
6,100000006,failed_grasp,31,7,15,back,0.024333341047167778,0.040573716163635254,0.010937444363365087,0.996869271847365,0.005444196052849293,0.08239737153053284,0.040820907801389694,0.04801220819354057,0.051884327083826065
3,100000003,success,29,0,2,front,0.021283643320202827,0.028533538803458214,0.011770953610406688,0.9981288452650601,0.002029402879998088,0.21070623397827148,0.04113347455859184,0.043679822236299515,0.030845241621136665
3,100000003,success,29,1,3,front,0.023238472640514374,0.03276779130101204,0.011726436001667055,0.9969212243665375,0.001626622281037271,0.19836781919002533,0.04472469165921211,0.05618836730718613,0.027931543067097664
3,100000003,success,29,2,4,front,0.025089068338274956,0.03647305816411972,0.012924518122505921,0.9973315680921904,0.0019195489585399628,0.20572088658809662,0.040474552661180496,0.04795190691947937,0.028687894344329834
3,100000003,success,29,3,5,front,0.02537497691810131,0.03694035857915878,0.013228807832042448,0.9954005675262205,0.003149423748254776,0.21352718770503998,0.05473987013101578,0.08134134858846664,0.030429014936089516
