candidate,episode_id,outcome,closure_control_step,closure_query,closure_action_position_1based,eef_object_distance_m,aperture_before,aperture_after,subsequent_max_lift_m,lift_control_step,lift_query
6,100000006,failed_grasp,318,31,8,0.09773993492126465,0.055495735257864,0.046105533838272095,0.0,,
3,100000003,success,295,29,5,0.06769497692584991,0.05428028106689453,0.049326106905937195,0.16844582557678223,307.0,30.0
4,100000004,success,334,33,4,0.06803914159536362,0.054558418691158295,0.04946594685316086,0.1600780487060547,346.0,34.0
7,100000007,success,304,30,4,0.06397508084774017,0.0526859313249588,0.04751205071806908,0.1790461540222168,315.0,31.0
8,100000008,success,333,33,3,0.061560843139886856,0.051708295941352844,0.04960537701845169,0.16967856884002686,345.0,34.0
10,100000010,success,325,32,5,0.07041629403829575,0.0514533631503582,0.04667503386735916,0.15908712148666382,339.0,33.0
12,100000012,success,365,36,5,0.06979144364595413,0.05073830485343933,0.045855022966861725,0.12153971195220947,376.0,37.0
13,100000013,success,334,33,4,0.0646304115653038,0.054756246507167816,0.04962974041700363,0.172493577003479,345.0,34.0
