candidate,episode_id,outcome,closure_query,translation_norm_mean,rotation_norm_mean,gripper_command_mean,rms_distance_to_success_center
6,100000006,failed_grasp,31,0.199941024184227,0.010108175687491894,0.5815578699111938,0.3432559669017792
3,100000003,success,29,0.15947474539279938,0.00867750309407711,0.9841141700744629,0.032477427273988724
4,100000004,success,33,0.1596907675266266,0.006464899983257055,0.9879409074783325,0.03061027266085148
7,100000007,success,30,0.11647051572799683,0.013979223556816578,0.9811931848526001,0.022087471559643745
8,100000008,success,33,0.1663186401128769,0.0144045976921916,0.9950491786003113,0.03780796006321907
10,100000010,success,32,0.08100719004869461,0.0068953074514865875,0.9938725233078003,0.0319308340549469
12,100000012,success,36,0.12056443840265274,0.009146681055426598,0.9833295941352844,0.012820436619222164
13,100000013,success,33,0.1301497519016266,0.0159008726477623,0.9818360209465027,0.03213819861412048
