layer_group,metric,failed_value,success_mean,success_min,success_max,failed_minus_success_mean,failed_over_success_mean,failed_rank_high_of_8,relation_to_success_range,n_success_controls
front,within_flow_wj,0.024562131613492966,0.023602758467729603,0.023061572574079037,0.02430435735732317,0.0009593731457633627,1.040646653528868,8,above_all,7
front,late_flow_wj,0.03672872018069029,0.03358988304223333,0.03250930877402425,0.03448258014395833,0.0031388371384569597,1.0934459085347343,8,above_all,7
front,route_acceleration,0.013112504591393397,0.012546521712652402,0.012412678891655527,0.012726242554225723,0.0005659828787409945,1.0451107399886166,8,above_all,7
front,gate_entropy,0.9959592634865075,0.997041330661973,0.9968633608036548,0.9972318473917404,-0.0010820671754654398,0.9989147218453351,1,below_all,7
front,top12_margin,0.004358016361948103,0.0017756861967167684,0.0014938396343495697,0.0021812494669575244,0.0025823301652313346,2.454271689449434,8,above_all,7
front,state_action_gap,0.2133498340845108,0.22084549548370497,0.2060590796172619,0.24506186321377754,-0.0074956613991941645,0.9660592515922642,4,inside,7
front,chunk_jump_full_h,0.04388777259737253,0.047891296446323395,0.04526814725250006,0.05111751053482294,-0.004003523848950863,0.9164039367061609,1,below_all,7
front,chunk_jump_d9_h,0.056367937475442886,0.05770064863775458,0.05625558365136385,0.060205139219760895,-0.0013327111623116922,0.9769030124656228,2,inside,7
front,event_to_success_center_h,0.03618485853075981,0.027889063049639975,0.0257889274507761,0.030044659972190857,0.008295795481119837,1.2974569445504167,8,above_all,7
back,within_flow_wj,0.020246497821062803,0.016060899710282683,0.015355031937360764,0.01665719086304307,0.00418559811078012,1.26060794764196,8,above_all,7
back,late_flow_wj,0.03352581104263663,0.0246958487134959,0.023150065448135138,0.026352887507528067,0.008829962329140732,1.357548445958664,8,above_all,7
back,route_acceleration,0.009325428494405368,0.007182846411460641,0.00691813633226787,0.007385856044533707,0.0021425820829447263,1.2982915073230739,8,above_all,7
back,gate_entropy,0.9973397458672387,0.9974376283188402,0.9972496905917674,0.9975633835072881,-9.788245160147202e-05,0.9999018660928539,2,inside,7
back,top12_margin,0.003245541680371389,0.00213371251551767,0.0016266005113720894,0.0033988668583333492,0.0011118291648537187,1.5210773038859795,7,inside,7
back,state_action_gap,0.10186014138162136,0.1012955792248249,0.09556795284152031,0.10848045535385609,0.0005645621567964554,1.0055734135795147,5,inside,7
back,chunk_jump_full_h,0.03320065047591925,0.039542491481240304,0.03750816639512777,0.04133539739996195,-0.006341841005321057,0.839619589768901,1,below_all,7
back,chunk_jump_d9_h,0.04603566229343414,0.05110784832920347,0.048737687058746815,0.0551512511447072,-0.005072186035769324,0.9007552420697188,1,below_all,7
back,event_to_success_center_h,0.03577965870499611,0.021451964176126888,0.020360654219985008,0.02487848326563835,0.014327694528869221,1.6678966276110974,8,above_all,7
