candidate,episode_id,outcome,closure_query,layer_group,within_flow_wj,late_flow_wj,route_acceleration,gate_entropy,top12_margin,state_action_gap,chunk_jump_full_h,chunk_jump_d9_h,event_to_success_center_h
6,100000006,failed_grasp,31,front,0.024562131613492966,0.03672872018069029,0.013112504591393397,0.9959592634865075,0.004358016361948103,0.2133498340845108,0.04388777259737253,0.056367937475442886,0.03618485853075981
6,100000006,failed_grasp,31,back,0.020246497821062803,0.03352581104263663,0.009325428494405368,0.9973397458672387,0.003245541680371389,0.10186014138162136,0.03320065047591925,0.04603566229343414,0.03577965870499611
3,100000003,success,29,front,0.023746540304273367,0.03367868671193719,0.012412678891655527,0.9969455513125021,0.0021812494669575244,0.20708053186535835,0.04526814725250006,0.057290361262857914,0.029473423957824707
3,100000003,success,29,back,0.015974614303559065,0.024399179499596357,0.007181011824058634,0.9975577527952988,0.0017234808474313468,0.09668817557394505,0.03750816639512777,0.04962795786559582,0.020982079207897186
4,100000004,success,33,front,0.023328963201493025,0.033292565029114485,0.012460922215949072,0.9971694348877422,0.0019080998608842492,0.21694818884134293,0.0469107236713171,0.05625558365136385,0.0257889274507761
4,100000004,success,33,back,0.015749834943562746,0.024274539668112993,0.007098001301010652,0.997449236902084,0.0016266005113720894,0.09556795284152031,0.03929503262042999,0.05072793923318386,0.021088412031531334
7,100000007,success,30,front,0.02430435735732317,0.033928447403013706,0.012619904079799212,0.9970539898135242,0.0016021544870454818,0.2080477476119995,0.05111751053482294,0.060205139219760895,0.030044659972190857
7,100000007,success,30,back,0.016600360395386815,0.024932088796049356,0.007343697012949416,0.9975633835072881,0.0017250001255888492,0.10105157271027565,0.04133539739996195,0.0517569063231349,0.020360654219985008
8,100000008,success,33,front,0.023921647109091282,0.03448258014395833,0.012726242554225723,0.9968633608036548,0.00192946897004731,0.24506186321377754,0.04770585801452398,0.05697343032807112,0.02703608013689518
8,100000008,success,33,back,0.01665719086304307,0.026352887507528067,0.007385856044533707,0.9975212064819906,0.00170594135124702,0.10848045535385609,0.04112159460783005,0.0551512511447072,0.02487848326563835
10,100000010,success,32,front,0.02322764415293932,0.03311950620263815,0.012456114841040799,0.9970462505942354,0.0016884112847037613,0.2060590796172619,0.049759771674871445,0.058078350499272346,0.02945985272526741
10,100000010,success,32,back,0.015355031937360764,0.023150065448135138,0.007018879154010051,0.9973571831882098,0.002988379099406302,0.09835373237729073,0.03838824527338147,0.048737687058746815,0.021556366235017776
12,100000012,success,36,front,0.023061572574079037,0.03250930877402425,0.012526034487086848,0.9969788798304128,0.0014938396343495697,0.2364666610956192,0.04861732292920351,0.058399205096066,0.025988556444644928
12,100000012,success,36,back,0.015448906924575567,0.023423810489475727,0.00691813633226787,0.9972496905917674,0.0017677188152447343,0.1044750027358532,0.039065418764948845,0.04962743632495403,0.02050565555691719
13,100000013,success,33,front,0.023628584574908018,0.03411808703094721,0.012623754918809642,0.9972318473917404,0.0016265796730294824,0.2262543961405754,0.04585974104702473,0.056702470406889915,0.027431940659880638
13,100000013,success,33,back,0.016640358604490757,0.026338369585573673,0.007334343211394157,0.9973649447652432,0.0033988668583333492,0.10445216298103333,0.04008358530700207,0.05212576035410166,0.020792098715901375
