stored_layer_index,model_layer,layer_group,flow_step,failed_top1_expert,success_center_top1_expert,top1_same,top4_jaccard,failed_to_success_center_h
0,2,front,0,21,5,False,0.3333333333333333,0.007176239509135485
0,2,front,1,21,5,False,0.3333333333333333,0.0073607489466667175
0,2,front,2,21,26,False,0.3333333333333333,0.00732421875
0,2,front,3,28,28,True,0.3333333333333333,0.007489190436899662
0,2,front,4,29,26,False,0.6,0.007956137880682945
0,2,front,5,29,30,False,0.3333333333333333,0.008693600073456764
0,2,front,6,29,29,True,0.3333333333333333,0.009366858750581741
0,2,front,7,29,29,True,0.3333333333333333,0.01070049125701189
0,2,front,8,29,29,True,0.3333333333333333,0.011967872269451618
0,2,front,9,30,30,True,0.6,0.013320773839950562
1,3,front,0,16,16,True,0.6,0.008673007600009441
1,3,front,1,16,16,True,1.0,0.008950343355536461
1,3,front,2,31,16,False,0.6,0.008333031088113785
1,3,front,3,31,16,False,0.6,0.008485423400998116
1,3,front,4,31,31,True,0.3333333333333333,0.009357308968901634
1,3,front,5,31,31,True,0.3333333333333333,0.010180986486375332
1,3,front,6,31,31,True,0.3333333333333333,0.011797323822975159
1,3,front,7,31,31,True,0.3333333333333333,0.01365442480891943
1,3,front,8,31,31,True,0.3333333333333333,0.015183898620307446
1,3,front,9,11,19,False,0.14285714285714285,0.015959030017256737
2,4,front,0,21,20,False,0.6,0.009648961015045643
2,4,front,1,21,5,False,0.6,0.009290184825658798
2,4,front,2,27,5,False,0.6,0.009552733041346073
2,4,front,3,21,5,False,0.3333333333333333,0.010195611976087093
2,4,front,4,21,5,False,0.3333333333333333,0.011078175157308578
2,4,front,5,21,5,False,0.3333333333333333,0.011685642413794994
2,4,front,6,21,5,False,0.6,0.011611447669565678
2,4,front,7,21,21,True,0.3333333333333333,0.010571599006652832
2,4,front,8,21,6,False,0.3333333333333333,0.0108498465269804
2,4,front,9,17,17,True,0.6,0.013365444727241993
3,5,front,0,31,14,False,0.3333333333333333,0.012020052410662174
3,5,front,1,31,14,False,0.6,0.011616579256951809
3,5,front,2,31,5,False,0.6,0.0115341916680336
3,5,front,3,21,5,False,0.3333333333333333,0.012250897474586964
3,5,front,4,21,21,True,0.6,0.012849314138293266
3,5,front,5,23,5,False,0.0,0.014798224903643131
3,5,front,6,29,14,False,0.14285714285714285,0.016771234571933746
3,5,front,7,6,24,False,0.0,0.023122578859329224
3,5,front,8,6,4,False,0.14285714285714285,0.03329544514417648
3,5,front,9,16,4,False,0.3333333333333333,0.03807028383016586
4,12,back,0,7,13,False,0.14285714285714285,0.013843010179698467
4,12,back,1,7,13,False,0.14285714285714285,0.015079513192176819
4,12,back,2,7,13,False,0.3333333333333333,0.01627156510949135
4,12,back,3,7,13,False,0.14285714285714285,0.017731737345457077
4,12,back,4,7,28,False,0.14285714285714285,0.019108586013317108
4,12,back,5,7,28,False,0.14285714285714285,0.02034440077841282
4,12,back,6,7,28,False,0.0,0.02196723036468029
4,12,back,7,7,20,False,0.14285714285714285,0.02277977205812931
4,12,back,8,7,20,False,0.14285714285714285,0.024303950369358063
4,12,back,9,7,23,False,0.14285714285714285,0.02577158436179161
5,13,back,0,5,0,False,0.0,0.014930551871657372
5,13,back,1,5,0,False,0.0,0.01609477587044239
5,13,back,2,5,0,False,0.0,0.01803007908165455
5,13,back,3,5,0,False,0.0,0.02050345204770565
5,13,back,4,5,0,False,0.14285714285714285,0.0234375
5,13,back,5,5,0,False,0.0,0.02692529186606407
5,13,back,6,5,0,False,0.0,0.028065554797649384
5,13,back,7,5,0,False,0.0,0.027225784957408905
5,13,back,8,5,0,False,0.0,0.028058120980858803
5,13,back,9,18,0,False,0.14285714285714285,0.034788113087415695
6,14,back,0,19,1,False,0.3333333333333333,0.011051240377128124
6,14,back,1,19,3,False,0.3333333333333333,0.011372866109013557
6,14,back,2,19,3,False,0.3333333333333333,0.012284907512366772
6,14,back,3,19,3,False,0.3333333333333333,0.013372132554650307
6,14,back,4,19,3,False,0.3333333333333333,0.014358706772327423
6,14,back,5,19,3,False,0.3333333333333333,0.015759840607643127
6,14,back,6,19,3,False,0.14285714285714285,0.01674811728298664
6,14,back,7,19,3,False,0.3333333333333333,0.016828002408146858
6,14,back,8,19,3,False,0.3333333333333333,0.018082894384860992
6,14,back,9,19,3,False,0.3333333333333333,0.024187177419662476
7,15,back,0,8,12,False,0.14285714285714285,0.03771715983748436
7,15,back,1,8,12,False,0.14285714285714285,0.04114041104912758
7,15,back,2,8,12,False,0.14285714285714285,0.04596980661153793
7,15,back,3,8,26,False,0.14285714285714285,0.05144072696566582
7,15,back,4,8,25,False,0.3333333333333333,0.05590500310063362
7,15,back,5,8,25,False,0.14285714285714285,0.058528609573841095
7,15,back,6,8,25,False,0.14285714285714285,0.0572633370757103
7,15,back,7,25,25,True,0.14285714285714285,0.04801880568265915
7,15,back,8,25,25,True,0.3333333333333333,0.034298934042453766
7,15,back,9,25,25,True,0.3333333333333333,0.03083719313144684
