candidate,episode_id,outcome,relative_query,query,layer_group,within_flow_wj,late_flow_wj,route_acceleration,gate_entropy,top12_margin,state_action_gap,chunk_jump_full_h,chunk_jump_d9_h
6,100000006,failed_grasp,-8,23,front,0.020514520816504955,0.0273029669187963,0.011410409382637005,0.9982783910592912,0.0012443234154488891,0.2810033783316612,0.034994021989405155,0.029508863110095263
6,100000006,failed_grasp,-8,23,back,0.013722924049943686,0.021372011862695217,0.006366494342082749,0.9981486679853985,0.0016441280022263527,0.11044077388942242,0.02841651625931263,0.03972103353589773
6,100000006,failed_grasp,-7,24,front,0.022364170290529728,0.03152579488232732,0.01206106304568895,0.9976577263102455,0.0014518644456984475,0.24716508761048317,0.03396681696176529,0.029750183690339327
6,100000006,failed_grasp,-7,24,back,0.014064799761399627,0.021547529380768538,0.0065414498615185175,0.9982416951210767,0.00195462629199028,0.09535840153694153,0.025792792439460754,0.03329984471201897
6,100000006,failed_grasp,-6,25,front,0.02241658139973879,0.03240062389522791,0.011903169755910504,0.9973886250564405,0.0019882334454450756,0.24878323823213577,0.03883628826588392,0.03441381687298417
6,100000006,failed_grasp,-6,25,back,0.014199434546753764,0.02215830283239484,0.006599880046169919,0.9978315543349521,0.0014953542849980295,0.10739737749099731,0.02663489244878292,0.0390011603012681
6,100000006,failed_grasp,-5,26,front,0.02188558829948306,0.031433542259037495,0.011668435681943241,0.9976006710658217,0.001757802558131516,0.26757311820983887,0.03937181085348129,0.03128017485141754
6,100000006,failed_grasp,-5,26,back,0.01369425468146801,0.020845456514507532,0.006558448706266949,0.9978891891609092,0.0014343495422508568,0.11031950078904629,0.02906250162050128,0.03741812612861395
6,100000006,failed_grasp,-4,27,front,0.022381283808499575,0.03180042887106538,0.011870872263697128,0.9976293835693835,0.002078266814351082,0.25338099524378777,0.03745738137513399,0.030249465722590685
6,100000006,failed_grasp,-4,27,back,0.01419484755024314,0.021733890287578106,0.00668588661745697,0.9978520718652,0.001457198421121575,0.10942862927913666,0.025269826874136925,0.031467356253415346
6,100000006,failed_grasp,-3,28,front,0.022940612863749266,0.032376132905483246,0.01190929668937665,0.9970059430203526,0.003581930694053881,0.24667706713080406,0.04115451127290726,0.03785810153931379
6,100000006,failed_grasp,-3,28,back,0.015857507940381765,0.02542914729565382,0.007314724676592969,0.9977275031113536,0.0025322279252577573,0.10328025370836258,0.0293802572414279,0.03933564107865095
6,100000006,failed_grasp,-2,29,front,0.02308131055906415,0.032601522747427225,0.012342509327968699,0.9969770344565692,0.003516336379107088,0.2566984184086323,0.03653427120298147,0.027636918239295483
6,100000006,failed_grasp,-2,29,back,0.01597239333204925,0.02549350867047906,0.0073789049426158234,0.9977027358898028,0.002055382792605087,0.10423924587666988,0.02253084909170866,0.024969077203422785
