corpus,variant,t,auc,det,resid_det,rho_zfnorm
A,real,20,0.282,0.718,0.685,0.346
A,real,25,0.467,0.533,0.621,0.078
A,real,30,0.696,0.696,0.514,0.352
A,shuffle,20,0.531,0.531,0.52,0.06
A,shuffle,25,0.548,0.548,0.523,0.017
A,shuffle,30,0.564,0.564,0.509,0.135
B,real,20,0.469,0.531,0.549,0.171
B,real,25,0.425,0.575,0.615,0.095
B,real,30,0.701,0.701,0.557,0.317
B,shuffle,20,0.55,0.55,0.557,-0.001
B,shuffle,25,0.544,0.544,0.501,-0.152
B,shuffle,30,0.543,0.543,0.512,-0.065
