g,r,d,niter,ll0,ll1,mono,rho_F,Bnorm,Wnorm,Qtr,Rtr
0,8,4,40,-132230.34182358158,-126441.07062320516,True,0.980743580760408,2.659435230365736,1.1590152189314205,0.2269865762106654,7.003686408567784
0,16,4,40,-264255.73399700853,-255178.96038532257,True,0.9899258702099458,2.515512572334482,1.0603037712362169,0.1964429279777803,14.695048005851572
0,16,8,40,-265411.17151702906,-254869.80651357735,True,0.9900551066234988,4.041841397735374,1.5697071353371033,0.5013013816782661,14.424628655183565
0,32,4,40,-528306.5166211259,-513903.6118704727,True,0.993927775498732,1.953070653745195,0.9842740064796296,0.1425109620145458,30.2095960693646
0,32,8,40,-529461.9541411465,-513046.4940193329,True,0.9940234340640712,3.590272259338556,1.4699547120092489,0.4231222210183785,29.770695816649024
0,32,16,40,-532567.4923678037,-512414.03294359305,True,0.9944710531333436,5.845252145741736,2.2569925412069587,1.0421078229588552,29.204831518208746
0,64,8,40,-1057563.518838707,-1032670.2321307436,True,0.9977945850665202,3.0744340289424734,1.3024252308685458,0.3402337594945135,61.04933948920397
0,64,16,40,-1060669.057065364,-1031163.647560112,True,0.9979869687836088,5.221239197529205,2.189273397229395,0.9333695491314584,60.17404840289112
0,64,32,40,-1066770.6703895112,-1029755.6959411964,True,0.9966237274027354,8.480346283511215,3.2190687096460597,2.1823513064963,59.0742896728303
1,8,4,40,-137814.91676623246,-132262.88045264172,True,0.9967217647009102,2.475324587988712,1.1102976687625128,0.2158577855952122,6.964295267684872
1,16,4,40,-275822.5519258612,-267642.3209171448,True,0.9964538569681118,2.407063439215052,0.9381333868272164,0.184706100073594,14.680934796293243
1,16,8,40,-277286.059133204,-267131.3753714886,True,0.9947850892331224,3.8492230292254535,1.4435877961909052,0.4773694608995569,14.34968297478131
1,32,4,40,-551837.8265789107,-537857.9738483459,True,0.9982897271771471,1.9176115322966272,0.9431078451267044,0.1252118559080603,30.11114562701213
1,32,8,40,-553301.3337862536,-535608.2755929205,True,0.9981233348870278,3.282361682082801,1.2934057133477936,0.3689689088149925,29.451027670827244
1,32,16,40,-555979.4026194843,-534742.7027605346,True,0.9986559618033328,5.469030362119471,2.0861290956907577,0.9765515289930474,28.8336554561384
1,64,8,40,-1105331.8817687323,-1079156.2995755563,True,0.9985143112924068,2.644118252144118,1.2769892097340148,0.2894271925687171,60.66029032499249
1,64,16,40,-1108009.9506019629,-1076081.7394410977,True,0.9985441183825132,4.750567092618528,1.947940269469421,0.8359625788888545,59.56820141003687
1,64,32,40,-1112973.3685703962,-1074472.4388927275,True,0.9976837648784628,8.211054409347872,3.0913913826871786,2.081342811658,58.38663670232989
2,8,4,40,-138815.28865892417,-132585.9662761074,True,0.9930662886618252,2.586877431769252,1.128589195189631,0.2336513739047558,7.049869897270282
2,16,4,40,-277049.95418001106,-268133.1300723221,True,0.9973031141794664,2.495425261197548,0.9676160009643072,0.1979946149793175,14.810813853877091
2,16,8,40,-278088.7418878196,-267784.8406690421,True,0.9970726981466368,3.812531421925456,1.556663426878939,0.4996115901147006,14.487299151392357
2,32,4,40,-553519.2897909372,-538200.5714269733,True,1.00104960177441,1.9490783822277653,1.003278635667517,0.1372295340712487,30.181260610734512
2,32,8,40,-554558.0774987455,-536902.6702415247,True,1.0020249385073563,3.2045008521884397,1.447856569066578,0.4085592836297438,29.6739065223385
2,32,16,40,-557862.4913444903,-536288.5594917745,True,1.0023966689699222,5.380036415644901,2.160234304337269,1.025701995362706,29.165173784121997
2,64,8,40,-1107496.7451358628,-1080797.412775222,True,1.0003846233121716,2.73505441222921,1.3141155489692162,0.3085835393705805,60.81221767663679
2,64,16,40,-1110801.1589816078,-1078889.56613452,True,1.0011064301449315,4.99134078169792,2.097467959345708,0.889494252154291,59.90829491492856
2,64,32,40,-1116525.0785539683,-1077456.0043550965,True,1.0004549234624214,7.836607823418571,3.1481348547661887,2.143815017548248,58.79703141024417
3,8,4,40,-141854.72502885957,-135897.56756581666,True,0.9963085751461044,2.294427591766233,1.087084760038183,0.2196334560873056,6.949619089669673
3,16,4,40,-283824.03907852457,-274572.8387867569,True,0.999211908112548,2.3587362529607554,0.908857092866882,0.1802936401805967,14.625104148325155
3,16,8,40,-285044.452564585,-273995.71998670284,True,0.9998126930808824,3.4132707104572177,1.4157537912781295,0.4782895572913032,14.25863551945563
3,32,4,40,-567762.6674508094,-552405.1874286465,True,0.9950643674595064,1.6370732103126475,0.9315781118156184,0.1290429452672774,30.040703357480563
3,32,8,40,-568983.08093687,-549648.8140733477,True,0.9976370317402656,3.0554848795168774,1.1836834107802643,0.3672385953227624,29.352145939485474
3,32,16,40,-571400.3366640233,-548762.2221531821,True,0.999057610250036,4.961098275262899,2.0289217944712097,0.9809138073183972,28.721011189546434
3,64,8,40,-1136860.3351754765,-1109847.6496125548,True,0.99626515486735,2.444599303905635,1.2192926202934362,0.2986389408996813,60.65992715374247
3,64,16,40,-1139277.59090263,-1106852.2155002516,True,0.9966914333229944,4.410126855297847,1.8759435177405,0.8595733154756572,59.59753615337499
3,64,32,40,-1143902.656504718,-1105174.341387542,True,0.9971468441460196,7.395632443071316,3.0718302369604973,2.1258797347176808,58.34942837386696
