corpus,variant,r,d,t,stat,metric,auc_succ,det,npairs,p_perm,rho_base,rho_max,rho_min
A,real,0,0,20,base_cum,raw,0.4183429935219911,0.5816570064780089,2933.0,0.1293532338308457,,,
A,real,0,0,20,base_w8,raw,0.4057279236276849,0.594272076372315,2933.0,0.0597014925373134,,,
A,real,0,0,25,base_cum,raw,0.5301738833958405,0.5301738833958405,2933.0,0.527363184079602,,,
A,real,0,0,25,base_w8,raw,0.6345039209001023,0.6345039209001023,2933.0,0.0149253731343283,,,
A,real,0,0,30,base_cum,raw,0.7429253324241392,0.7429253324241392,2933.0,0.0049751243781094,,,
A,real,0,0,30,base_w8,raw,0.7988407773610637,0.7988407773610637,2933.0,0.0049751243781094,,,
A,real,8,4,20,dzf_w12,raw,0.4340265939311285,0.5659734060688715,2933.0,,0.5456816700919,0.8585325832161275,0.2064297341291373
A,real,8,4,20,dzf_w12,resid,0.4708489601091033,0.5291510398908967,2933.0,,,,
A,real,8,4,20,dzf_w3,raw,0.470508012274122,0.5294919877258779,2933.0,,0.6145133723374947,0.7280825128926395,0.4776451437873033
A,real,8,4,20,dzf_w3,resid,0.5206273440163655,0.5206273440163655,2933.0,,,,
A,real,8,4,20,dzf_w8,raw,0.3869757927037163,0.6130242072962837,2933.0,0.0298507462686567,0.3709166667938569,0.6845053914674167,-0.2847938144329897
A,real,8,4,20,dzf_w8,resid,0.4084555063075349,0.591544493692465,2933.0,0.0696517412935323,,,
A,real,8,4,20,innov_cum,raw,0.4445959768155472,0.5554040231844528,2933.0,,0.1879805835819266,0.4710526315789474,-0.1266549104720564
A,real,8,4,20,innov_cum,resid,0.4936924650528469,0.5063075349471531,2933.0,,,,
A,real,8,4,20,innov_w1,raw,0.4940334128878281,0.5059665871121719,2933.0,,-0.0669393657378471,0.183288117200217,-0.5322081575246133
A,real,8,4,20,innov_w1,resid,0.5247187180361405,0.5247187180361405,2933.0,,,,
A,real,8,4,20,innov_w12,raw,0.4217524718718036,0.5782475281281965,2933.0,,0.5164742405406705,0.8748945147679325,0.230801687763713
A,real,8,4,20,innov_w12,resid,0.4868735083532219,0.513126491646778,2933.0,,,,
A,real,8,4,20,innov_w3,raw,0.4988066825775656,0.5011933174224343,2933.0,,0.2689332414002221,0.7300046882325363,-0.4316455696202532
A,real,8,4,20,innov_w3,resid,0.5588135015342652,0.5588135015342652,2933.0,,,,
A,real,8,4,20,innov_w8,raw,0.309580634162973,0.690419365837027,2933.0,0.0049751243781094,0.2886181056208168,0.8481481481481481,-0.3382090951711204
A,real,8,4,20,innov_w8,resid,0.3610637572451415,0.6389362427548585,2933.0,0.0149253731343283,,,
A,real,8,4,20,nis_cum,raw,0.5683600409137401,0.5683600409137401,2933.0,,0.046288013031404,0.1817393342709798,-0.054102203469292
A,real,8,4,20,nis_cum,resid,0.5649505625639277,0.5649505625639277,2933.0,,,,
A,real,8,4,20,nis_w1,raw,0.5509717013296965,0.5509717013296965,2933.0,,-0.0146535041930808,0.2798640412564463,-0.5779653070792311
A,real,8,4,20,nis_w1,resid,0.559836345039209,0.559836345039209,2933.0,,,,
A,real,8,4,20,nis_w12,raw,0.5404023184452779,0.5404023184452779,2933.0,0.4029850746268656,0.357164949407535,0.8345053914674168,0.0831253391209983
A,real,8,4,20,nis_w12,resid,0.5468803273099215,0.5468803273099215,2933.0,0.3482587064676617,,,
A,real,8,4,20,nis_w3,raw,0.6068871462666212,0.6068871462666212,2933.0,,0.1474438464594941,0.4747304266291608,-0.3493202062822316
A,real,8,4,20,nis_w3,resid,0.6055233549266962,0.6055233549266962,2933.0,,,,
A,real,8,4,20,nis_w8,raw,0.5441527446300716,0.5441527446300716,2933.0,0.4228855721393035,-0.0200452434790195,0.1239803094233474,-0.1044221378187737
A,real,8,4,20,nis_w8,resid,0.5339243095806342,0.5339243095806342,2933.0,0.4925373134328358,,,
A,real,8,4,20,nll_w8,raw,0.5441527446300716,0.5441527446300716,2933.0,,-0.0200452434790195,0.1239803094233474,-0.1044221378187737
A,real,8,4,20,nll_w8,resid,0.5339243095806342,0.5339243095806342,2933.0,,,,
A,real,8,4,20,pcaz_w8,raw,0.4872144561882032,0.5127855438117968,2933.0,,0.6472781048475001,0.6906938584153774,0.5909985935302391
A,real,8,4,20,pcaz_w8,resid,0.5547221275144902,0.5547221275144902,2933.0,,,,
