layer,quantile,structure,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
L2,0.5,single,262,103,0.5379876796714579,0.007196255152658423,0.7178082191780822,51,87,0.3695652173913043,0.1946564885496183,0.5454527627259871,1.3159860362439477
L2,0.5,or_l5,283,109,0.5811088295687885,0.007615454481939496,0.7219387755102041,63,91,0.4090909090909091,0.2226148409893993,0.5295714047472134,1.3632510536606781
L2,0.6,single,250,59,0.5133470225872689,0.004122126737930553,0.8090614886731392,46,44,0.5111111111111111,0.184,0.6163959141186259,1.3125678969335846
L2,0.6,or_l5,272,65,0.5585215605749486,0.004541326067211626,0.8071216617210683,58,48,0.5471698113207547,0.21323529411764705,0.5933770615091329,1.360217160515642
L2,0.7,single,243,31,0.4989733059548255,0.0021658632012855447,0.8868613138686131,41,18,0.6949152542372882,0.16872427983539096,0.6758079687243,1.31229780486713
L2,0.7,or_l5,266,37,0.5462012320328542,0.002585062530566618,0.8778877887788779,53,22,0.7066666666666667,0.19924812030075187,0.6457858603840941,1.35941005003847
L2,0.75,single,234,20,0.4804928131416838,0.0013973310976035773,0.9212598425196851,38,9,0.8085106382978723,0.1623931623931624,0.7053809139207181,1.3060458885952093
L2,0.75,or_l5,258,26,0.5297741273100616,0.0018165304268846503,0.9084507042253521,50,13,0.7936507936507936,0.1937984496124031,0.6709727492933109,1.3539308491770499
L2,0.8,single,226,14,0.46406570841889117,0.000978131768322504,0.9416666666666667,35,4,0.8974358974358975,0.15486725663716813,0.7290488246129954,1.2916373154658556
L2,0.8,or_l5,251,20,0.5154004106776181,0.0013973310976035773,0.9261992619926199,47,8,0.8545454545454545,0.18725099601593626,0.6909565556109105,1.34045947530481
L2,0.85,single,206,14,0.42299794661190965,0.000978131768322504,0.9363636363636364,28,4,0.875,0.13592233009708737,0.7295016672785644,1.2835661361224562
L2,0.85,or_l5,231,20,0.47433264887063653,0.0013973310976035773,0.9203187250996016,40,8,0.8333333333333334,0.17316017316017315,0.6883182289431158,1.337054121772589
L2,0.9,single,182,10,0.3737166324435318,0.0006986655488017886,0.9479166666666666,26,1,0.9629629629629629,0.14285714285714285,0.7410600153183262,1.2791361658603104
