layer,structure,feasible,quantile,dev_low_prior_tp,dev_low_prior_fp,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp
L2,single,True,0.7,41,18,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,32,2,38,33,2,1,0,7
L2,or_l5,True,0.7,53,22,297,62,0.526595744680851,0.004123437084330939,0.8272980501392758,83,45,0.6484375,0.27946127946127947,0.585648296746904,1.4126192370654227,39,3,38,33,6,2,0,7
L3,single,True,0.75,28,15,224,35,0.3971631205673759,0.0023277467411545625,0.8648648648648649,51,25,0.6710526315789473,0.22767857142857142,0.6358174016222803,1.3602409475710682,21,0,30,18,0,0,0,7
L3,or_l5,True,0.75,40,19,255,40,0.4521276595744681,0.0026602819898909284,0.864406779661017,62,27,0.6966292134831461,0.24313725490196078,0.626322786930262,1.3801298590741908,28,1,30,18,4,1,0,7
L4,single,True,0.85,28,14,206,33,0.36524822695035464,0.002194732641660016,0.8619246861924686,58,23,0.7160493827160493,0.2815533980582524,0.5983606157654027,1.4404769690430306,26,7,31,15,1,0,0,1
L4,or_l5,True,0.85,40,18,234,38,0.4148936170212766,0.002527267890396382,0.8602941176470589,69,25,0.7340425531914894,0.2948717948717949,0.588761342366241,1.4611932811171389,33,8,31,15,5,1,0,1
L5,single,True,0.75,28,8,256,39,0.45390070921985815,0.0025937749401436553,0.8677966101694915,50,29,0.6329113924050633,0.1953125,0.6665103543967411,1.3020001931626923,21,0,29,21,0,0,0,8
L5,or_l5,True,0.75,40,12,287,44,0.5088652482269503,0.002926310188880021,0.8670694864048338,61,31,0.6630434782608695,0.21254355400696864,0.6547101802758168,1.3243561999288815,28,1,29,21,4,1,0,8
L12,single,True,0.925,29,14,232,44,0.41134751773049644,0.002926310188880021,0.8405797101449275,56,31,0.6436781609195402,0.2413793103448276,0.6001192403464959,1.4006878194066814,23,0,30,31,3,0,0,0
L12,or_l5,True,0.925,41,18,259,49,0.4592198581560284,0.0032588454376163874,0.8409090909090909,67,33,0.67,0.25868725868725867,0.5901855652133496,1.4248215145775478,30,1,30,31,7,1,0,0
L13,single,True,0.95,30,7,183,29,0.324468085106383,0.0019287044426709232,0.8632075471698113,50,18,0.7352941176470589,0.273224043715847,0.6042698628218233,1.4285133187658892,24,0,23,18,3,0,0,0
L13,or_l5,True,0.95,42,11,210,34,0.3723404255319149,0.002261239691407289,0.860655737704918,61,20,0.7530864197530864,0.2904761904761905,0.5913325980285159,1.4554511971339257,31,1,23,18,7,1,0,0
L14,single,True,0.95,29,12,195,27,0.34574468085106386,0.0017956903431763766,0.8783783783783784,46,16,0.7419354838709677,0.2358974358974359,0.6395898745074293,1.3733462854690257,24,0,19,16,3,0,0,0
L14,or_l5,True,0.925,42,27,271,54,0.4804964539007092,0.003591380686352753,0.8338461538461538,69,37,0.6509433962264151,0.25461254612546125,0.5965547374957804,1.3977697291391502,32,1,30,35,7,1,0,0
L15,single,True,0.95,26,9,176,29,0.3120567375886525,0.0019287044426709232,0.8585365853658536,47,18,0.7230769230769231,0.26704545454545453,0.6021751839704086,1.4257256164313188,22,0,22,18,3,0,0,0
L15,or_l5,True,0.925,40,24,249,49,0.44148936170212766,0.0032588454376163874,0.8355704697986577,68,33,0.6732673267326733,0.27309236947791166,0.5769861638394542,1.4481637899919455,30,1,31,31,7,1,0,0
