split,query,cohort,model,variant,episodes,failures,successes,mixed_states,macro_within_state_auc,auc_ci95_low,auc_ci95_high,pair_weighted_within_state_auc,pooled_auc
heldout_seed,0,common,state_prior,aligned,512,216,296,13,0.5,0.5,0.5,0.5,0.8734984984984985
heldout_seed,0,common,aggregate_current,aligned,512,216,296,13,0.5400840286827634,0.42771595647588384,0.655112855298782,0.5204081632653061,0.8757507507507508
heldout_seed,0,common,aggregate_current,shift_1,512,216,296,13,0.5423518999807867,0.45077022440437775,0.6371439174449337,0.5153061224489796,0.8778153153153153
heldout_seed,0,common,aggregate_current,shift_2,512,216,296,13,0.48315244715500466,0.4098608596463288,0.5533374230258905,0.4642857142857143,0.8734984984984986
heldout_seed,0,common,aggregate_current,shift_3,512,216,296,13,0.4344116241814451,0.31012213915666603,0.553583047723578,0.5,0.873998998998999
heldout_seed,0,common,aggregate_history,aligned,512,216,296,13,0.5400840286827634,0.42815000256395463,0.6508514591367263,0.5204081632653061,0.8757507507507508
heldout_seed,0,common,aggregate_history,shift_1,512,216,296,13,0.5423518999807867,0.45253367162742586,0.6363089532885264,0.5153061224489796,0.8778153153153153
heldout_seed,0,common,aggregate_history,shift_2,512,216,296,13,0.48315244715500466,0.4088489737853717,0.5524755398110661,0.4642857142857143,0.8734984984984986
heldout_seed,0,common,aggregate_history,shift_3,512,216,296,13,0.4344116241814451,0.31397790413472204,0.5525940281058735,0.5,0.873998998998999
heldout_seed,0,common,token_current,aligned,512,216,296,13,0.6015401231782979,0.47504692283531963,0.708974956203217,0.6122448979591837,0.8759384384384385
heldout_seed,0,common,token_current,shift_1,512,216,296,13,0.4788533567507857,0.369557460812172,0.6095403967489712,0.42346938775510207,0.8613613613613614
heldout_seed,0,common,token_current,shift_2,512,216,296,13,0.4755337833073732,0.3840223992254884,0.5782157421144836,0.4846938775510204,0.8686811811811812
heldout_seed,0,common,token_current,shift_3,512,216,296,13,0.444072736763543,0.3474831859634659,0.5317035909006563,0.47959183673469385,0.8676332582582582
heldout_seed,0,common,token_history,aligned,512,216,296,13,0.6015401231782979,0.4697882161137647,0.7078575410097148,0.6122448979591837,0.8759384384384385
heldout_seed,0,common,token_history,shift_1,512,216,296,13,0.4788533567507857,0.3684838463050537,0.6102595221330919,0.42346938775510207,0.8613613613613614
heldout_seed,0,common,token_history,shift_2,512,216,296,13,0.4755337833073732,0.3843259129034468,0.57829280127823,0.4846938775510204,0.8686811811811812
heldout_seed,0,common,token_history,shift_3,512,216,296,13,0.444072736763543,0.34159920630811724,0.532281171401847,0.47959183673469385,0.8676332582582582
