split,query,cohort,comparison,states,auc_gain,auc_gain_ci95_low,auc_gain_ci95_high
heldout_seed,0,common,token_position_increment_current,13,0.061456094495534526,-0.04404554261415885,0.16881884896186952
heldout_seed,0,common,token_position_increment_history,13,0.061456094495534526,-0.04280622062238025,0.1683453481727139
heldout_seed,0,common,temporal_increment_aggregate,13,0.0,0.0,0.0
heldout_seed,0,common,temporal_increment_token,13,0.0,0.0,0.0
heldout_seed,0,common,state_to_token_history,13,0.10154012317829789,-0.025592852877817204,0.20814997359619783
heldout_seed,0,common,aligned_vs_shifted_token_history,13,0.1353868309043972,-0.032963988270893634,0.27582399092360055
heldout_seed,1,common,token_position_increment_current,13,-0.07715131819318118,-0.18115489330743745,0.03156293312959749
heldout_seed,1,common,token_position_increment_history,13,-0.07361135969966229,-0.23054390784653944,0.07840597892034824
heldout_seed,1,common,temporal_increment_aggregate,13,-0.03218048235547229,-0.1376535186332939,0.10694686828554098
heldout_seed,1,common,temporal_increment_token,13,-0.028640523861953388,-0.08670679625485117,0.021016171034511318
heldout_seed,1,common,state_to_token_history,13,-0.09094364378386453,-0.20490970072239423,0.018648682497114294
heldout_seed,1,common,aligned_vs_shifted_token_history,13,-0.1212581917118194,-0.2715265309315652,0.024536208545496454
heldout_seed,2,common,token_position_increment_current,13,-0.12026331156765943,-0.22447045707915275,-0.01679689399083001
heldout_seed,2,common,token_position_increment_history,13,-0.11056421218959919,-0.2310709465972624,0.007213289161818481
heldout_seed,2,common,temporal_increment_aggregate,13,-0.07495402549918637,-0.1616169054020717,0.0034554996087502957
heldout_seed,2,common,temporal_increment_token,13,-0.06525492612112614,-0.13296733158146198,0.006596915081822171
heldout_seed,2,common,state_to_token_history,13,-0.030349757106386547,-0.16163742063450975,0.1002814613054046
heldout_seed,2,common,aligned_vs_shifted_token_history,13,-0.04046634280851538,-0.22447358874704412,0.13231725755685894
heldout_seed,3,common,token_position_increment_current,13,-0.005956674754628714,-0.09001481834299173,0.0764838188986796
heldout_seed,3,common,token_position_increment_history,13,-0.07139888461398759,-0.1599479467900521,0.01782201811664055
heldout_seed,3,common,temporal_increment_aggregate,13,0.07943737549000707,0.006626662810873349,0.15306893033866717
