run_role,episode_index,init_state_id,success,failure_family,failure_family_sensitivity_15mm,generic_primary,generic_labels,missed_grasp_targets,missed_grasp_queries,borderline_15mm_queries,raw_reject_queries,formal_alarm_queries,any_raw_reject,formal_alarm,nearest_raw_minus_missed_query,raw_in_5q_before_or_at_miss,raw_in_5q_after_miss,placed_end_count,lift_count,drop_count,loop_return_count,late_static_window_fraction,trajectory,audit_index
heldout_gpu4,2,20,False,other_failure,other_failure,subtask_undo,drop_or_regrasp;goal_regression;subtask_undo,,[],[],[10],[],True,False,,False,False,0,2,2,1,0.0,results/moe_only_online_alarm/gpu4_heldout_random_seed20260906/episode_002_init_20_random/trajectory_and_routes.npz,10
heldout_gpu4,3,0,False,other_failure,other_failure,single_subtask_omission,single_subtask_omission,,[],[],[],[],False,False,,False,False,1,1,0,0,0.12350597609561753,results/moe_only_online_alarm/gpu4_heldout_random_seed20260906/episode_003_init_00_random/trajectory_and_routes.npz,11
heldout_gpu4,4,20,False,target_missed_grasp_proxy,target_missed_grasp_proxy,loop_or_cycling,loop_or_cycling,moka_pot_2_joint0,"[14,34]",[],[10],[],True,False,-4,True,False,0,0,0,51,0.00398406374501992,results/moe_only_online_alarm/gpu4_heldout_random_seed20260906/episode_004_init_20_random/trajectory_and_routes.npz,12
heldout_gpu4,5,7,True,success,success,success,success,,[],[],[36],[],True,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu4_heldout_random_seed20260906/episode_005_init_07_random/trajectory_and_routes.npz,13
heldout_gpu4,6,3,False,other_failure,other_failure,single_subtask_omission,single_subtask_omission;stagnation,,[],[],"[10,12]",[],True,False,,False,False,1,1,0,0,0.7689243027888446,results/moe_only_online_alarm/gpu4_heldout_random_seed20260906/episode_006_init_03_random/trajectory_and_routes.npz,14
heldout_gpu4,7,0,True,success,success,success,success,,[],[],[36],[],True,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu4_heldout_random_seed20260906/episode_007_init_00_random/trajectory_and_routes.npz,15
gpu5_extended,0,7,True,success,success,success,success,,[],[],[36],[],True,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_000_init_07_random/trajectory_and_routes.npz,16
gpu5_extended,1,20,False,other_failure,other_failure,drop_or_regrasp,drop_or_regrasp;goal_regression;loop_or_cycling,,[],[],[],[],False,False,,False,False,0,1,1,3,0.24701195219123506,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_001_init_20_random/trajectory_and_routes.npz,17
gpu5_extended,2,0,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_002_init_00_random/trajectory_and_routes.npz,18
gpu5_extended,3,3,False,other_failure,target_missed_grasp_proxy,loop_or_cycling,loop_or_cycling;single_subtask_omission,,[],[37],"[2,7,10,15]",[],True,False,,False,False,1,1,0,2,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_003_init_03_random/trajectory_and_routes.npz,19
gpu5_extended,4,3,False,target_missed_grasp_proxy,target_missed_grasp_proxy,loop_or_cycling,loop_or_cycling;single_subtask_omission,moka_pot_1_joint0,[48],[],"[10,31]",[],True,False,-17,False,False,1,1,0,28,0.00796812749003984,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_004_init_03_random/trajectory_and_routes.npz,20
gpu5_extended,5,7,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_005_init_07_random/trajectory_and_routes.npz,21
gpu5_extended,6,0,True,success,success,success,success,,[],[],"[33,37]",[],True,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_006_init_00_random/trajectory_and_routes.npz,22
gpu5_extended,7,20,False,other_failure,other_failure,drop_or_regrasp,drop_or_regrasp;goal_regression;loop_or_cycling,,[],[],[],[],False,False,,False,False,0,1,1,3,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_007_init_20_random/trajectory_and_routes.npz,23
gpu5_extended,8,7,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_008_init_07_random/trajectory_and_routes.npz,24
gpu5_extended,9,0,False,other_failure,target_missed_grasp_proxy,single_subtask_omission,single_subtask_omission;stagnation,,[],[46],[],[],False,False,,False,False,1,1,0,0,0.549800796812749,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_009_init_00_random/trajectory_and_routes.npz,25
gpu5_extended,10,20,False,target_missed_grasp_proxy,target_missed_grasp_proxy,loop_or_cycling,loop_or_cycling,moka_pot_2_joint0,"[15,35]",[],[37],[],True,False,2,False,True,0,0,0,44,0.03187250996015936,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_010_init_20_random/trajectory_and_routes.npz,26
gpu5_extended,11,3,False,other_failure,other_failure,loop_or_cycling,loop_or_cycling;single_subtask_omission,,[],[],"[2,5,10,11,27]",[11],True,True,,False,False,1,1,0,24,0.06772908366533864,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_011_init_03_random/trajectory_and_routes.npz,27
gpu5_extended,12,7,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_012_init_07_random/trajectory_and_routes.npz,28
gpu5_extended,13,0,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_013_init_00_random/trajectory_and_routes.npz,29
gpu5_extended,14,20,False,target_missed_grasp_proxy,target_missed_grasp_proxy,subtask_undo,goal_regression;subtask_undo,moka_pot_1_joint0,[37],[],"[38,43,44]",[44],True,True,1,False,True,0,1,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_014_init_20_random/trajectory_and_routes.npz,30
gpu5_extended,15,3,False,other_failure,other_failure,loop_or_cycling,loop_or_cycling;single_subtask_omission,,[],[],"[2,7,10,30]",[],True,False,,False,False,1,1,0,26,0.035856573705179286,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_015_init_03_random/trajectory_and_routes.npz,31
gpu5_extended,16,7,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_016_init_07_random/trajectory_and_routes.npz,32
gpu5_extended,17,20,False,other_failure,other_failure,subtask_undo,drop_or_regrasp;goal_regression;loop_or_cycling;subtask_undo,,[],[],"[9,19,41]",[],True,False,,False,False,0,1,1,3,0.1952191235059761,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_017_init_20_random/trajectory_and_routes.npz,33
gpu5_extended,18,0,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_018_init_00_random/trajectory_and_routes.npz,34
gpu5_extended,19,3,False,other_failure,other_failure,active_retry,active_retry,,[],[],"[7,10,12]",[],True,False,,False,False,1,1,0,0,0.3784860557768924,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_019_init_03_random/trajectory_and_routes.npz,35
gpu5_extended,20,7,True,success,success,success,success,,[],[],[],[],False,False,,False,False,2,2,0,0,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_020_init_07_random/trajectory_and_routes.npz,36
gpu5_extended,21,20,False,target_missed_grasp_proxy,target_missed_grasp_proxy,loop_or_cycling,loop_or_cycling,moka_pot_2_joint0,"[14,34]",[],[],[],False,False,,False,False,0,0,0,42,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_021_init_20_random/trajectory_and_routes.npz,37
gpu5_extended,22,3,False,other_failure,target_missed_grasp_proxy,loop_or_cycling,loop_or_cycling,,[],[33],"[2,7,34,35]",[35],True,True,,False,False,0,1,0,17,0.0,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_022_init_03_random/trajectory_and_routes.npz,38
gpu5_extended,23,0,False,target_missed_grasp_proxy,target_missed_grasp_proxy,loop_or_cycling,loop_or_cycling;single_subtask_omission,moka_pot_1_joint0,[45],[],[],[],False,False,,False,False,1,1,0,4,0.05976095617529881,results/moe_only_online_alarm/gpu5_extended_random_seed20260907/episode_023_init_00_random/trajectory_and_routes.npz,39
