snapshot,cluster,cohort,run_id,arm,init_state_id,fold,fork_query,budget,candidates,candidate_successes,random_success,oracle_success,opportunity,grammar_range,grammar_std,action_pair_rms,route_pair_rms,full_clock_top1_agree,snapshot_state_sha256,policy_state_sha256,duplicate_route_matches,action_medoid_candidate,action_medoid_success,grammar_candidate,grammar_success,anti_grammar_candidate,anti_grammar_success,grammar_action_diverse_candidate,grammar_action_diverse_success,grammar_route_diverse_candidate,grammar_route_diverse_success,grammar_clock_candidate,grammar_clock_success,grammar_local1_candidate,grammar_local1_success,grammar_no_prefix_candidate,grammar_no_prefix_success
formal80/i10_s0/triggered,formal80/i10_s0,formal80,i10_s0,triggered,10,3,30,16,4,0,0.0,0,0,0.17032212018966675,0.06769652664661407,0.12032756819874779,0.3961574115280648,1,9c68f6fc2ebdebca24179ce0987723bd8ab05f0dfbd9bc5344f5cdb8b7370c89,a321a1f3a6b800d7fe2f5bbb72062d69f21d774b70daff679329df2a2fbfeeba,1,0,0,3,0,1,0,2,0,0,0,3,0,0,0,0,0
formal80/i10_s0/delayed_+4,formal80/i10_s0,formal80,i10_s0,delayed_+4,10,3,34,16,4,2,0.5,1,1,0.21678417921066284,0.08198204636573792,0.12000849263005542,0.36098149419095327,1,bbf1420b03494b9fa082358466ce5ba345e7e6d579bb2be770e3e14ce5f67d19,4937beb212cc91aaee3d10a98cee27f09c4ecf572115dd33a613cbf404c7b452,1,3,0,0,1,3,0,0,1,0,1,0,1,0,1,2,1
formal80/i10_s0/delayed_+8,formal80/i10_s0,formal80,i10_s0,delayed_+8,10,3,38,16,4,2,0.5,1,1,0.09845592081546783,0.04006584361195564,0.009344418771031258,0.4938766773084054,1,d62065c527b32291314268087b1aa22bda64f874e653c7c94a9df6dff4d6dddb,5cc509f4d4aeb6f37593b28fbd26a7e2cf55f7e9fa936598bb6e7de9a273d058,1,0,1,3,1,0,1,3,1,3,1,3,1,1,0,1,0
formal80/i10_s0/control,formal80/i10_s0,formal80,i10_s0,control,10,3,25,16,4,0,0.0,0,0,0.19015659391880035,0.06726299226284027,0.006972543996950936,0.2547696894414535,1,72a89abab386448b9f6784044f7cf8505105a174709038f2ed26a1f398d930e1,22ae63ff5cd1e832133214107826aab26a3d96d8ed48480922f16f11f711785f,1,0,0,3,0,2,0,3,0,3,0,3,0,3,0,3,0
formal80/i11_s3/triggered,formal80/i11_s3,formal80,i11_s3,triggered,11,0,30,16,4,0,0.0,0,0,0.669296145439148,0.2394876927137375,0.007472527793855443,0.33326868470507914,1,1e1ecb25fe2a39cf2cb952b67aeeea8104c28e4cf32812fd49e3c4d7dde79d5a,886e3b0d67f7452b25d15fce7ce537f2fb9c7bfddff135fc0406f6ef47071de1,1,0,0,2,0,1,0,2,0,2,0,2,0,2,0,2,0
formal80/i11_s3/delayed_+4,formal80/i11_s3,formal80,i11_s3,delayed_+4,11,0,34,16,4,0,0.0,0,0,0.5401238203048706,0.20089368522167206,0.008634984034172724,0.30388229561133157,1,ee94d1cb8d44cd43e1adf50d28e4ccd7b833b3f3caecae7f2a4de37e69558373,573482786167cbbf7f4b0f00b3e05d249abcdd0652a5ec3027043ddc9865c290,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
formal80/i11_s3/delayed_+8,formal80/i11_s3,formal80,i11_s3,delayed_+8,11,0,38,16,4,1,0.25,1,1,0.5017057657241821,0.19794292747974396,0.008241334225585208,0.22520489108660316,1,9d2554b9f8d56f282909099ecaabc3cb27043f9fe733f150f1718210437f450e,a473a039c8e8d66c9fa20926415243c00eaa1f90d1a4b68a545de2db27a92e9b,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
formal80/i11_s3/control,formal80/i11_s3,formal80,i11_s3,control,11,0,17,16,4,0,0.0,0,0,0.12239323556423187,0.05268319696187973,0.007295954044211377,0.2790142098586332,1,651a915930d385f92d79a2259bc0d41f17f3b71a9e7db3622e2cd05ccaafc786,37a06f795c676c08ada303116d528ed90195fe08dbe26531f5e31c681ae6cd14,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
formal80/i15_s1/triggered,formal80/i15_s1,formal80,i15_s1,triggered,15,3,30,16,4,1,0.25,1,1,0.11591483652591705,0.046334825456142426,0.00909372587739876,0.2585049825677311,1,168a1119d79b13a8be9d0668c311667c0ebc34853144fa4db6ae4cd848728970,07c2cd9a94f7e5462fa70f886177aab681c9255fdeb92fd30afa164cb129cfa4,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,1,1
formal80/i15_s1/delayed_+4,formal80/i15_s1,formal80,i15_s1,delayed_+4,15,3,34,16,4,0,0.0,0,0,0.3895206153392792,0.1443662941455841,0.010166351689005744,0.33187469479716447,1,f2383f56b0bd459fc929913441f84ed52f206f61af07fb1757dc98a62f682d18,edef9a587086cbecd882d1ef85b49f0f72685a2d85210b6c82a1a1ed941c89ec,1,2,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0
formal80/i15_s1/delayed_+8,formal80/i15_s1,formal80,i15_s1,delayed_+8,15,3,38,16,4,0,0.0,0,0,0.36146095395088196,0.13081099092960358,0.011940800023425978,0.2730866064670398,1,64d5f5629a6ffd6901ae255ac23c3a54896f64450ecd840ba7abf961a6e1a0fc,8538cac089e826d44e46c5f1fb2bda65213af3df32406e2b06b0b4bd9bc8b7c7,1,1,0,2,0,3,0,2,0,2,0,2,0,2,0,2,0
formal80/i15_s1/control,formal80/i15_s1,formal80,i15_s1,control,15,3,17,16,4,0,0.0,0,0,0.18112805485725403,0.06578759104013443,0.01311617861861865,0.2792616414464815,1,837f754aafef8dfd0ab90c45fd0d16125bbfb838d7287195441be2d1526c418e,44b6f6fff903002ab34b23297c970d3289a5e19b221de14925b1be6e586fcb41,1,3,0,3,0,2,0,3,0,3,0,3,0,3,0,3,0
formal80/i15_s2/triggered,formal80/i15_s2,formal80,i15_s2,triggered,15,3,29,16,4,0,0.0,0,0,0.33223116397857666,0.12272128462791443,0.009507973901261017,0.27095643886093074,1,f1e2c476df9ea6dd21bd937728bfea8bff287acae49b552c19a648c0ad752c37,37784caddf2c0d250de62b6fd4381e0a3efa357e413015eb99d695f6f7a7dcd6,1,3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
formal80/i15_s2/delayed_+4,formal80/i15_s2,formal80,i15_s2,delayed_+4,15,3,33,16,4,0,0.0,0,0,0.12273085862398148,0.05346635356545448,0.008510462530908732,0.1922700954112266,1,0d6f9fe254351a60ebbd47008bfb5566133861f45451fc2267ec840c16a84f46,8460a7c2007fca2363f656174b346492deeb3c3f72add554a4e4735076fb384d,1,0,0,1,0,3,0,1,0,1,0,1,0,1,0,1,0
formal80/i15_s2/delayed_+8,formal80/i15_s2,formal80,i15_s2,delayed_+8,15,3,37,16,4,0,0.0,0,0,0.24290981888771057,0.09652654826641083,0.00960841483535988,0.2873603750469772,1,aabf4f077ce94b1258ea793e974592da307804bbc6869ce43415f0e83c0d2f08,7e40cc986fff5c42a0f30ce3cfa029594b4f5d73e3e503c515ef6864db535ef5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
formal80/i15_s2/control,formal80/i15_s2,formal80,i15_s2,control,15,3,19,16,4,0,0.0,0,0,0.11412534862756729,0.04130009934306145,0.009658784241845787,0.26683221266604723,1,d1e349d8050d9b320dfd6af20e8128c798c00689996af1a617bb7f6107bd597e,ff1efacc24f04cb9049e28790a8237f7f7c2b70642becb7625446b4770107e97,1,0,0,3,0,1,0,3,0,3,0,3,0,0,0,0,0
cap52/i12_s3/triggered,cap52/i12_s3,cap52,i12_s3,triggered,12,1,31,16,4,0,0.0,0,0,0.2340002804994583,0.08439338952302933,0.29236694036573957,0.3877916587531609,1,16d4cd19b675028561aa6af9583403626662d79369d8b06be9a0b5cbf542d3cd,74d8bfe9f1c71fb002dcf13a7dd7575c41a5d251a0a210c85efb48e72c699d00,1,2,0,2,0,3,0,2,0,2,0,2,0,2,0,2,0
cap52/i12_s3/delayed_+4,cap52/i12_s3,cap52,i12_s3,delayed_+4,12,1,35,16,4,0,0.0,0,0,0.10163094103336334,0.03998051956295967,0.01081000419342048,0.216043697260157,1,4083159de77c4a40c467ada1a90ff1478538b20a20762bcae97a6a5a7e02c091,cb77b8e3e15e3c4edb3cbebe48948df3ce9162b17543d84a7aad40d4194bf588,1,2,0,3,0,2,0,0,0,0,0,3,0,3,0,3,0
cap52/i12_s3/control,cap52/i12_s3,cap52,i12_s3,control,12,1,17,16,4,0,0.0,0,0,0.12838874757289886,0.05048245191574097,0.2292799477619862,0.5144675970223833,1,838064359a5599dc2a90f4cc39effa7665f198763348edf7578373b51705adbe,ced8e9e2eb688bb73a7e32e8ed9a337da943747c58ca79a9820e941420f6cd38,1,3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
cap52/i2_s0/triggered,cap52/i2_s0,cap52,i2_s0,triggered,2,1,39,16,4,0,0.0,0,0,0.13041886687278748,0.050762444734573364,0.12036156896380357,0.2586554942966313,0,12bd6a772151b34131c5a8ebe38083cde3edf5a0db3c651323c2267a76f8e12e,3687144fbba2dda0baeb71cc08f11fd61a7b093fae77117bfb8aafbe66310d49,1,2,0,0,0,2,0,0,0,0,0,3,0,3,0,3,0
cap52/i2_s0/delayed_+4,cap52/i2_s0,cap52,i2_s0,delayed_+4,2,1,43,16,4,0,0.0,0,0,0.10607843846082687,0.03859168291091919,0.12094356019016894,0.37485628439891244,1,4bb7427de6f8bc19c4dd3fba1d8f391d054ca6463bd106f221021b137e3e2b09,64b451a92dce759fb3b6138579ff8d0e7c2f09c0597e2ce745c94f2802d73a37,1,3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
cap52/i2_s0/control,cap52/i2_s0,cap52,i2_s0,control,2,1,32,16,4,0,0.0,0,0,0.08696667104959488,0.03077009879052639,0.011565453921977284,0.2935501267043579,1,d99b6a3e0864c9d89fca9f24a402f1d34ccaa9d0680cb368ce1e7863a32b095a,793a849fabb56ad362ad089433e5a055ee408515fe731d45a215782d0f998fb3,1,0,0,2,0,1,0,2,0,2,0,2,0,1,0,2,0
cap52/i2_s1/triggered,cap52/i2_s1,cap52,i2_s1,triggered,2,1,38,16,4,0,0.0,0,0,1.1704696416854858,0.4872759282588959,0.14835147573533614,0.8982807039802744,0,52ee2dcaa51d882f51e62afae82132e4496d0b10673d1fb81b6650a16da9530a,e794febdf45805af533840a53b7137077f574494886af8e4f0e52a5b6b2b2efa,1,1,0,3,0,1,0,3,0,3,0,0,0,3,0,3,0
cap52/i2_s1/delayed_+4,cap52/i2_s1,cap52,i2_s1,delayed_+4,2,1,42,16,4,0,0.0,0,0,0.14769913256168365,0.0533452033996582,0.17191564839427742,0.2761642861237313,1,db22bffa50a75953275a2de1ff09324ec44b9f65b476af3369853d5513c04838,50e453451b7e746fafe7a245f55d99fe2b672eef946885996633b517c9a1ec85,1,2,0,3,0,1,0,3,0,3,0,3,0,3,0,3,0
cap52/i2_s1/control,cap52/i2_s1,cap52,i2_s1,control,2,1,18,16,4,0,0.0,0,0,0.04835858196020126,0.01761363446712494,0.12213894209269227,0.38012322559281136,1,0b10a104513c5d1b068cd8893ba00e3124ee0044703de8677b95562552110c1b,35e78c187d72f893f9ed724a078394ca0629cde6637feff605d40437203c9c51,1,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
cap52/i2_s2/triggered,cap52/i2_s2,cap52,i2_s2,triggered,2,1,30,16,4,0,0.0,0,0,0.1911548674106598,0.09282190352678299,0.008339018654599543,0.330425034527501,0,be42bd8e288508963a9cd56989fffcd4c0452c43c6a7ec9b5c5a25bae2a93d5b,05b2dfeb5af8157c484afac19adf5f241b9c9258badffb72f73e099c6d267732,1,0,0,2,0,0,0,2,0,3,0,3,0,3,0,3,0
cap52/i2_s2/delayed_+4,cap52/i2_s2,cap52,i2_s2,delayed_+4,2,1,34,16,4,0,0.0,0,0,0.1325395554304123,0.05216287821531296,0.00822717714558946,0.3484799320374498,1,9ee456e65c6457aec8f451d431d0757815ac580b2985b6bcb94cd3872b53a806,faff3e3221c6e99f3ab61e363230d998fdd79dc547c5df5b994483f01f41d5a1,1,3,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0
cap52/i2_s2/control,cap52/i2_s2,cap52,i2_s2,control,2,1,19,16,4,0,0.0,0,0,0.08315440267324448,0.032891590148210526,0.009930853075563953,0.2908508681086727,1,834e07614fae3b5a6a0781d4c8475c063e9e004374ccfa268cd2c605ed2449c8,340de2c610ef0929c9d744ffca49494bff5364be53571f8e0f2652ca2080d07b,1,3,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0
k8_routed/i0_s3/triggered,k8_routed/i0_s3,k8_routed,i0_s3,triggered,0,2,37,20,8,7,0.875,1,1,0.20016831159591675,0.0539419911801815,0.007785456227400974,0.20603098677851067,1,283cea5d92c30813ebdd8197979330858971a9c4fb1b46c440e66372d96a6093,019df4b86e77a086f3dfdbc10155d259fa006ef0e65527fa4c95b79234613dd5,2,1,1,0,1,2,0,0,1,0,1,0,1,0,1,0,1
k8_routed/i0_s3/delayed_+4,k8_routed/i0_s3,k8_routed,i0_s3,delayed_+4,0,2,41,20,8,4,0.5,1,1,0.19641602039337158,0.061536725610494614,0.01009126939547338,0.23506982007023244,1,027a6889fbdf447ed75de4c06efcffff3f1f0c29a883afb5f44c78a88168c984,8f1ab502917f77f3862f18ae1b6235d8543cb2922789c278e722d5c5994eda9b,2,1,0,6,0,5,0,4,1,1,0,6,0,2,1,7,1
k8_routed/i0_s3/delayed_+8,k8_routed/i0_s3,k8_routed,i0_s3,delayed_+8,0,2,45,20,8,0,0.0,0,0,0.32662469148635864,0.10015041381120682,0.008038693083901604,0.25470094761564666,1,875c5efeb61580486878ff98fb3d6787f5d6b7534fcfbfed06425c9846ea9e24,8bf693f3b9231b95f55517050121399765ec8939994dafc24ae50e61492f0957,2,0,0,4,0,1,0,4,0,4,0,4,0,4,0,4,0
k8_routed/i0_s3/control,k8_routed/i0_s3,k8_routed,i0_s3,control,0,2,18,20,8,0,0.0,0,0,0.24523746967315674,0.08928166329860687,0.01379425128849134,0.30444392249798347,1,67226af9ae7b7d7fc83d8086cc8dabf3d49f3708829f2fa378dfccd923c58ae0,d1293303f04141886991fa78b8fc197f8c704b59f0c6c926901f481f8ec4d01d,2,5,0,1,0,3,0,1,0,2,0,1,0,5,0,5,0
