snapshot,cluster,cohort,run_id,arm,init_state_id,fold,fork_query,budget,candidate,success,grammar_surprise,clock_surprise,local1_surprise,no_prefix_surprise,candidate_phase,candidate_belief_entropy,next_word_rms,action_novelty,route_novelty,phenotype_entropy_mean,phenotype_entropy_terminal_late_layers,phenotype_entropy_late_flow_late_layers,phenotype_entropy_flow_slope_late_layers,phenotype_margin_mean,phenotype_margin_terminal_late_layers,phenotype_margin_flow_slope_late_layers,phenotype_top1_terminal_late_layers,phenotype_top4_terminal_late_layers,phenotype_soft_consensus_mean,phenotype_soft_consensus_terminal_late_layers,phenotype_top4_consensus_terminal_late_layers,phenotype_effective_rank_mean,phenotype_effective_rank_terminal_late_layers,phenotype_velocity_mean,phenotype_velocity_late_flow_late_layers,phenotype_support_switch_mean,phenotype_support_switch_late_flow_late_layers,phenotype_acceleration_mean,phenotype_acceleration_late_flow_late_layers,phenotype_layer_profile_disagreement_mean,phenotype_layer_profile_disagreement_terminal
formal80/i10_s0/triggered,formal80/i10_s0,formal80,i10_s0,triggered,10,3,30,16,0,0,-0.16157010197639465,-0.16047067940235138,-0.06526849418878555,-0.056243691593408585,0.9185868501663208,0.6576014161109924,0.4633177331973627,0.061885665306481964,0.3849467013135329,0.9938567280769348,0.9964461326599121,0.9969258308410645,-0.00020990082703065127,0.0076321810483932495,0.0023706331849098206,0.0001049102284014225,0.04117768257856369,0.1536565124988556,0.9356827735900879,0.9483669400215149,0.24025973677635193,0.2445354163646698,0.22073563933372498,0.0068201906979084015,0.010424110107123852,0.24632033705711365,0.27676764130592346,0.009502256289124489,0.009602070786058903,0.01949656382203102,0.02192717418074608
formal80/i10_s0/triggered,formal80/i10_s0,formal80,i10_s0,triggered,10,3,30,16,1,0,-0.013308496214449406,-0.01210129912942648,0.15619027614593506,0.3229546546936035,0.9067461490631104,0.6647711396217346,0.7276704466873463,0.06289089107037327,0.2627340971691401,0.9938443303108215,0.9965286254882812,0.9971552491188049,-0.0001711527438601479,0.0075734443962574005,0.0017464403063058853,-0.00010846590157598257,0.04023571312427521,0.1524464190006256,0.9353997111320496,0.9531834721565247,0.2927272915840149,0.24380254745483398,0.2093219757080078,0.006700417958199978,0.010131734423339367,0.23753245174884796,0.24444444477558136,0.009201660752296448,0.008411809802055359,0.020017987117171288,0.024353567510843277
formal80/i10_s0/triggered,formal80/i10_s0,formal80,i10_s0,triggered,10,3,30,16,2,0,-0.1590338796377182,-0.16035769879817963,0.043334249407052994,0.26487302780151367,0.9246239066123962,0.4792422950267792,0.6029554455318374,0.1735132799378276,0.24993282403893238,0.9938154220581055,0.9964379072189331,0.9970889687538147,-0.0001962257083505392,0.007648204453289509,0.002130683045834303,-8.016921492526308e-05,0.0405220203101635,0.152250275015831,0.9358590245246887,0.9515893459320068,0.24926409125328064,0.24019446969032288,0.215020090341568,0.006861940026283264,0.010736861266195774,0.2414502203464508,0.23434342443943024,0.009374282322824001,0.00887834932655096,0.021018942818045616,0.021808309480547905
formal80/i10_s0/triggered,formal80/i10_s0,formal80,i10_s0,triggered,10,3,30,16,3,0,-0.18363061547279358,-0.18659654259681702,-0.01147352997213602,0.016429297626018524,0.9432878494262695,0.30200961232185364,0.7513842391764917,0.06269286828156051,0.290858612062589,0.9939676523208618,0.9965988397598267,0.9972404837608337,-0.00017445304547436535,0.007320179138332605,0.0016021998599171638,-0.0001049205893650651,0.04007243737578392,0.1524965912103653,0.9379259347915649,0.9545451998710632,0.27662336826324463,0.23545987904071808,0.20229315757751465,0.006730229593813419,0.009977975860238075,0.24576838314533234,0.30591630935668945,0.00940079614520073,0.008355118334293365,0.020391328260302544,0.021300533786416054
formal80/i10_s0/delayed_+4,formal80/i10_s0,formal80,i10_s0,delayed_+4,10,3,34,16,0,1,-0.15596887469291687,-0.15547150373458862,-0.1559302806854248,0.3837507665157318,0.9583009481430054,0.0007488853298127651,0.892682659034069,0.1747261928967107,0.2674697838733189,0.9950990676879883,0.99668288230896,0.9973152279853821,-0.00015985892969183624,0.005436356645077467,0.0018754517659544945,-0.00022773424279876053,0.040470004081726074,0.15275391936302185,0.9407121539115906,0.9523974657058716,0.2482251077890396,0.23502083122730255,0.2137453556060791,0.007087731268256903,0.011795230209827423,0.24871210753917694,0.3220779001712799,0.009492957964539528,0.009145043790340424,0.019613249227404594,0.0188872329890728
formal80/i10_s0/delayed_+4,formal80/i10_s0,formal80,i10_s0,delayed_+4,10,3,34,16,1,0,0.023482520133256912,0.023982638493180275,0.023523889482021332,0.5646277666091919,0.9583035707473755,0.0006642276421189308,0.8449542453668879,0.06191988838022077,0.2382008865058652,0.9950157999992371,0.9968593120574951,0.9975075721740723,-0.00013586679415311664,0.0054121194407343864,0.002342939842492342,-0.000188769496162422,0.04069940745830536,0.15249651670455933,0.938454270362854,0.9557143449783325,0.25281384587287903,0.24308612942695618,0.20449833571910858,0.007146780379116535,0.010326402261853218,0.2522943615913391,0.28484848141670227,0.009578700177371502,0.00782467145472765,0.018843308091163635,0.019516702741384506
formal80/i10_s0/delayed_+4,formal80/i10_s0,formal80,i10_s0,delayed_+4,10,3,34,16,2,1,-0.02908654324710369,-0.02865113876760006,-0.029046351090073586,0.35219958424568176,0.95819091796875,0.0032522135879844427,0.7303094011707157,0.06188971509054346,0.3179885411169574,0.9950578808784485,0.9966044425964355,0.9972397685050964,-0.0001793427945813164,0.005196102894842625,0.002172280801460147,-3.9313068555202335e-05,0.040810152888298035,0.15331971645355225,0.939755916595459,0.9555891752243042,0.30147188901901245,0.23915596306324005,0.20370998978614807,0.006744843907654285,0.010087043046951294,0.24580088257789612,0.293795108795166,0.009196405299007893,0.007814176380634308,0.01760994642972946,0.020216751843690872
formal80/i10_s0/delayed_+4,formal80/i10_s0,formal80,i10_s0,delayed_+4,10,3,34,16,3,0,0.06081531196832657,0.061320338398218155,0.06085817143321037,0.597191572189331,0.9583224654197693,0.00027875040541402996,0.9859368403723018,0.061489681522691304,0.2592852710767183,0.9951688647270203,0.9968195557594299,0.9974594116210938,-0.00014993494551163167,0.0052875252440571785,0.0019545424729585648,-0.00019972067093476653,0.040398433804512024,0.15251606702804565,0.9424040913581848,0.957219123840332,0.3307359218597412,0.22850926220417023,0.19681331515312195,0.006714423652738333,0.010455180890858173,0.24443721771240234,0.30909088253974915,0.009386999532580376,0.008109698072075844,0.018842872232198715,0.020659033209085464
formal80/i10_s0/delayed_+8,formal80/i10_s0,formal80,i10_s0,delayed_+8,10,3,38,16,0,1,0.03295407444238663,0.03315918892621994,0.2983553111553192,0.3949282169342041,0.9566431641578674,0.025213167071342468,0.8296096028375088,0.00620748706414914,0.2972488944671828,0.9944519996643066,0.9966193437576294,0.9972475171089172,-0.00016459840117022395,0.0064431787468492985,0.002172328531742096,-0.00011171343794558197,0.040988095104694366,0.15389394760131836,0.9392908811569214,0.9538171291351318,0.31844156980514526,0.23296158015727997,0.2030237913131714,0.0067243450321257114,0.010354886762797832,0.2537662386894226,0.30505049228668213,0.009266197681427002,0.008027271367609501,0.018285449594259262,0.022181570529937744
formal80/i10_s0/delayed_+8,formal80/i10_s0,formal80,i10_s0,delayed_+8,10,3,38,16,1,0,-0.05000051483511925,-0.04991013556718826,-0.016487546265125275,-0.060618624091148376,0.9560098052024841,0.06054161861538887,0.6510839581756298,0.006878511472420933,0.38414830580472287,0.9943689107894897,0.9965680837631226,0.9970474243164062,-0.00018993724370375276,0.0066304998472332954,0.002025230322033167,9.476890227233525e-06,0.04125385358929634,0.15465757250785828,0.9377535581588745,0.9512898921966553,0.3213852643966675,0.23930978775024414,0.21180611848831177,0.006921442691236734,0.010816606692969799,0.24564936757087708,0.24646465480327606,0.009588031098246574,0.009949073195457458,0.018615856766700745,0.021590258926153183
