snapshot,episode,fork_step,candidate_i,candidate_j,d_action,d_physics,proxy_outcome_gap,dX_arm_qpos_endpoint_native,dX_eef_position_endpoint_m,dX_gripper_qpos_endpoint_native,dX_object_joint_endpoint_native,dX_object_orientation_endpoint_rad,dX_object_translation_endpoint_m,d_action_full_gripper,d_action_rms,d_physics_component_count,proxy_command_redundancy,proxy_control_equivalence,proxy_critical_microdifference,proxy_outcome_i,proxy_outcome_j,proxy_physics_amplification,d_route,action_stratum,outcome_relation
ep0/t6,0,6,0,1,0.15032240091717072,0.48977607897961845,0.0,0.0047704345031775956,0.002663149692375188,2.482940305003133e-05,0.0,0.0,0.0,0.1514071775317639,0.06042007838929197,6,False,False,False,0.0,0.0,False,0.02403159449203756,middle,same
ep0/t6,0,6,0,2,0.12187606145162408,0.2953774198632799,0.0,0.00434678012325555,0.0013994484626233044,8.809159603421657e-06,0.0,0.0,0.0,0.12435817006476943,0.0488650586537626,6,False,False,False,0.0,0.0,False,0.02173362683559078,near,same
ep0/t6,0,6,0,3,0.1588330867681594,0.3718464603647734,0.0,0.008987198875222103,0.00035822050295833207,2.7406141416299994e-06,0.0,0.0,0.0,0.15988461701971435,0.06385887759529646,6,False,False,False,0.0,0.0,False,0.02422324492373887,middle,same
ep0/t6,0,6,0,4,0.12790605293754476,0.3123891545616863,0.0,0.004651027998282308,0.0014701778455505812,8.169349366527696e-06,0.0,0.0,0.0,0.13190339247953145,0.05278310325614021,6,False,False,False,0.0,0.0,False,0.022819590086969783,near,same
ep0/t6,0,6,0,5,0.13152019215865215,0.8271153864786243,0.0,0.008160703831104097,0.004171275653090716,0.0008836288985600195,0.0,0.0,8.673617379884035e-19,0.13529725320790528,0.05645351263516942,6,False,False,False,0.0,0.0,False,0.025015210656906192,middle,same
ep0/t6,0,6,0,6,0.12484990606160944,0.38629187048011626,0.0,0.0070688979548197625,0.0008145461753551065,0.0006870456347967244,0.0,0.0,8.673617379884035e-19,0.12852453922120818,0.051146785656291376,6,False,False,False,0.0,0.0,False,0.022393265174685425,near,same
ep0/t6,0,6,0,7,0.1309330322628836,0.3760413076064824,0.0,0.0070026579410777555,0.0006470241410283881,0.0006922018627691662,0.0,0.0,8.673617379884035e-19,0.13303775020184946,0.051910198500527915,6,False,False,False,0.0,0.0,False,0.02266784556207287,middle,same
ep0/t6,0,6,0,8,0.1488870297357151,0.35315184656837745,0.0,0.005258041945878445,0.0016615580053261471,2.236932049564589e-05,0.0,0.0,0.0,0.15312239913335637,0.06034510021602889,6,False,False,False,0.0,0.0,False,0.02360313780261032,middle,same
ep0/t6,0,6,0,9,0.12670367869273116,0.37663756028377,0.0,0.004334418072823197,0.0019704352896067496,1.4741821409378709e-05,0.0,0.0,0.0,0.12947067547220534,0.05125474872610556,6,False,False,False,0.0,0.0,False,0.02720154831934351,near,same
ep0/t6,0,6,0,10,0.1394348061875353,0.5087807936026364,0.0,0.005578108364469757,0.002355352131232135,0.0007016859577369262,0.0,0.0,8.673617379884035e-19,0.1405901148537138,0.05509309613732506,6,False,False,False,0.0,0.0,False,0.02388964316833045,middle,same
ep0/t6,0,6,0,11,0.14462954748835877,0.5177460687706327,0.0,0.007927390051030199,0.0023952014699415115,1.1459952706929204e-05,0.0,0.0,0.0,0.14644261170439135,0.06076622772079489,6,False,False,False,0.0,0.0,False,0.022537411061189404,middle,same
