query,score,target,within_group_auc,pairs
30,single,trap,0.7923287671232877,1825
30,single,loop,0.5074276778733385,1279
30,single,static,0.8297511312217195,1768
30,single_soft,trap,0.7386301369863014,1825
30,single_soft,loop,0.4839718530101642,1279
30,single_soft,static,0.790158371040724,1768
30,shared_loop,trap,0.6515068493150685,1825
30,shared_loop,loop,0.5480844409695075,1279
30,shared_loop,static,0.6464932126696833,1768
30,shared_static,trap,0.7616438356164383,1825
30,shared_static,loop,0.47068021892103207,1279
30,shared_static,static,0.8246606334841629,1768
30,typed_loop,trap,0.6372602739726028,1825
30,typed_loop,loop,0.49335418295543393,1279
30,typed_loop,static,0.6498868778280543,1768
30,typed_static,trap,0.7665753424657534,1825
30,typed_static,loop,0.48866301798279904,1279
30,typed_static,static,0.831447963800905,1768
30,typed_soft_loop,trap,0.6186301369863013,1825
30,typed_soft_loop,loop,0.5261923377638781,1279
30,typed_soft_loop,static,0.6182126696832579,1768
30,typed_soft_static,trap,0.7123287671232876,1825
30,typed_soft_static,loop,0.4659890539483972,1279
30,typed_soft_static,static,0.8014705882352942,1768
30,double_shared_max,trap,0.7471232876712329,1825
30,double_shared_max,loop,0.5762314308053167,1279
30,double_shared_max,static,0.7364253393665159,1768
30,double_shared_noisy_or,trap,0.7758904109589041,1825
30,double_shared_noisy_or,loop,0.4988272087568413,1279
30,double_shared_noisy_or,static,0.8257918552036199,1768
30,double_typed_max,trap,0.7295890410958904,1825
30,double_typed_max,loop,0.5437842064112588,1279
30,double_typed_max,static,0.7406674208144797,1768
30,double_typed_noisy_or,trap,0.7841095890410958,1825
30,double_typed_noisy_or,loop,0.5089913995308835,1279
30,double_typed_noisy_or,static,0.8331447963800905,1768
30,double_typed_soft_max,trap,0.6958904109589041,1825
30,double_typed_soft_max,loop,0.5680218921032056,1279
30,double_typed_soft_max,static,0.6996606334841629,1768
30,double_typed_soft_noisy_or,trap,0.7419178082191781,1825
30,double_typed_soft_noisy_or,loop,0.5324472243940579,1279
30,double_typed_soft_noisy_or,static,0.7833710407239819,1768
34,single,trap,0.8942465753424658,1825
34,single,loop,0.5770132916340891,1279
34,single,static,0.878393665158371,1768
34,single_soft,trap,0.886027397260274,1825
34,single_soft,loop,0.5801407349491791,1279
34,single_soft,static,0.8614253393665159,1768
34,shared_loop,trap,0.7791780821917809,1825
34,shared_loop,loop,0.8295543393275997,1279
34,shared_loop,static,0.5599547511312217,1768
34,shared_static,trap,0.770958904109589,1825
34,shared_static,loop,0.34010946051602814,1279
34,shared_static,static,0.9349547511312217,1768
34,typed_loop,trap,0.7594520547945205,1825
34,typed_loop,loop,0.8670836591086787,1279
34,typed_loop,static,0.5135746606334841,1768
34,typed_static,trap,0.7676712328767124,1825
34,typed_static,loop,0.35105551211884284,1279
34,typed_static,static,0.9253393665158371,1768
34,typed_soft_loop,trap,0.7736986301369863,1825
34,typed_soft_loop,loop,0.8631743549648163,1279
34,typed_soft_loop,static,0.5288461538461539,1768
34,typed_soft_static,trap,0.7364383561643836,1825
34,typed_soft_static,loop,0.3346364347146208,1279
34,typed_soft_static,static,0.9123303167420814,1768
34,double_shared_max,trap,0.8394520547945206,1825
34,double_shared_max,loop,0.6966379984362784,1279
34,double_shared_max,static,0.7347285067873304,1768
34,double_shared_noisy_or,trap,0.9123287671232877,1825
34,double_shared_noisy_or,loop,0.6200156372165755,1279
34,double_shared_noisy_or,static,0.870475113122172,1768
34,double_typed_max,trap,0.8128767123287671,1825
34,double_typed_max,loop,0.72556684910086,1279
34,double_typed_max,static,0.685237556561086,1768
34,double_typed_noisy_or,trap,0.8904109589041096,1825
34,double_typed_noisy_or,loop,0.6606724003127443,1279
34,double_typed_noisy_or,static,0.8127828054298643,1768
34,double_typed_soft_max,trap,0.8112328767123288,1825
34,double_typed_soft_max,loop,0.7032838154808444,1279
34,double_typed_soft_max,static,0.7039027149321267,1768
34,double_typed_soft_noisy_or,trap,0.869041095890411,1825
34,double_typed_soft_noisy_or,loop,0.6880375293197811,1279
34,double_typed_soft_noisy_or,static,0.7692307692307693,1768
