episode_id,init_state_id,query,method,score,threshold,fired
0,0,12,single,0.37388706326947707,0.8002717334147347,False
0,0,12,double_shared_max,0.4366956725955617,0.7971970517340012,False
0,0,12,double_shared_noisy_or,0.6441577009695927,0.9230434346424627,False
0,0,12,double_typed_max,0.44273549905590354,0.7386961999004723,False
0,0,12,double_typed_noisy_or,0.6866756918564916,0.883317912519382,False
0,0,13,single,0.391155187940709,0.8002717334147347,False
0,0,13,double_shared_max,0.4314051297492965,0.7971970517340012,False
0,0,13,double_shared_noisy_or,0.6577958447588022,0.9230434346424627,False
0,0,13,double_typed_max,0.5376061985540943,0.7386961999004723,False
0,0,13,double_typed_noisy_or,0.7472700435860499,0.883317912519382,False
0,0,14,single,0.34750021235008266,0.8002717334147347,False
0,0,14,double_shared_max,0.37672094282434576,0.7971970517340012,False
0,0,14,double_shared_noisy_or,0.609375977398501,0.9230434346424627,False
0,0,14,double_typed_max,0.4968978158528767,0.7386961999004723,False
0,0,14,double_typed_noisy_or,0.7023541210314587,0.883317912519382,False
0,0,15,single,0.4234484985821803,0.8002717334147347,False
0,0,15,double_shared_max,0.433679836043381,0.7971970517340012,False
0,0,15,double_shared_noisy_or,0.67558786764746,0.9230434346424627,False
0,0,15,double_typed_max,0.510606881218102,0.7386961999004723,False
0,0,15,double_typed_noisy_or,0.7130262107009798,0.883317912519382,False
0,0,16,single,0.524472101747984,0.8002717334147347,False
0,0,16,double_shared_max,0.5193849901335433,0.7971970517340012,False
0,0,16,double_shared_noisy_or,0.7499997358011856,0.9230434346424627,False
0,0,16,double_typed_max,0.5274522797413372,0.7386961999004723,False
0,0,16,double_typed_noisy_or,0.7688060820936753,0.883317912519382,False
0,0,17,single,0.48433169140035315,0.8002717334147347,False
0,0,17,double_shared_max,0.5381105102573197,0.7971970517340012,False
0,0,17,double_shared_noisy_or,0.7456049697448839,0.9230434346424627,False
0,0,17,double_typed_max,0.5041396636341191,0.7386961999004723,False
0,0,17,double_typed_noisy_or,0.6880848657929913,0.883317912519382,False
0,0,18,single,0.5057796481799193,0.8002717334147347,False
0,0,18,double_shared_max,0.5856434387211013,0.7971970517340012,False
0,0,18,double_shared_noisy_or,0.7718169465126272,0.9230434346424627,False
0,0,18,double_typed_max,0.5865244724054616,0.7386961999004723,False
0,0,18,double_typed_noisy_or,0.6881482694597658,0.883317912519382,False
0,0,19,single,0.6219319557880079,0.8002717334147347,False
0,0,19,double_shared_max,0.599425737676546,0.7971970517340012,False
0,0,19,double_shared_noisy_or,0.834011980273494,0.9230434346424627,False
0,0,19,double_typed_max,0.569617968861909,0.7386961999004723,False
0,0,19,double_typed_noisy_or,0.7211689490414652,0.883317912519382,False
0,0,20,single,0.5279179813701517,0.8002717334147347,False
0,0,20,double_shared_max,0.564574177174194,0.7971970517340012,False
0,0,20,double_shared_noisy_or,0.7862065073549953,0.9230434346424627,False
0,0,20,double_typed_max,0.5610287043996511,0.7386961999004723,False
0,0,20,double_typed_noisy_or,0.7158132673665547,0.883317912519382,False
0,0,21,single,0.45354356328057116,0.8002717334147347,False
0,0,21,double_shared_max,0.520901729722233,0.7971970517340012,False
0,0,21,double_shared_noisy_or,0.7310240373290224,0.9230434346424627,False
0,0,21,double_typed_max,0.5301766961521602,0.7386961999004723,False
0,0,21,double_typed_noisy_or,0.6974334968050668,0.883317912519382,False
0,0,22,single,0.4065281250400618,0.8002717334147347,False
0,0,22,double_shared_max,0.44488371540375393,0.7971970517340012,False
0,0,22,double_shared_noisy_or,0.6678465338642556,0.9230434346424627,False
0,0,22,double_typed_max,0.5326657449755574,0.7386961999004723,False
0,0,22,double_typed_noisy_or,0.733684575050148,0.883317912519382,False
0,0,23,single,0.43214376003238436,0.8002717334147347,False
0,0,23,double_shared_max,0.4857952946419714,0.7971970517340012,False
0,0,23,double_shared_noisy_or,0.6849048430031908,0.9230434346424627,False
0,0,23,double_typed_max,0.5704337269575224,0.7386961999004723,False
0,0,23,double_typed_noisy_or,0.7300919930858789,0.883317912519382,False
0,0,24,single,0.48641074481096686,0.8002717334147347,False
0,0,24,double_shared_max,0.5354121735530953,0.7971970517340012,False
0,0,24,double_shared_noisy_or,0.713886300760004,0.9230434346424627,False
0,0,24,double_typed_max,0.6579847530025866,0.7386961999004723,False
0,0,24,double_typed_noisy_or,0.7888910304021762,0.883317912519382,False
0,0,25,single,0.5266477447591056,0.8002717334147347,False
0,0,25,double_shared_max,0.5483521922987438,0.7971970517340012,False
0,0,25,double_shared_noisy_or,0.731759792465321,0.9230434346424627,False
0,0,25,double_typed_max,0.686790136486618,0.7386961999004723,False
0,0,25,double_typed_noisy_or,0.8187834463694126,0.883317912519382,False
0,0,26,single,0.6935867406310835,0.8002717334147347,False
0,0,26,double_shared_max,0.6869844118010261,0.7971970517340012,False
0,0,26,double_shared_noisy_or,0.8414426846981815,0.9230434346424627,False
0,0,26,double_typed_max,0.7483214923979373,0.7386961999004723,True
