held_out_init_state,method,threshold,calibration_control_n,nominal_false_alarm,inner_control_fa
0,single,0.8002717334147347,304,0.08,0.08223684210526316
0,double_shared_max,0.7971970517340012,304,0.08,0.08223684210526316
0,double_shared_noisy_or,0.9230434346424627,304,0.08,0.08223684210526316
0,double_typed_max,0.7386961999004723,304,0.08,0.08223684210526316
0,double_typed_noisy_or,0.883317912519382,304,0.08,0.08223684210526316
3,single,0.7663428450341622,312,0.08,0.08012820512820513
3,double_shared_max,0.7945149737851624,312,0.08,0.08012820512820513
3,double_shared_noisy_or,0.9070332718310173,312,0.08,0.08012820512820513
3,double_typed_max,0.7461224294763724,312,0.08,0.08012820512820513
3,double_typed_noisy_or,0.8798210823871593,312,0.08,0.08012820512820513
7,single,0.7840413343877837,290,0.08,0.08275862068965517
7,double_shared_max,0.8009675701548683,290,0.08,0.08275862068965517
7,double_shared_noisy_or,0.918205599640761,290,0.08,0.08275862068965517
7,double_typed_max,0.7412831997356619,290,0.08,0.08275862068965517
7,double_typed_noisy_or,0.8820354680558118,290,0.08,0.08275862068965517
10,single,0.7879060490919104,309,0.08,0.08090614886731391
10,double_shared_max,0.8063376240725898,309,0.08,0.08090614886731391
10,double_shared_noisy_or,0.9232704605010726,309,0.08,0.08090614886731391
10,double_typed_max,0.7338793007641259,309,0.08,0.08090614886731391
10,double_typed_noisy_or,0.8797045626910764,309,0.08,0.08090614886731391
13,single,0.7960363032120101,310,0.08,0.08064516129032258
13,double_shared_max,0.814227889664584,310,0.08,0.08064516129032258
13,double_shared_noisy_or,0.9204080668113014,310,0.08,0.08064516129032258
13,double_typed_max,0.7365481675132518,310,0.08,0.08064516129032258
13,double_typed_noisy_or,0.8832264601493192,310,0.08,0.08064516129032258
16,single,0.782392616454143,290,0.08,0.08275862068965517
16,double_shared_max,0.7936973474380151,290,0.08,0.08275862068965517
16,double_shared_noisy_or,0.9138435367176961,290,0.08,0.08275862068965517
16,double_typed_max,0.7359706161875903,290,0.08,0.08275862068965517
16,double_typed_noisy_or,0.8775153878458425,290,0.08,0.08275862068965517
20,single,0.7692739141522813,289,0.08,0.08304498269896193
20,double_shared_max,0.8001007680741863,289,0.08,0.08304498269896193
20,double_shared_noisy_or,0.917151241795516,289,0.08,0.08304498269896193
20,double_typed_max,0.7366881187251522,289,0.08,0.08304498269896193
20,double_typed_noisy_or,0.8836886517460409,289,0.08,0.08304498269896193
23,single,0.7810635457209316,288,0.08,0.0798611111111111
23,double_shared_max,0.7968782885440269,288,0.08,0.0798611111111111
23,double_shared_noisy_or,0.9121144153975451,288,0.08,0.0798611111111111
23,double_typed_max,0.738760307688722,288,0.08,0.0798611111111111
23,double_typed_noisy_or,0.8811018921422117,288,0.08,0.0798611111111111
26,single,0.786110978801095,308,0.08,0.08116883116883117
26,double_shared_max,0.8066467430362269,308,0.08,0.08116883116883117
26,double_shared_noisy_or,0.9189674385440371,308,0.08,0.08116883116883117
26,double_typed_max,0.7425088915530645,308,0.08,0.08116883116883117
26,double_typed_noisy_or,0.8801499430382687,308,0.08,0.08116883116883117
29,single,0.7940795379397941,289,0.08,0.08304498269896193
29,double_shared_max,0.7953388179757613,289,0.08,0.08304498269896193
29,double_shared_noisy_or,0.9180607545534494,289,0.08,0.08304498269896193
29,double_typed_max,0.7378599885719513,289,0.08,0.08304498269896193
29,double_typed_noisy_or,0.8789881888104727,289,0.08,0.08304498269896193
33,single,0.8013333234160017,287,0.08,0.08013937282229965
33,double_shared_max,0.8049057840433907,287,0.08,0.08013937282229965
33,double_shared_noisy_or,0.9211877569065439,287,0.08,0.08013937282229965
33,double_typed_max,0.742884079414174,287,0.08,0.08013937282229965
33,double_typed_noisy_or,0.8815999462878061,287,0.08,0.08013937282229965
36,single,0.8160051549987382,287,0.08,0.08013937282229965
36,double_shared_max,0.7973480883545098,287,0.08,0.08013937282229965
36,double_shared_noisy_or,0.9155234182328965,287,0.08,0.08013937282229965
36,double_typed_max,0.7304793744664805,287,0.08,0.08013937282229965
36,double_typed_noisy_or,0.8761957383731811,287,0.08,0.08013937282229965
39,single,0.783167934731405,313,0.08,0.07987220447284345
39,double_shared_max,0.7932388133384858,313,0.08,0.07987220447284345
39,double_shared_noisy_or,0.919111938087842,313,0.08,0.07987220447284345
39,double_typed_max,0.7467476385240934,313,0.08,0.07987220447284345
39,double_typed_noisy_or,0.8818907449112154,313,0.08,0.07987220447284345
42,single,0.7933088434116811,303,0.08,0.08250825082508251
42,double_shared_max,0.7986896488900748,303,0.08,0.08250825082508251
42,double_shared_noisy_or,0.9210622872834582,303,0.08,0.08250825082508251
42,double_typed_max,0.7406616292224976,303,0.08,0.08250825082508251
42,double_typed_noisy_or,0.887933268838352,303,0.08,0.08250825082508251
46,single,0.7898643980702434,287,0.08,0.08013937282229965
46,double_shared_max,0.8002977933115779,287,0.08,0.08013937282229965
46,double_shared_noisy_or,0.9161023305593782,287,0.08,0.08013937282229965
46,double_typed_max,0.7396553001864419,287,0.08,0.08013937282229965
46,double_typed_noisy_or,0.8815001296774795,287,0.08,0.08013937282229965
49,single,0.7785656831522878,319,0.08,0.08150470219435736
49,double_shared_max,0.7935502519474098,319,0.08,0.08150470219435736
49,double_shared_noisy_or,0.9207763045706701,319,0.08,0.08150470219435736
49,double_typed_max,0.7276712938791182,319,0.08,0.08150470219435736
49,double_typed_noisy_or,0.88472205841185,319,0.08,0.08150470219435736
