method,false_alarm_rate,precision_trap,recall_trap,recall_loop,recall_static,macro_type_recall,recall_onset_by_q34,selected_n,false_alarm_n,detected_trap_n,median_lead_detected,fraction_detected_on_or_before_onset
double_shared_max,0.08150470219435736,0.8586956521739131,0.8186528497409327,0.5263157894736842,0.9383561643835616,0.7323359769286228,0.2777777777777778,184,26,158,6.0,1.0
double_shared_noisy_or,0.07210031347962383,0.863905325443787,0.7564766839378239,0.5087719298245614,0.8561643835616438,0.6824681566931026,0.2777777777777778,169,23,146,6.0,1.0
double_typed_max,0.07210031347962383,0.7850467289719626,0.43523316062176165,0.3508771929824561,0.4657534246575342,0.40831530881999517,0.3333333333333333,107,23,84,8.0,1.0
double_typed_noisy_or,0.07836990595611286,0.7916666666666666,0.49222797927461137,0.43859649122807015,0.5273972602739726,0.48299687575102135,0.2222222222222222,120,25,95,8.0,1.0
single,0.07210031347962383,0.8789473684210526,0.8652849740932642,0.5964912280701754,0.9726027397260274,0.7845469838981014,0.2222222222222222,190,23,167,7.0,1.0
