query,per_head_budget,family,metric,delta,ci95_low,ci95_high,bootstrap_p_two_sided,n_groups,n_bootstrap,n_bootstrap_effective
30,4,shared,loop_precision_head_minus_single_k,0.109375,-0.03125,0.265625,0.18369081545922702,16,20000,20000
30,4,shared,loop_recall_head_minus_single_k,0.12280701754385964,-0.07407407407407407,0.22413793103448276,0.18369081545922702,16,20000,20000
30,4,shared,static_precision_head_minus_single_k,-0.015625,-0.0625,0.03125,0.7824608769561522,16,20000,20000
30,4,shared,static_recall_head_minus_single_k,-0.00684931506849315,-0.02985074626865669,0.01875294811320728,0.7824608769561522,16,20000,20000
30,4,shared,union_trap_precision_minus_matched_single,-0.03508771929824561,-0.07207207207207206,0.0,0.11259437028148593,16,20000,20000
30,4,shared,union_trap_recall_minus_matched_single,-0.020725388601036288,-0.05113702431289641,0.0,0.11259437028148593,16,20000,20000
30,4,shared,union_loop_recall_minus_matched_single,0.07017543859649122,-0.03278688524590162,0.1935483870967742,0.23248837558122093,16,20000,20000
30,4,shared,union_static_recall_minus_matched_single,-0.07534246575342463,-0.15887850467289716,-0.027321162444113346,0.000199990000499975,16,20000,20000
30,4,shared,union_macro_recall_minus_matched_single,-0.002583513578466645,-0.07444219678268511,0.06797857037990383,0.87995600219989,16,20000,20000
30,4,typed,loop_precision_head_minus_single_k,0.078125,-0.046875,0.203125,0.2764861756912154,16,20000,20000
30,4,typed,loop_recall_head_minus_single_k,0.08771929824561403,-0.08695652173913043,0.16417910447761194,0.2764861756912154,16,20000,20000
30,4,typed,static_precision_head_minus_single_k,-0.015625,-0.078125,0.046875,0.824158792060397,16,20000,20000
30,4,typed,static_recall_head_minus_single_k,-0.00684931506849315,-0.037037037037037035,0.02976412579957337,0.824158792060397,16,20000,20000
30,4,typed,union_trap_precision_minus_matched_single,-0.01754385964912275,-0.04347826086956519,0.0,0.23618819059047047,16,20000,20000
30,4,typed,union_trap_recall_minus_matched_single,-0.010362694300518172,-0.029197080291970823,0.0,0.23618819059047047,16,20000,20000
30,4,typed,union_loop_recall_minus_matched_single,0.08771929824561403,0.0,0.169811320754717,0.08689565521723913,16,20000,20000
30,4,typed,union_static_recall_minus_matched_single,-0.047945205479452024,-0.1092469800420168,-0.0136986301369863,0.0042997850107494625,16,20000,20000
30,4,typed,union_macro_recall_minus_matched_single,0.019887046383080975,-0.024337024078870423,0.06023348098929476,0.3766811659417029,16,20000,20000
30,4,typed_soft,loop_precision_head_minus_single_k,0.125,-0.03125,0.28125,0.13869306534673267,16,20000,20000
30,4,typed_soft,loop_recall_head_minus_single_k,0.14035087719298245,-0.05266714082503553,0.24561403508771928,0.13869306534673267,16,20000,20000
30,4,typed_soft,static_precision_head_minus_single_k,-0.078125,-0.203125,0.015625,0.20328983550822458,16,20000,20000
30,4,typed_soft,static_recall_head_minus_single_k,-0.03424657534246575,-0.08421052631578946,0.011977851525863788,0.20328983550822458,16,20000,20000
30,4,typed_soft,union_trap_precision_minus_matched_single,-0.051282051282051266,-0.10924369747899165,-0.008620689655172376,0.020598970051497426,16,20000,20000
30,4,typed_soft,union_trap_recall_minus_matched_single,-0.031088082901554404,-0.07407407407407407,-0.004950495049504955,0.020598970051497426,16,20000,20000
30,4,typed_soft,union_loop_recall_minus_matched_single,0.12280701754385964,-0.0357142857142857,0.26315789473684215,0.14349282535873206,16,20000,20000
30,4,typed_soft,union_static_recall_minus_matched_single,-0.08904109589041093,-0.15596330275229353,-0.04069767441860467,0.000599970001499925,16,20000,20000
30,4,typed_soft,union_macro_recall_minus_matched_single,0.016882960826724358,-0.06764159451659452,0.0890157978605792,0.7275636218189091,16,20000,20000
30,8,shared,loop_precision_head_minus_single_k,0.046875,-0.03125,0.1328125,0.3031848407579621,16,20000,20000
30,8,shared,loop_recall_head_minus_single_k,0.10526315789473684,-0.12195121951219509,0.24193972835314057,0.3031848407579621,16,20000,20000
30,8,shared,static_precision_head_minus_single_k,-0.0078125,-0.046875,0.0234375,0.9187540622968852,16,20000,20000
30,8,shared,static_recall_head_minus_single_k,-0.006849315068493178,-0.03999999999999998,0.02020202020202022,0.9187540622968852,16,20000,20000
30,8,shared,union_trap_precision_minus_matched_single,-0.009852216748768516,-0.04390243902439028,0.024390243902439046,0.6532673366331684,16,20000,20000
30,8,shared,union_trap_recall_minus_matched_single,-0.010362694300518172,-0.04672897196261677,0.0282499200511671,0.6532673366331684,16,20000,20000
30,8,shared,union_loop_recall_minus_matched_single,0.07017543859649122,-0.015151515151515138,0.18869199388067204,0.17329133543322833,16,20000,20000
30,8,shared,union_static_recall_minus_matched_single,-0.04109589041095896,-0.09016547516331812,0.0,0.11309434528273586,16,20000,20000
30,8,shared,union_macro_recall_minus_matched_single,0.014539774092766189,-0.02970915966137818,0.06606138975966556,0.49297535123243835,16,20000,20000
