query,budget,label_scope,method,baseline,metric,delta,ci95_low,ci95_high,bootstrap_p_two_sided,n_groups,n_bootstrap,n_bootstrap_effective
30,4,eventual,single_soft,single,precision_trap,-0.015625,-0.046875,0.0,0.7176641167941603,16,20000,20000
30,4,eventual,single_soft,single,recall_trap,-0.005181347150259058,-0.016854525197932974,0.0,0.7176641167941603,16,20000,20000
30,4,eventual,single_soft,single,recall_loop,0.05263157894736842,0.0,0.16071428571428573,0.7100644967751613,16,20000,20000
30,4,eventual,single_soft,single,recall_static,-0.0273972602739726,-0.07446808510638298,0.0,0.23858807059647016,16,20000,20000
30,4,eventual,single_soft,single,macro_type_recall,0.012617159336697908,-0.010000000000000009,0.05340703709117229,0.7602619869006549,16,20000,20000
30,4,eventual,double_shared_max,single,precision_trap,-0.015625,-0.046875,0.0,0.7106644667766612,16,20000,20000
30,4,eventual,double_shared_max,single,recall_trap,-0.005181347150259058,-0.021897810218978103,0.0,0.7106644667766612,16,20000,20000
30,4,eventual,double_shared_max,single,recall_loop,0.14035087719298245,0.039999999999999994,0.2742014547754579,0.020198990050497474,16,20000,20000
30,4,eventual,double_shared_max,single,recall_static,-0.06164383561643835,-0.12281061259706645,-0.018292682926829257,0.00519974001299935,16,20000,20000
30,4,eventual,double_shared_max,single,macro_type_recall,0.03935352078827206,-0.004065824272700552,0.10093248663101605,0.07959602019899005,16,20000,20000
30,4,eventual,double_shared_noisy_or,single,precision_trap,-0.015625,-0.046875,0.0,0.7219639018049098,16,20000,20000
30,4,eventual,double_shared_noisy_or,single,recall_trap,-0.005181347150259058,-0.021739130434782622,0.0,0.7219639018049098,16,20000,20000
30,4,eventual,double_shared_noisy_or,single,recall_loop,0.017543859649122806,-0.05,0.08697559115179088,0.767961601919904,16,20000,20000
30,4,eventual,double_shared_noisy_or,single,recall_static,-0.0136986301369863,-0.03225806451612903,0.0,0.23238838058097094,16,20000,20000
30,4,eventual,double_shared_noisy_or,single,macro_type_recall,0.0019226147560682527,-0.028027646064966202,0.03201091965537958,0.896155192240388,16,20000,20000
30,4,eventual,double_shared_quota,single,precision_trap,-0.015625,-0.046875,0.0,0.7106644667766612,16,20000,20000
30,4,eventual,double_shared_quota,single,recall_trap,-0.005181347150259058,-0.021897810218978103,0.0,0.7106644667766612,16,20000,20000
30,4,eventual,double_shared_quota,single,recall_loop,0.14035087719298245,0.039999999999999994,0.2742014547754579,0.020198990050497474,16,20000,20000
30,4,eventual,double_shared_quota,single,recall_static,-0.06164383561643835,-0.12281061259706645,-0.018292682926829257,0.00519974001299935,16,20000,20000
30,4,eventual,double_shared_quota,single,macro_type_recall,0.03935352078827206,-0.004065824272700552,0.10093248663101605,0.07959602019899005,16,20000,20000
30,4,eventual,double_typed_max,single,precision_trap,-0.046875,-0.109375,0.015625,0.22348882555872207,16,20000,20000
30,4,eventual,double_typed_max,single,recall_trap,-0.015544041450777202,-0.04402515723270442,0.0057142857142856995,0.22348882555872207,16,20000,20000
30,4,eventual,double_typed_max,single,recall_loop,0.10526315789473684,0.0,0.2,0.08919554022298885,16,20000,20000
30,4,eventual,double_typed_max,single,recall_static,-0.0547945205479452,-0.11764705882352944,-0.0111111111111111,0.01959902004899755,16,20000,20000
30,4,eventual,double_typed_max,single,macro_type_recall,0.025234318673395817,-0.024074074074074053,0.06883116739053738,0.2848857557122144,16,20000,20000
30,4,eventual,double_typed_noisy_or,single,precision_trap,0.015625,-0.03125,0.0625,0.7663616819159043,16,20000,20000
30,4,eventual,double_typed_noisy_or,single,recall_trap,0.005181347150259086,-0.0136986301369863,0.02702702702702703,0.7663616819159043,16,20000,20000
30,4,eventual,double_typed_noisy_or,single,recall_loop,0.05263157894736842,-0.02272727272727272,0.14705882352941177,0.22588870556472176,16,20000,20000
30,4,eventual,double_typed_noisy_or,single,recall_static,0.0,-0.025000000000000022,0.03636695421366926,1.0,16,20000,20000
30,4,eventual,double_typed_noisy_or,single,macro_type_recall,0.02631578947368421,-0.009591407633287426,0.07692481884057957,0.15939203039848007,16,20000,20000
30,4,eventual,double_typed_quota,single,precision_trap,-0.046875,-0.109375,0.015625,0.22348882555872207,16,20000,20000
30,4,eventual,double_typed_quota,single,recall_trap,-0.015544041450777202,-0.04402515723270442,0.0057142857142856995,0.22348882555872207,16,20000,20000
30,4,eventual,double_typed_quota,single,recall_loop,0.10526315789473684,0.0,0.2,0.08919554022298885,16,20000,20000
30,4,eventual,double_typed_quota,single,recall_static,-0.0547945205479452,-0.11764705882352944,-0.0111111111111111,0.01959902004899755,16,20000,20000
30,4,eventual,double_typed_quota,single,macro_type_recall,0.025234318673395817,-0.024074074074074053,0.06883116739053738,0.2848857557122144,16,20000,20000
30,4,eventual,double_typed_soft_max,single,precision_trap,-0.078125,-0.15625,-0.015625,0.01719914004299785,16,20000,20000
30,4,eventual,double_typed_soft_max,single,recall_trap,-0.025906735751295318,-0.05882352941176472,-0.005024497487437235,0.01719914004299785,16,20000,20000
30,4,eventual,double_typed_soft_max,single,recall_loop,0.10526315789473684,0.0,0.19402985074626866,0.10779461026948653,16,20000,20000
30,4,eventual,double_typed_soft_max,single,recall_static,-0.06164383561643835,-0.11594202898550723,-0.024096385542168697,0.00119994000299985,16,20000,20000
30,4,eventual,double_typed_soft_max,single,macro_type_recall,0.021809661139149256,-0.0346012467134726,0.06446716264018874,0.4134793260336983,16,20000,20000
30,4,eventual,double_typed_soft_noisy_or,single,precision_trap,-0.0625,-0.140625,0.015625,0.16609169541522925,16,20000,20000
30,4,eventual,double_typed_soft_noisy_or,single,recall_trap,-0.02072538860103626,-0.04999999999999999,0.0051546391752577145,0.16609169541522925,16,20000,20000
30,4,eventual,double_typed_soft_noisy_or,single,recall_loop,0.10526315789473684,-0.030303030303030304,0.20512820512820512,0.14269286535673217,16,20000,20000
30,4,eventual,double_typed_soft_noisy_or,single,recall_static,-0.04794520547945205,-0.0975609756097561,0.0,0.055997200139993,16,20000,20000
30,4,eventual,double_typed_soft_noisy_or,single,macro_type_recall,0.028658976207642378,-0.030434782608695643,0.07404129992377478,0.29728513574321286,16,20000,20000
30,4,eventual,double_typed_soft_quota,single,precision_trap,-0.078125,-0.15625,-0.015625,0.01719914004299785,16,20000,20000
30,4,eventual,double_typed_soft_quota,single,recall_trap,-0.025906735751295318,-0.05882352941176472,-0.005024497487437235,0.01719914004299785,16,20000,20000
30,4,eventual,double_typed_soft_quota,single,recall_loop,0.10526315789473684,0.0,0.19402985074626866,0.10779461026948653,16,20000,20000
30,4,eventual,double_typed_soft_quota,single,recall_static,-0.06164383561643835,-0.11594202898550723,-0.024096385542168697,0.00119994000299985,16,20000,20000
30,4,eventual,double_typed_soft_quota,single,macro_type_recall,0.021809661139149256,-0.0346012467134726,0.06446716264018874,0.4134793260336983,16,20000,20000
30,4,onset_by_query,single_soft,single,precision_trap,0.0,0.0,0.0,1.0,16,20000,20000
30,4,onset_by_query,single_soft,single,recall_trap,0.0,0.0,0.0,1.0,16,20000,17559
30,4,onset_by_query,single_soft,single,recall_loop,0.0,0.0,0.0,1.0,16,20000,17559
30,4,onset_by_query,single_soft,single,recall_static,,,,,16,20000,0
30,4,onset_by_query,single_soft,single,macro_type_recall,0.0,0.0,0.0,1.0,16,20000,17559
30,4,onset_by_query,double_shared_max,single,precision_trap,0.0,0.0,0.0,1.0,16,20000,20000
