query,per_head_budget,family,loop_head_precision,loop_head_recall,single_k_loop_precision,single_k_loop_recall,static_head_precision,static_head_recall,single_k_static_precision,single_k_static_recall,independent_macro_own_recall,union_selected_total,union_budget_mean,union_overlap_mean,union_trap_precision,union_trap_recall,union_loop_recall,union_static_recall,union_macro_type_recall,matched_single_trap_precision,matched_single_trap_recall,matched_single_loop_recall,matched_single_static_recall,matched_single_macro_type_recall
30,4,shared,0.15625,0.17543859649122806,0.046875,0.05263157894736842,0.546875,0.23972602739726026,0.5625,0.2465753424657534,0.20758231194424415,114,7.125,0.875,0.5,0.29533678756476683,0.2631578947368421,0.3082191780821918,0.28568853640951697,0.5350877192982456,0.3160621761658031,0.19298245614035087,0.3835616438356164,0.2882720499879836
30,4,typed,0.125,0.14035087719298245,0.046875,0.05263157894736842,0.546875,0.23972602739726026,0.5625,0.2465753424657534,0.19003845229512134,114,7.125,0.875,0.5175438596491229,0.30569948186528495,0.2631578947368421,0.3356164383561644,0.2993871665465032,0.5350877192982456,0.3160621761658031,0.17543859649122806,0.3835616438356164,0.27950012016342224
30,4,typed_soft,0.171875,0.19298245614035087,0.046875,0.05263157894736842,0.484375,0.21232876712328766,0.5625,0.2465753424657534,0.20265561163181928,117,7.3125,0.6875,0.48717948717948717,0.29533678756476683,0.2982456140350877,0.3082191780821918,0.3032323960586397,0.5384615384615384,0.32642487046632124,0.17543859649122806,0.3972602739726027,0.28634943523191536
30,8,shared,0.140625,0.3157894736842105,0.09375,0.21052631578947367,0.46875,0.410958904109589,0.4765625,0.4178082191780822,0.36337418889689976,203,12.6875,3.3125,0.4729064039408867,0.49740932642487046,0.47368421052631576,0.5273972602739726,0.5005407354001442,0.4827586206896552,0.5077720207253886,0.40350877192982454,0.5684931506849316,0.486000961307378
30,8,typed,0.1171875,0.2631578947368421,0.09375,0.21052631578947367,0.46875,0.410958904109589,0.4765625,0.4178082191780822,0.3370583994232156,211,13.1875,2.8125,0.46445497630331756,0.5077720207253886,0.43859649122807015,0.5547945205479452,0.4966955058880077,0.4976303317535545,0.5440414507772021,0.40350877192982454,0.6164383561643836,0.509973564047104
30,8,typed_soft,0.1328125,0.2982456140350877,0.09375,0.21052631578947367,0.453125,0.3972602739726027,0.4765625,0.4178082191780822,0.3477529440038452,202,12.625,3.375,0.47029702970297027,0.49222797927461137,0.43859649122807015,0.5342465753424658,0.48642153328526794,0.49504950495049505,0.5181347150259067,0.40350877192982454,0.5821917808219178,0.4928502763758712
30,16,shared,0.1171875,0.5263157894736842,0.1171875,0.5263157894736842,0.375,0.6575342465753424,0.3828125,0.6712328767123288,0.5919250180245132,339,21.1875,10.8125,0.4306784660766962,0.7564766839378239,0.7192982456140351,0.773972602739726,0.7466354241768806,0.4424778761061947,0.7772020725388601,0.6842105263157895,0.815068493150685,0.7496395097332372
30,16,typed,0.11328125,0.5087719298245614,0.1171875,0.5263157894736842,0.38671875,0.678082191780822,0.3828125,0.6712328767123288,0.5934270608026917,355,22.1875,9.8125,0.4225352112676056,0.7772020725388601,0.7017543859649122,0.815068493150685,0.7584114395577986,0.4422535211267606,0.8134715025906736,0.7192982456140351,0.8561643835616438,0.7877313145878395
30,16,typed_soft,0.109375,0.49122807017543857,0.1171875,0.5263157894736842,0.37109375,0.6506849315068494,0.3828125,0.6712328767123288,0.5709565008411439,352,22.0,10.0,0.4119318181818182,0.7512953367875648,0.7192982456140351,0.7808219178082192,0.7500600817111271,0.4346590909090909,0.7927461139896373,0.6666666666666666,0.8424657534246576,0.754566210045662
34,4,shared,0.296875,0.3333333333333333,0.109375,0.12280701754385964,0.609375,0.2671232876712329,0.5625,0.2465753424657534,0.3002283105022831,119,7.4375,0.5625,0.5462184873949579,0.33678756476683935,0.38596491228070173,0.3219178082191781,0.35394136024993994,0.5882352941176471,0.3626943005181347,0.24561403508771928,0.410958904109589,0.32828646959865415
34,4,typed,0.3125,0.3508771929824561,0.109375,0.12280701754385964,0.59375,0.2602739726027397,0.5625,0.2465753424657534,0.3055755827925979,120,7.5,0.5,0.5333333333333333,0.3316062176165803,0.42105263157894735,0.3082191780821918,0.36463590483056957,0.5916666666666667,0.36787564766839376,0.2631578947368421,0.410958904109589,0.3370583994232156
34,4,typed_soft,0.28125,0.3157894736842105,0.109375,0.12280701754385964,0.578125,0.2534246575342466,0.5625,0.2465753424657534,0.28460706560922855,125,7.8125,0.1875,0.512,0.3316062176165803,0.40350877192982454,0.3150684931506849,0.3592886325402547,0.568,0.36787564766839376,0.2631578947368421,0.410958904109589,0.3370583994232156
34,8,shared,0.265625,0.5964912280701754,0.1171875,0.2631578947368421,0.5234375,0.4589041095890411,0.46875,0.410958904109589,0.5276976688296082,223,13.9375,2.0625,0.5246636771300448,0.6062176165803109,0.6666666666666666,0.5753424657534246,0.6210045662100456,0.5426008968609866,0.6269430051813472,0.5614035087719298,0.6575342465753424,0.6094688776736361
